bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.154875400132376 0.09861962148970034 1.1017376730168396 0.051084073034832304 59505.94871587081 0.4983775203910699 None None 0.08645775816444713 0.06808346548448016 0.737 0.715 0.798 0.822
c-o  True F19 6 36.18603801980036 0.0982914727215312 1.1017096099412864 0.0510675662546729 59505.94942471839 0.498256268225906 None None 0.05459184501728697 0.0678607585580793 0.736 0.714 0.799 0.823
c-o-ztfg  True F19 6 36.303920668945885 0.09011499393045554 1.2382759104139975 0.03923688358954129 59504.664551071066 0.5303100877546838 None None 0.03884837581151831 0.06318466612434885 0.912 0.883 0.589 0.632
c-o-ztfg-ztfr  True O94 0 36.21412730233355 0.09593587965178031 1.2755066946513196 0.04247532608683307 59504.027935677455 0.6800899915894401 None None 0.01136537826977243 0.07133043087193086 1.205 1.157 0.192 0.244
c-o-ztfg-ztfr  True F19 6 36.22841593554257 0.09173386921867753 1.2307496594695795 0.03940520411135538 59504.72851271808 0.5560052514395988 None None 0.07381671714975362 0.0635879381233075 1.216 1.172 0.181 0.226
c-o-ztfr  True F19 6 36.22072182068027 0.09295262358697116 1.2099620475321093 0.03721934617366658 59505.270067130135 0.5103160424027812 None None 0.0868290456189686 0.0663096239164158 0.963 0.922 0.523 0.588
c-ztfg-ztfr  True F19 6 36.184110746443345 0.12059246489380133 1.2696512540342741 0.07355363229148897 59502.782212321086 1.56115927214579 None None 0.07802885830588543 0.07324730635613834 1.932 1.846 0.022 0.031
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.057873394540955 0.08647641408953165 1.0435914181806074 0.037733203557522715 59506.65925162367 0.4087673341162704 None None 0.09209078881875477 0.06296359545951812 2.319 2.21 0.0 0.0
J-c-o 1D3 True O94 0 36.042604000190146 0.08958236718889968 1.0252379541517198 0.03667335032812381 59506.82182503751 0.40474988917530386 None None 0.12816103539934856 0.06274912358526478 1.12 0.98 0.308 0.49
J-c-o 1D3 True F19 6 36.051594416172776 0.08503990034630414 1.020706464210497 0.03491965737555291 59506.80332224501 0.38698845470355253 None None 0.09213397146512982 0.0626647430782983 1.134 1.013 0.292 0.445
J-c-o 2D True O94 0 36.05467259440938 0.09073783887811522 1.0273706790738883 0.03689429951454032 59506.80147169947 0.40829954229031096 None None 0.12172887188207572 0.06336859452773345 1.04 0.949 0.407 0.536
J-c-o 2D True F19 6 36.063508644213115 0.08565884571646148 1.023799196844526 0.035091611762618234 59506.78551536625 0.3892951710867797 None None 0.08651134457021549 0.06294395115668969 1.053 0.972 0.39 0.502
J-c-o-ztfg 1D3 True F19 6 36.051602697042455 0.08408295297502179 1.0061786554434264 0.03566830591902989 59506.566284566026 0.3894216400525182 None None 0.07084745711815345 0.06204737232316607 1.497 1.376 0.042 0.085
J-c-o-ztfg 2D True F19 6 36.06509158779642 0.0849536453751369 1.0109792857969593 0.03605256813847079 59506.54128059624 0.3934729825903159 None None 0.06594438831854942 0.06226655715865425 1.427 1.341 0.064 0.104
J-c-o-ztfg-ztfr 1D3 True O94 0 36.039205896292835 0.09203268044210286 1.0405123352755623 0.03688751841198255 59506.80859359384 0.41188230397795905 None None 0.13065464937352206 0.06275697167068628 1.891 1.676 0.001 0.006
J-c-o-ztfg-ztfr 1D3 True F19 6 36.05305353768971 0.08569666192181608 1.04059043826526 0.03475979625157146 59506.77384527173 0.39305113062637226 None None 0.09288758810644879 0.06212634089559548 1.774 1.582 0.002 0.013
J-c-o-ztfg-ztfr 2D True O94 0 36.06009990371131 0.09169982036659054 1.0445543854624177 0.036074749290233736 59506.747486370055 0.40333119432367426 None None 0.12405400435897254 0.06272202424522717 1.877 1.722 0.001 0.004
J-c-o-ztfg-ztfr 2D True O94 1 36.074944903802596 0.0917789796724737 1.0463553801283905 0.03628359298022063 59506.73411521309 0.4063705198206532 None None 0.10943542408387459 0.06254696833903473 1.947 1.786 0.0 0.002
J-c-o-ztfg-ztfr 2D True O94 2 36.093393958852786 0.09132075459172458 1.049592036262 0.036567046824870365 59506.75561113311 0.41062094990550035 None None 0.11452413422988589 0.0629252278868639 2.092 1.908 0.0 0.001
