bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59528.579711 2.9644148446472314 10.476959228515625 3.565920171004457 0.0 -1 0.0 5.505115506864937 None None None None
c-o  False F19 59483.71287848732 2.0661058551577973 8.243200621127944 0.6918381842839905 11.352325745333125 7.684699528572691 0.28500833571902995 0.46526988790655727 None None None None
c-o  False F99 59483.67589227932 1.6966709132100661 9.288713919791618 0.6443471896359863 10.534093943341421 5.475614063723544 0.2904972711786262 0.45339564526280834 None None None None
c-o-ztfg  True F19 59510.65028777672 0.33053254482891103 7.757198604818605 0.06511315389611952 -3.5496698044695574 0.4346139730861301 -0.09950143721977976 0.09479252164186673 0.676 0.591 0.811 0.885
c-o-ztfg  True F99 59510.65129886016 0.3147106663391401 8.843689639761227 0.06365988275680869 -3.5173309876126897 0.40182438341865584 -0.09609033630940828 0.0894698465893236 0.661 0.656 0.825 0.83
c-o-ztfg-ztfr  True F19 59510.820240965935 0.31465488193941055 7.764241230576891 0.06457805174674726 -3.684727969150196 0.39747901746229686 0.06340474403913603 0.06087145717076013 1.123 0.847 0.314 0.663
c-o-ztfg-ztfr  True F99 59510.82906896387 0.2932385803645345 7.768180792366943 0.06282537210322299 -3.688910848082341 0.3584001914083077 0.08245462969378556 0.054578364413273184 1.095 1.043 0.344 0.405
c-o-ztfr  True F19 59483.887159849735 2.2599277000719646 8.169462344755328 0.6701840079621344 9.831410935817626 6.171212225319861 0.3151698862572684 0.4321495586219703 1.482 0.92 0.168 0.49
c-o-ztfr  True F99 59483.91293805551 1.8799693007077698 9.235700948748338 0.6089083590508017 9.626123133018098 4.708800056474181 0.3131983156020122 0.4087672292194819 1.439 1.373 0.185 0.212
c-ztfg  True F99 59510.6447519052 0.37500042122307037 8.82858324661089 0.09199936284101488 -3.0926907259134264 0.5359480121894812 -0.3179630934177185 0.46267411692386523 0.525 0.518 0.665 0.67
c-ztfg-ztfr  True F19 59510.52583627738 0.36018969059489997 7.83759657388306 0.07123425056286299 -3.402208218577473 0.46432606508141666 0.17564505584337944 0.07241833222513933 0.696 0.472 0.713 0.894
c-ztfg-ztfr  True F99 59510.51114549639 0.34184759725838443 8.924991255113278 0.06922006957873829 -3.379837122823833 0.4214899463401921 0.17572049345610857 0.06299486639492506 0.666 0.643 0.74 0.761
c-ztfr  True F99 59496.375822593334 6.143877894066089 9.313098200218725 0.923743095045792 -0.039980951765341666 1.5985720811479913 0.6818346882744799 0.6448742155432632 0.095 0.094 0.963 0.964
J 1D3 True F99 59512.012149340386 4.778368346809792 8.495870542114359 76.6756787351036 -3.0249381024444184 179.32914662407387 -0.008754950623377798 26.118194583997358 -1 -1 -1 -1
J 2D False F99 59512.818288438095 1.8131613622955631 13.105220456920552 49.79058109454127 87.50455626265006 1343.5608034961983 1.2369993730698663 21.103088337528835 None None None None
J-c 1D3 True F99 59512.03681752487 3.6028573611579846 8.529186445748058 23.19492827426933 -2.30570898525954 129.31738510966935 0.34936813919783716 7.126746036719254 -1 -1 -1 -1
J-c 2D True F99 59512.817493281924 1.885200886891288 11.840402555131124 5.117929696388493 95.09186232295774 459.5289353919408 1.1227380761535237 0.6144680081323597 -1 -1 -1 -1
J-c-o 1D3 True F99 59511.56844180008 0.45235311771286607 8.080483959388026 0.2398226507336711 -5.2061065795474235 0.7790148482175865 0.21537569589738406 0.09502357639131355 1.219 1.206 0.257 0.267
J-c-o 2D True F99 59511.528245617534 0.468147767681961 8.161390508479515 0.268893051940618 -5.194101511297369 0.7846814822185554 0.26822390416048936 0.12417879353381685 1.26 1.247 0.229 0.238
