bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.90346059403491 0.09403263839602523 1.0146123834780891 0.04787385411642368 59520.92365603052 0.42000581555031585 None None 0.028777401100168656 0.06641466269572976 0.496 0.49 0.812 0.816
c-o  True F19 6 35.90798315719017 0.09246254595609275 1.014696502126936 0.04787238488794543 59520.92591691285 0.41996623799051036 None None -0.017264672927879744 0.06682578250093264 0.495 0.49 0.812 0.817
c-o-ztfg  True F19 6 35.54044241492765 0.11190278505806575 0.8333083783063552 0.045623807852541325 59519.86406910571 0.40669353176442574 None None 0.09013292907289192 0.07304041752063714 3.746 3.66 0.0 0.0
c-o-ztfg-ztfr  True O94 0 35.541751483927875 0.10802982749806506 0.8664844344466298 0.04657985419141148 59520.002573576196 0.4087574855782238 None None 0.13331263275958097 0.07235515815952939 3.252 3.156 0.0 0.0
c-o-ztfg-ztfr  True F19 6 35.554166292655175 0.10109184330714394 0.8597918784289725 0.046276755109449265 59519.957207260915 0.39928540441653704 None None 0.09885622456292735 0.0693809461062325 3.823 3.714 0.0 0.0
c-o-ztfr  True F19 6 35.79206415716014 0.09251144527411717 0.9951005349509413 0.046216458138196206 59520.91718666292 0.40695568382029657 None None 0.030011630544058275 0.06899318176727466 1.759 1.696 0.038 0.049
c-ztfg-ztfr  True F19 6 35.33751234290572 0.12585465903672524 0.6704891634905702 0.06831225789944419 59519.42539014231 0.466257490310634 None None 0.10879318663318147 0.07822769164357711 4.885 4.526 0.0 0.0
J-asg-c-o-ztfg-ztfr 2D True F19 6 35.59731051377795 0.09287908751484922 0.8236243485053285 0.046933306492071364 59519.92769863309 0.400069073378236 None None 0.0382995297804959 0.06648730973058413 4.296 4.232 0.0 0.0
J-c-o 1D3 True O94 0 35.918981380055634 0.09901534703594753 1.1173496994600318 0.04540481321023416 59520.86750796594 0.43842643333739495 None None 0.05456750064147012 0.06557112826657974 0.763 0.728 0.689 0.725
J-c-o 1D3 True F19 6 35.82973694952563 0.09011821928937061 1.031592106708081 0.049543506144009326 59520.694305971396 0.43094433018438444 None None 0.04352467009895313 0.06339600519427817 1.208 1.134 0.271 0.326
J-c-o 2D True O94 0 35.903564608973696 0.10086490962801671 1.1194899329050934 0.04704950356254337 59520.903839422754 0.4452321379243217 None None 0.06225632357284592 0.06625745116610696 0.811 0.778 0.639 0.674
