bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.0392184987611104 0.05837210786030642 17.23925548659355 0.04054722838601662 17.101203648662967 0.05270837489218065 59243.91535504745 1.0611411348901048 None None 0.788 0.774 0.652 0.667
c-o  True F99 None None None None 1.0388164610160149 0.058208936141722276 17.24500821834156 0.040472948792675045 17.104020824049268 0.0526240637807506 59243.92912515131 1.0580404083309487 None None 0.786 0.772 1.0 1.0
c-o  True O94 None None None None 1.039023844809602 0.05826029256785234 17.238094887330302 0.04048967184158705 17.100747396052714 0.052638584807659886 59243.9249107211 1.0587654237993123 None None 0.787 0.772 0.654 0.668
c-o-ztfg  True F19 None None None None 1.1046675034224858 0.06049967719712638 17.2649536928637 0.030339522786888017 17.14891859338005 0.03425124034755997 59243.721258463804 1.2292372067347057 17.058295153796916 0.08172392313919007 0.459 0.445 0.981 0.984
c-o-ztfg-ztfr  True F19 None None None None 1.1049114049334805 0.0529302167039834 17.289386091165973 0.029470833708277445 17.242195668732393 0.03046278051568036 59244.8448302939 1.0856961643040555 17.11778871542716 0.07305978113472505 0.532 0.503 0.987 0.992
c-o-ztfg-ztfr  True O94 None None None None 1.1045485365739631 0.054939675954565545 17.2895535687685 0.030240065054785943 17.242468651330025 0.03155956710846331 59244.84507509028 1.1169513752703724 17.117748812696455 0.07486440653356752 0.531 0.503 0.987 0.992
c-o-ztfr  True F19 None None None None 1.0543329385586673 0.04786907540885473 17.26519788182872 0.03187863698829545 17.1859783979878 0.035085351818193035 59245.2623387908 1.1275072221245641 None None 0.73 0.712 0.819 0.838
c-ztfg-ztfr  True F19 None None None None 1.1892243776071978 0.08310426183248286 17.29293573587261 0.06346064904766391 17.28073575770079 0.039750448275824635 59244.6078261071 1.1035966254365226 17.0689680248807 0.08707175272516043 0.562 0.516 0.957 0.975
J 2D True O94 None None 17.754827440058925 0.15205423321456119 1.8467960754761201 2.7800971967890984 None None None None 59245.4209049139 6.206763337476132 None None 3.063 2.393 0.047 0.091
J-asg-c-o-ztfg-ztfr 2D True F19 17.23469319939806 0.06337098896439308 17.797306404170854 0.060087529892790946 1.084953479727466 0.04659913253157938 17.277721254910734 0.03298063524544098 17.246864242893007 0.03433341948776849 59244.95930561616 0.9724426036189804 17.104550872460628 0.07403746643577437 0.9 0.843 0.654 0.751
