bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59258.151439552385 0.19251574777607636 6.09619896389981 0.31673411631639226 0.10758743496141221 0.4876088970830792 -0.22838122781262202 0.4531102766686468 0.538 0.341 0.708 0.85
c-o  True F19 59257.989669040326 0.15584923673704462 5.166429521946517 0.04350715584476741 -0.2707993002835335 0.17445041509324077 0.01266851379111987 0.04203126840269278 1.35 0.382 0.162 0.984
c-o  True F99 59257.98971985538 0.15584846827413265 5.166478711077362 0.04350635735849692 -0.2706485936096489 0.1744560878817915 0.011682345515416396 0.042031769687713376 1.351 0.382 0.162 0.984
c-o-ztfg  True F19 59257.84075014088 0.09062341025227218 5.160784727960235 0.024945287725748517 -0.39446642840998025 0.10718929985111514 -0.0061884734023695195 0.028086389793046677 1.878 0.529 0.0 0.995
c-o-ztfg  True F99 59257.85740941312 0.058991927235336944 6.236257815540762 0.022058456385319447 -0.3947490393844408 0.0755048891972895 -0.009339875045709971 0.02375669328966654 1.234 0.901 0.14 0.657
c-o-ztfg-ztfr  True F19 59257.851487670385 0.07871268598757106 5.149480741169775 0.02323516573876654 -0.3570493746260297 0.08761620073559523 0.016655760333099567 0.021698001182468802 1.436 0.402 0.01 1.0
c-o-ztfg-ztfr  True F99 59257.84845091925 0.05075589751460527 5.152635417156161 0.020950729180499953 -0.3569125340610233 0.06087927728768244 0.017256370186246237 0.01944260353958164 1.415 0.802 0.013 0.885
c-o-ztfr  True F19 59257.942581467956 0.11069719474534243 5.2175338210984545 0.04067705435187931 -0.27547009888762725 0.11419199721795377 0.050304901452180854 0.033789865210092807 2.203 0.411 0.0 1.0
c-o-ztfr  True F99 59257.928318872284 0.06242684976375639 6.29266309761755 0.03469021136189199 -0.3324922758066361 0.0734157178298186 0.04761097558609587 0.02880757394340782 1.481 0.914 0.022 0.633
c-ztfg  True F99 59257.83621188556 0.07683991849537754 6.225854528784617 0.03794333635741354 -0.28503588283019843 0.09498606969335995 -0.03799622362019934 0.058992818220228456 0.922 0.704 0.591 0.888
c-ztfg-ztfr  True F19 59257.808982073206 0.08800951363756984 5.191735913792652 0.025237599528973576 -0.3160450823408911 0.09568767564399441 0.040917197836385574 0.026018386634582853 1.537 0.433 0.005 1.0
c-ztfg-ztfr  True F99 59257.8061162247 0.06058705694823103 6.270674250065616 0.02322870570007335 -0.2855239912476698 0.06972661463023491 0.03916844598222181 0.02437072733640151 1.07 0.618 0.334 0.99
c-ztfr  True F99 59257.89188840412 0.0834201832363754 6.325967222448807 0.04059653033882031 -0.22602961753047568 0.08957634866483005 0.082622074889254 0.03733144339538264 0.693 0.544 0.899 0.982
J 1D3 True F99 59257.648026354334 0.5032037683097926 -2.663756139536819 5.677732495574831 -7.779075661463762 4.180760967431694 -3.030758866953784 1.9606205283202671 -1 -1 -1 -1
J dehvils False F99 59256.897326796585 0.8951709765849518 2.2612545890558673 5.607981103900896 -10.436931197438106 5.364270527427785 -1.6775451481135408 1.9030634032734168 None None None None
J-c 1D3 True F99 59258.12830380256 0.12296282200772016 5.126033310567599 0.029941671802476946 -0.10101526919106242 0.16919756861867247 -0.04569716411384407 0.028286842934121446 1.263 1.037 0.258 0.405
J-c dehvils True F99 59258.152646272516 0.11444265973694931 5.117211937371401 0.029592489149707378 -0.12576950553963512 0.16707825329587045 -0.055717327711587564 0.02795351531654482 3.156 2.68 0.001 0.006
J-c-o 1D3 True F19 59257.956408096245 0.1537572308064623 5.131920699619725 0.033529248853030685 -0.20656564129975902 0.16795599511617273 -0.027322912253534518 0.027780277770818127 3.519 0.43 0.0 0.985
J-c-o 1D3 True F99 59257.957002278585 0.15373127618691043 5.161633225680198 0.0335381400347788 -0.20749114620822517 0.16793496478601025 -0.019722972996886436 0.02778653812154574 4.549 0.536 0.0 0.948
J-c-o dehvils True F19 59257.95947901708 0.1545115788388271 5.1355337151667655 0.03354737033292021 -0.21893421111756858 0.16780842482008826 -0.022858943178726533 0.027758558016962035 6.612 0.473 0.0 0.974
J-c-o dehvils True F99 59257.960083979946 0.15448466767549013 5.165242865142049 0.03355603868627224 -0.21985290762764156 0.16778758097820076 -0.015263104266629884 0.027764516637611612 7.242 0.579 0.0 0.924
J-c-o-ztfg 1D3 True F99 59257.8676721564 0.05750148138711542 5.124755523204614 0.019163642363797924 -0.3937193996245807 0.07498731907459069 -0.02502189464218096 0.018039781684063234 1.726 1.006 0.001 0.461
J-c-o-ztfg dehvils True F99 59257.87405908337 0.05707818886616339 5.121391417562814 0.019084032533159514 -0.3993439182790247 0.07491961224618639 -0.029078341453798697 0.017940160956192244 2.937 1.302 0.0 0.08
J-c-o-ztfg-ztfr 1D3 True F19 59257.84757007289 0.0784518572596352 5.1330352189268975 0.02123402355867053 -0.34475853074139734 0.08747823461253157 -0.0037631280406380287 0.018488713101391226 3.196 0.438 0.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 59257.84752895095 0.07845283942656878 5.162488310370133 0.021239422322813853 -0.34512651903593106 0.08747717430415093 0.003567458571833694 0.018493060436496803 3.421 0.503 0.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 59257.847537274414 0.07843853825751272 5.162489296583987 0.021235855516165657 -0.3451284295437 0.08746277275642565 0.0035708707963892582 0.01848848502787103 3.461 0.51 0.0 1.0
J-c-o-ztfg-ztfr dehvils True F99 59257.86134796879 0.04961114000786712 5.1321647723710635 0.01871638068346351 -0.3567753304756386 0.06083749614031428 -0.00641602162600984 0.01607157101908383 4.759 1.109 0.0 0.244
J-c-o-ztfr 1D3 True F99 59257.90716835874 0.06243199428335685 5.145595085253077 0.027645610602222117 -0.2723371765360809 0.07463931249356412 0.0020808458599902795 0.021326634143557052 3.823 0.965 0.0 0.541
J-c-o-ztfr dehvils True F99 59257.914522195104 0.06180966068940856 5.140016264394369 0.027492882883433104 -0.27660438206862165 0.07463724692486577 -0.002798398364354483 0.021196150808034223 7.359 1.279 0.0 0.097
J-c-ztfg 1D3 True F99 59257.864122171435 0.07252071885821106 5.1219787467152855 0.0209149713327309 -0.3020923728706848 0.0929042469898738 -0.04273239904010098 0.02385611526743163 1.063 0.849 0.368 0.722
J-c-ztfg dehvils True F99 59257.88012161404 0.07139944440237182 5.116295575716484 0.020731304761378758 -0.31424616508833636 0.09241928830844012 -0.05095414685087833 0.02360053849570167 1.547 1.241 0.02 0.155
J-c-ztfg-ztfr 1D3 True F99 59257.8298635907 0.05902000379798348 5.142074941015403 0.019491806327521368 -0.2826641990560942 0.0696695786914728 0.002150492739064964 0.01822519668116013 3.0 0.799 0.0 0.874
J-c-ztfg-ztfr dehvils True F99 59257.839108096014 0.05849398960940362 5.138188060981929 0.019393451620942415 -0.2894133146246722 0.06952867755379992 -0.00236007041178475 0.01811141101050928 5.63 1.036 0.0 0.398
J-c-ztfr 1D3 True F99 59257.92981684512 0.0800305344086564 5.148303562324481 0.028393146595668696 -0.18930850737565139 0.08931120467512141 0.0033893120576019235 0.023368096871590607 4.6 0.925 0.0 0.596
J-c-ztfr dehvils True F99 59257.94473280005 0.07845597392812872 5.141269635670827 0.028191562775767356 -0.1972763574402695 0.08912951738599031 -0.0033359260311585275 0.023182499520366103 9.055 1.343 0.0 0.085
