bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59250.23191829813 0.2551181518723394 8.865053384728862 2.3481272335328627 -2.383803791225188 0.298188478236689 2.170710124406785 2.143505217482578 2.401 1.653 0.066 0.175
c-o  True F19 59250.52119001223 0.29271922650458276 5.664374017437721 0.057530249911650774 -1.9773792204201572 0.2879893315950172 -0.07302691507735054 0.058628612545350636 2.523 0.843 0.005 0.587
c-o  True F99 59250.52147250467 0.2927040670713111 5.664577063601601 0.05752563229126582 -1.977129872099404 0.2879805709488375 -0.07493280542883766 0.05862751261771491 2.524 0.843 0.005 0.587
J 1D3 False F99 59258.35054313256 0.03406302134176813 772.4551504128258 0.003672935233870702 -24.779230218701258 0.21973511281300864 254.72375796428224 0.026893443494161413 None None None None
J dehvils False F99 59247.90906608479 0.5419818247437487 -12.737374779239767 6.983334216416795 -19.540398538574962 2.999552870737502 -6.757525161555243 2.373048454213762 None None None None
J-c 1D3 True F99 59229.65938988744 0.5286963911745817 5.152801975592179 0.08983747199338464 3.0784481109045876 0.6224487882420477 0.25595479251705855 0.039062978254506525 105.294 73.697 0.0 0.0
J-c dehvils True F99 59249.3714291013 0.28617910263296703 5.726548951586006 0.03347743212812002 -1.3246223501664227 0.26266060763970234 0.03607049099639484 0.032808564767963656 6.872 5.74 0.0 0.0
J-c-o 1D3 True F19 59250.88699494008 0.2712948754147451 5.839417428893338 0.0504593134879167 -2.1576851543043856 0.28722504478950206 0.12675785835509007 0.04758059476880869 89.568 3.79 0.0 0.0
J-c-o 1D3 True F99 59250.88975610127 0.27133361126305594 5.898407581867666 0.05051862341314111 -2.158557172942259 0.2872790188154878 0.14172782870755474 0.04764853327928169 93.558 4.23 0.0 0.0
J-c-o dehvils True F19 59250.48819246858 0.2658717461374445 5.6845108864015055 0.04411681280235894 -1.9951495964993096 0.2841790435121813 -0.04799294211592906 0.04085418194845663 6.7 1.125 0.0 0.329
J-c-o dehvils True F99 59250.49147374389 0.26591691042228527 5.743615888208997 0.04415336752146246 -1.9962672628047362 0.28419608770863775 -0.03289645269361337 0.04088921808954744 9.67 1.566 0.0 0.08
J-o 1D3 True F99 59213.77117245347 2.013231765782843 11.12779504431071 2.7405561256374997 42.37783352248702 38.942616373867395 2.283448091546007 0.9711566065427255 1.102 0.033 0.294 0.856
J-o dehvils True F99 59249.34182720913 0.25677542835431216 6.062673412205347 0.11718918851881178 -3.223027077337167 0.311903130978976 0.1567956289648469 0.06198259156872797 5.303 5.011 0.0 0.0
o  True F99 59250.22363001837 0.4356051875706881 0.5648118513675855 6.752279820844616 -2.7452982975247524 0.39259986714753836 -4.577795871368755 5.487258568039612 1.681 1.493 0.169 0.214
