bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 34.54213108299718 0.10605095873677979 0.8395839964081768 0.036186072644678054 59252.330869400554 0.399105401311763 None None 0.1564830077176954 0.06751210673894362 3.408 2.594 0.0 0.001
c-o  True F19 6 34.57622456913346 0.09910244161907804 0.839580642001475 0.036185212098064835 59252.330430922695 0.39909971907025965 None None 0.12315087860726225 0.0681559418606743 3.412 2.593 0.0 0.001
c-o  True F99 6 34.613488006454205 0.09393276042756103 0.8394101439075192 0.03618052564006038 59252.330631768455 0.39901691200208594 None None 0.10742695391703222 0.06661790283818331 3.409 2.592 0.0 0.0
c-o-ztfg  True F19 6 34.53131299398471 0.0840371495636464 0.7952246247940317 0.031492037429252974 59252.23206981689 0.35933751748146325 None None 0.09628489144561703 0.06247019879371268 2.902 2.269 0.0 0.0
c-o-ztfg-ztfr  True O94 0 34.476734958106185 0.08864752314988614 0.8114227010165382 0.03169698507539452 59252.2554025993 0.36350118244078 None None 0.13978127171301058 0.06235442999630835 2.621 2.14 0.0 0.0
c-o-ztfg-ztfr  True F19 6 34.520494117247544 0.0839943217557116 0.8116231587224083 0.031129879900776446 59252.25103112727 0.35489065131520275 None None 0.10956275182313695 0.06146906255370191 2.617 2.138 0.0 0.0
c-o-ztfr  True F19 6 34.54367576185557 0.08972697402717442 0.8545638928376141 0.032279614573318995 59252.35065128771 0.36481910411711316 None None 0.1520473245174463 0.06268376558788695 2.687 2.093 0.0 0.0
c-ztfg-ztfr  True F19 6 34.481387613996205 0.08392787192897293 0.825282746426674 0.031285228710287265 59251.67534953462 0.36980652711709694 None None 0.11935071779740017 0.06141718333054841 1.81 1.524 0.001 0.013
J 2D True O94 0 34.61919206774458 0.1307107733115697 0.8631733823317103 0.10852033322139848 59250.70167658397 1.1324196729274345 None None 0 0.06 7.104 1.6 0.008 0.206
J-asg-c-o-ztfg-ztfr 2D True F19 6 34.5476304189906 0.08298224816849643 0.807642815398807 0.03234782346702323 59251.857532222995 0.36737166308460456 None None 0.09171188658764763 0.061726138720426114 5.896 4.405 0.0 0.0
J-c-o 1D3 True O94 0 34.55181992789785 0.08903414934279992 0.8309063446717103 0.03474839136913593 59252.11550617515 0.37744976250752255 None None 0.13130937580353022 0.06266742912939804 8.372 2.687 0.0 0.0
J-c-o 1D3 True F19 6 34.6021328467506 0.08661063941257077 0.8378535021983531 0.03548821774723879 59252.05071912246 0.3814423808965069 None None 0.09168212696457781 0.06250996157882031 6.952 2.801 0.0 0.0
J-c-o 2D True O94 0 34.63073248481415 0.08955097834880008 0.8517767474022822 0.035870413475750096 59251.91567412401 0.38898393460285835 None None 0.10469271689008836 0.06309746208666313 5.278 3.076 0.0 0.0
J-c-o 2D True F19 6 34.652574940385094 0.08724927130462283 0.850322520056246 0.036571489758852584 59251.88795844168 0.3928061487470191 None None 0.06617694470449452 0.06313882199337 5.43 3.246 0.0 0.0
J-c-o dehvils True O94 0 34.61305000292934 0.08745344162551683 0.8478026291248927 0.035069847088216304 59251.96613013269 0.3809748345460557 None None 0.11129866491862157 0.062389201612136104 6.466 2.756 0.0 0.0
J-c-o dehvils True F19 6 34.64066568402254 0.08529833226558467 0.8483083070003529 0.035649039548913575 59251.94378495845 0.3837597719589757 None None 0.07345039801862734 0.062243565230235366 6.601 2.862 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 34.557895656815134 0.08036621757211508 0.7964325900675142 0.03154648784903758 59251.97882462859 0.35601892851839273 None None 0.07454701635150092 0.061092728357516723 4.022 2.361 0.0 0.0
J-c-o-ztfg 2D True F19 6 34.601105931250345 0.07971887337627277 0.8036596534284135 0.031807057952486506 59251.91343977575 0.35947448749125505 None None 0.0540107991241991 0.06132932863031665 4.25 2.705 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 34.517995474461564 0.08511291019075143 0.8142268274174255 0.031727570767292046 59252.020938064896 0.36170055578056554 None None 0.11583426291526754 0.06163066637748507 3.628 2.279 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 34.55248218604459 0.08194845372295412 0.8124909001432377 0.031198467752942976 59252.02868851131 0.3540455775031197 None None 0.08506915258498783 0.060900415775077404 3.572 2.253 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 0 34.559922004521326 0.08389816167999081 0.8233470213106773 0.03133618211161383 59251.9887647009 0.35730112950693915 None None 0.10887212681280661 0.0612404013954362 4.075 2.665 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 1 34.567761701183045 0.0834686038628622 0.8232763107376938 0.031368273518553105 59251.97800972003 0.35750235462469376 None None 0.09568970753956857 0.06114202047089975 4.128 2.693 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 2 34.56358854524395 0.08389196026512337 0.8205405355263646 0.031423886929594115 59251.98379071716 0.35811235187667934 None None 0.10381077812992098 0.06127269852585444 4.459 2.854 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 3 34.54638668174921 0.08317480823461833 0.8234463873348289 0.03135274470822866 59251.981385724604 0.3573235083311404 None None 0.09258611538354895 0.06114319895389754 4.081 2.667 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 4 34.550498869054806 0.0829565233644229 0.8232551452014241 0.03136750259176855 59251.97045533288 0.35744967822366014 None None 0.08764759884841761 0.06113765590140259 4.119 2.677 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 5 34.55555300951 0.08346001981382233 0.8205462757592169 0.03141779995905369 59251.973006848886 0.3581283527837846 None None 0.09028193265384254 0.06116451576443588 4.391 2.812 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 34.58142057008539 0.08157136673476159 0.8175576486363723 0.03141744414241318 59251.99042278185 0.3570770062566826 None None 0.07080875830895471 0.06109971162875712 4.04 2.625 0.0 0.0
J-c-o-ztfg-ztfr 2D True F99 6 34.582481587595616 0.0822394153444117 0.8148266412779555 0.03191845199905213 59252.02257472914 0.36351722216153715 None None 0.07456862615230538 0.06154265085455025 3.453 2.315 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 6 34.575500748769365 0.0829335251176743 0.8172274259866675 0.03211778058220986 59252.003740780194 0.3655158073976988 None None 0.07415296687308184 0.061762517701194085 3.905 2.536 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 7 34.5766034447562 0.0813737214350761 0.8224913781179908 0.03134464518283069 59251.996479141846 0.35654958679542076 None None 0.07019782940842005 0.061115816874425584 3.853 2.529 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 8 34.59628978593541 0.08133346327735304 0.819321824066164 0.03122753090253102 59252.016216276796 0.3551533870647668 None None 0.0850728458473557 0.06124418721646499 3.442 2.318 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 9 34.58014321477692 0.08136112663236993 0.8227426412044374 0.031335918716544744 59252.002588010706 0.35641970982698246 None None 0.07296110723315011 0.061149340440614396 3.813 2.51 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 10 34.669474742387244 0.09033690514553772 None None 59250.49627714619 0.3918230721311808 1.0638039699941124 0.061829927360643265 0.1854856765215336 0.061643901837752174 7.926 3.145 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 11 34.68046111051681 0.0896592550304913 None None 59250.4818549109 0.39191822126267256 1.0635358378435076 0.06182282929396243 0.17657435741059646 0.06159946016282113 7.905 3.155 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 12 34.699743454110205 0.08950927755180772 None None 59250.46605506404 0.3929514289820804 1.06391532646801 0.061846232956555634 0.17577181171051293 0.061623432098807676 8.024 3.224 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 13 34.64252985605235 0.08827623675648948 None None 59250.469847989094 0.39183223081891133 1.063151727270046 0.06179809325630163 0.15363146606130992 0.061487483889897415 7.856 3.163 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 14 34.65204409443134 0.08834116510532498 None None 59250.47077380898 0.39214856341285026 1.0634917185531236 0.061818600077933404 0.15929027951025518 0.06162754425885902 7.885 3.167 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 15 34.685441757904 0.08758348353432875 None None 59250.43257784614 0.39299359032452674 1.0626194338366712 0.06180094368564707 0.14440795003517212 0.061453967745594036 7.972 3.26 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 0 34.54562044754819 0.08434455841890535 0.8180969386094245 0.03189492637909788 59251.96431877786 0.3637941728552447 None None 0.10409176405851235 0.06166023894451224 4.253 2.476 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 34.591290424059885 0.08595325737913356 0.8559803295027433 0.03257006414390875 59252.00124590234 0.36611902215055214 None None 0.10830702465332108 0.06152648792225442 4.96 2.532 0.0 0.0
J-c-o-ztfr 2D True F19 6 34.62894190096107 0.08588379787486919 0.8656362461743028 0.03303496101269735 59251.87160947327 0.3728317124286758 None None 0.08779342654678729 0.061887039328755965 4.687 2.927 0.0 0.0
J-c-ztfg-ztfr 1D3 True F19 6 34.533630521385696 0.08093106660135024 0.8238904641039251 0.031565069821877303 59251.50743853858 0.37164181740230995 None None 0.08006179668890519 0.06084205935080319 2.608 1.837 0.0 0.0
J-c-ztfg-ztfr 2D True F19 6 34.5634664669398 0.08046333420109436 0.8249427883868931 0.031916294044851364 59251.43414031219 0.37956992535812445 None None 0.060501356461354884 0.061087320922892374 3.323 2.231 0.0 0.0
J-o-ztfg-ztfr 1D3 True F19 6 34.56335559899856 0.08314541129321686 0.8257478415763514 0.03133851457227059 59251.96035634778 0.35446425994723196 None None 0.09712342109734039 0.06110281305026176 3.436 1.994 0.0 0.0
J-o-ztfg-ztfr 2D True F19 6 34.59089083846093 0.08253777328799514 0.8290091454077791 0.03160808643678514 59251.874444806526 0.3580420035647014 None None 0.07924721686028102 0.0613402490814307 3.747 2.362 0.0 0.0
J-o-ztfr 1D3 True O94 0 34.59452849463773 0.09009157105849462 0.8512910001044228 0.03291466745208851 59252.1187552121 0.3683876839795887 None None 0.0779252485672601 0.0672289943557203 4.46 1.704 0.0 0.006
J-ztfg-ztfr 1D3 True O94 0 34.49831336344376 0.08787991057724205 0.8653269878351203 0.032444686223044264 59250.960025605236 0.3958417881694668 None None 0.16760491050806867 0.061668193086675906 1.603 1.091 0.008 0.317
J-ztfg-ztfr 1D3 True F19 6 34.54560729183403 0.0829815852495436 0.8641033926961028 0.03139499482728447 59250.97147962481 0.3723312282943179 None None 0.11911186154052028 0.06070799092623719 1.619 1.102 0.007 0.301
J-ztfg-ztfr 2D True O94 0 34.533076045457584 0.0873223863305421 0.8687957923497839 0.03342363299207707 59250.84832475369 0.42029985419964605 None None 0.15066899923143098 0.06235044083349988 2.493 1.529 0.0 0.015
J-ztfg-ztfr 2D True F19 6 34.577252893171014 0.08215138688787711 0.8670176633207186 0.03195745519570305 59250.8683678283 0.38672871148736077 None None 0.10023813715545248 0.061025383540248467 2.504 1.54 0.0 0.014
J-ztfg-ztfr dehvils True O94 0 34.532760014184916 0.08677453590188443 0.8685814793151534 0.03310143231846732 59250.90508153062 0.40996388454748595 None None 0.15167030738029574 0.06201464390222771 2.193 1.387 0.0 0.049
o-ztfg-ztfr  True F19 6 34.54006159241829 0.08473906447006514 0.8268442174735089 0.0312270564877415 59252.18193680526 0.3550828756102812 None None 0.12041288431358264 0.0616636457086415 2.233 1.864 0.0 0.0
ztfg-ztfr  True O94 0 34.44211610585019 0.09141401228286813 0.858655929577816 0.0319563743180404 59251.30668527225 0.3914387991339469 None None 0.1967918824726609 0.06197489303682679 1.03 0.86 0.418 0.71
ztfg-ztfr  True F19 6 34.4931376872833 0.08560281046184859 0.8586529408053905 0.031034091263557172 59251.306951737235 0.3676832545361798 None None 0.15328584364349768 0.060940838743220184 1.03 0.86 0.419 0.711
