bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.548229933250745 0.2556050471783523 1.0856961058317356 0.12291311360935284 59253.14370505975 1.345833634989227 None None 0.3308469528715504 0.12838576807181545 0.439 0.437 0.977 0.977
c-o  True F19 6 37.66092863556654 0.23442515140816403 1.085683947871829 0.1228997173026557 59253.14392506432 1.3457606622522116 None None 0.2696711198621275 0.10515498557243387 0.439 0.437 0.977 0.977
c-o-ztfg  True F19 6 38.025883220085454 0.1154453177089127 1.211405561347543 0.05823053689849611 59251.546881582355 0.806810700859299 None None 0.07306308412218868 0.07031723816120888 0.417 0.413 0.997 0.997
c-o-ztfg-ztfr  True O94 0 38.02464195627426 0.10522776588516576 1.2524992492146207 0.05067107421114723 59251.82375583882 0.7747683907371349 None None 0.034336632060321566 0.07489025095928488 0.449 0.445 0.999 0.999
c-o-ztfg-ztfr  True F19 6 38.034579260704284 0.10057635135319296 1.2469516768429936 0.04913466240690855 59251.906502109865 0.7402475618299766 None None 0.09373811679138226 0.06557892134061413 0.426 0.422 0.999 0.999
c-o-ztfr  True F19 6 37.72446940442075 0.1319921045636566 1.181225310022877 0.07490505990875117 59253.127726528204 0.7054809165772441 None None 0.28167502494411134 0.07416710830467205 0.346 0.343 0.999 0.999
c-ztfg-ztfr  True F19 6 38.08896634204977 0.10791888083731216 1.261788060313042 0.058658844470285056 59252.06776930909 0.8666539958866977 None None 0.07869473191051875 0.06829052875124977 0.51 0.505 0.981 0.983
J-c-o 1D3 True O94 0 38.039030961491505 0.14887647045506525 1.2434802381931676 0.1015285448569387 59250.03468887128 1.916685064538522 None None 0.023517878392661166 0.11327496674176574 0.879 0.857 0.61 0.638
J-c-o 1D3 True F19 6 38.04279567567016 0.11366803963688708 1.2952920089560322 0.06918815058926334 59249.61706111242 1.2874958286347378 None None 0.11101138760516366 0.08255674734634583 0.579 0.572 0.917 0.922
J-c-o-ztfg 1D3 True F19 6 38.086441909987386 0.10076259062758493 1.2398145437735382 0.05547026030700063 59251.121823726964 0.7909954605458179 None None 0.054970987788195085 0.06820589876316198 0.437 0.433 0.996 0.997
J-c-o-ztfg-ztfr 1D3 True O94 0 38.1235564986962 0.10484173909808829 1.265747149078219 0.05436685555718963 59251.443144380035 0.8538003720705802 None None -0.01968641074129583 0.07663955507241364 0.536 0.528 0.993 0.994
J-c-o-ztfg-ztfr 1D3 True O94 1 38.14788384466321 0.10845016934170294 1.2664727943974061 0.05400252203147915 59251.436168740845 0.8475866412783333 None None -0.02859958622681258 0.075671196819763 0.525 0.517 0.994 0.995
J-c-o-ztfg-ztfr 1D3 True O94 2 38.15115167300179 0.1031030190435897 1.293666527989457 0.05019213782175769 59251.152946052534 0.7930354355744055 None None -0.04918724308851974 0.07715589695023 0.477 0.471 0.998 0.998
J-c-o-ztfg-ztfr 1D3 True O94 3 38.149973632614625 0.10874401788493047 1.2682568883355818 0.05388089617190927 59251.42112060013 0.8449750050379203 None None -0.023054105123030414 0.07334733203318676 0.522 0.515 0.994 0.995
J-c-o-ztfg-ztfr 1D3 True O94 4 38.149870820034636 0.10973526065285366 1.2643579250724961 0.05389203101595844 59251.46877758231 0.8441926228340564 None None -0.02464916662857019 0.07381169340950561 0.523 0.516 0.994 0.995
J-c-o-ztfg-ztfr 1D3 True O94 5 38.17037419087205 0.10573561563005857 1.286170960180206 0.04892339913214513 59251.2796539171 0.7653464893774754 None None -0.05751828646009399 0.07517288729119616 0.467 0.462 0.998 0.999
J-c-o-ztfg-ztfr 1D3 True F19 6 38.07398174052799 0.09585534254342533 1.2731120557933095 0.047589121434629116 59251.477372542395 0.7319121888065628 None None 0.08374293498355069 0.06500519487491527 0.442 0.438 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True F99 6 38.08013843380565 0.09471399991534203 1.2669571116633986 0.047231327676268954 59251.59960872205 0.7261398261122665 None None 0.08233729737306834 0.06442057494559815 0.434 0.43 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 6 38.07280123027679 0.09613438751779425 1.2714017147325938 0.04774067420436295 59251.51103933979 0.7350502040707209 None None 0.08434987197684653 0.06509675334695507 0.44 0.435 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 7 38.08387591641014 0.0986013665613238 1.2566826385563625 0.05017314036223837 59251.667704050655 0.7695620588372749 None None 0.07886336813924177 0.06522539521059158 0.465 0.46 0.998 0.999
J-c-o-ztfg-ztfr 1D3 True O94 8 38.12119787707102 0.09664670616270132 1.254197415040047 0.04919089039694593 59251.72857068636 0.751266137989253 None None 0.0873088894834265 0.06566496413444443 0.455 0.451 0.999 0.999
