bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.0346567441105 6.309223649114991 0.9086953370535463 7.723696996697489 59265.34534792443 17.93697971167162 None None 0.21518862992073806 11.973315846180382 23.129 19.031 0.0 0.0
c-o  False F19 6 None None None None None None None None None None None None None None
c-o-ztfg  True F19 6 36.00613771768591 0.10597809434120177 0.9903857521603474 0.03457208285312628 59266.27413255226 0.3575268101199083 None None 0.26081031780013575 0.06179521876896431 0.263 0.26 0.933 0.935
c-o-ztfg-ztfr  True O94 0 35.996680714882196 0.11556531958950965 1.0298969820826518 0.05000273596178964 59266.674641921854 0.4235598145826152 None None 0.29348529540787727 0.06538846911459169 0.779 0.763 0.636 0.651
c-o-ztfg-ztfr  True F19 6 36.06073329936206 0.10379695985145646 1.0360738832678613 0.04277986343137229 59266.62895285808 0.38527194617768434 None None 0.25346438771917534 0.06321260494097636 0.805 0.788 0.611 0.627
c-o-ztfr  False F19 6 None None None None None None None None None None None None None None
c-ztfg-ztfr  True F19 6 36.07268907729414 0.12487619793091688 1.251370352273025 0.05822425945518084 59267.13205136488 0.5163088461339438 None None 0.36207502856772783 0.06895591024235502 1.073 1.035 0.376 0.4
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.05432080684529 0.10614348377824984 0.9748721870021989 0.04991715411557909 59266.65761907289 0.4238678992225745 None None 0.217667032208736 0.06489403333136 1.358 1.303 0.158 0.19
J-c-o 1D3 False O94 0 36.27846851697247 0.11680707564532515 0.942372467906998 0.06943009837801457 59267.23623241613 0.5445351574611003 None None 0 0.06 None None None None
J-c-o 1D3 False F19 6 None None None None None None None None None None None None None None
J-c-o-ztfg 1D3 True F19 6 36.08193848034216 0.12259997398565463 0.965120471684173 0.05631496112908436 59266.41533897286 0.44109529042158907 None None 0.20288560875383962 0.06687559726734053 1.506 1.413 0.16 0.195
J-c-o-ztfg-ztfr 1D3 True O94 0 36.01503337943679 0.10691119735989246 0.9628550274060084 0.04538766695076866 59266.72204532365 0.4025230140880893 None None 0.24465883478071684 0.06344346818008031 1.111 1.055 0.348 0.394
J-c-o-ztfg-ztfr 1D3 True O94 1 35.99270532014583 0.1074872741306899 0.9582278409591248 0.04642017363145205 59266.70643416128 0.4048013030235544 None None 0.23315006686260922 0.06340496647665081 1.163 1.101 0.307 0.355
J-c-o-ztfg-ztfr 1D3 True O94 2 36.00886365218393 0.10794095406481839 0.9481376937665688 0.04754179867738271 59266.688461577185 0.4033138739370652 None None 0.24340861450672727 0.06370414414666417 1.159 1.093 0.31 0.362
J-c-o-ztfg-ztfr 1D3 True O94 3 35.984737499794306 0.10748951048414505 0.9654442458964083 0.046453174515257364 59266.69370779513 0.4082674153977581 None None 0.22959221246390782 0.06358419317609021 1.218 1.155 0.268 0.313
J-c-o-ztfg-ztfr 1D3 True O94 4 35.97881609203379 0.1075892113962001 0.9613713549395595 0.04676836054702656 59266.69517393328 0.40759877509722114 None None 0.22897548015584923 0.06355329190624856 1.211 1.148 0.273 0.319
J-c-o-ztfg-ztfr 1D3 True O94 5 35.98602346542941 0.10824970725086391 0.9480464899427202 0.0484738224086124 59266.67068130095 0.40679562441315165 None None 0.2276036663032364 0.0637015476784896 1.229 1.158 0.26 0.311
J-c-o-ztfg-ztfr 1D3 True F19 6 36.06713345183798 0.1052875979048651 0.9850676601505015 0.04897869339795794 59266.674441126626 0.42447295149159264 None None 0.21496693301314748 0.0647189884850839 1.491 1.414 0.127 0.158
J-c-o-ztfg-ztfr 1D3 False F99 6 36.12253508578433 0.10060239842634194 1.0001560862775338 0.04718826214935521 59266.667528978694 0.4175698202344763 None None 0.2046536234613086 0.06386953523513367 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 6 36.06914207831108 0.10509998177465266 0.9907677007328337 0.04837819515340603 59266.67487441033 0.4227364963986272 None None 0.21926433110894036 0.06465611722489617 None None None None
J-c-o-ztfg-ztfr 1D3 True O94 7 36.056045621021205 0.10169965377269305 0.9850936163505982 0.04588179233514445 59266.71483360127 0.4103882204845768 None None 0.20058293334349767 0.06395769708565084 1.211 1.156 0.273 0.312
J-c-o-ztfg-ztfr 1D3 True O94 8 36.147915001416706 0.10061567823590653 0.9925634472687992 0.04523039277778746 59266.71201066435 0.408893491301466 None None 0.21444482968688133 0.06430660385514127 1.17 1.124 0.302 0.337
J-c-o-ztfg-ztfr 1D3 True O94 9 36.072791964210104 0.10154747138044552 0.987109170969314 0.045768918562268515 59266.71200084523 0.41023994762115945 None None 0.20399754964162783 0.06403058931358034 1.205 1.152 0.277 0.315
J-c-o-ztfg-ztfr 1D3 True O94 10 36.06755497567895 0.10840481458929524 None None 59266.934863774215 0.3704352569142385 1.0831133345015842 0.07267221913507561 0.25075156933050535 0.06327715992795588 1.061 0.924 0.389 0.516
J-c-o-ztfg-ztfr 1D3 True O94 11 36.07110508270081 0.10815960835079555 None None 59266.93874284183 0.3707869514402453 1.0844651244391577 0.07290639260405751 0.24644290170990932 0.06327677053868147 1.077 0.936 0.376 0.504
J-c-o-ztfg-ztfr 1D3 True O94 12 36.088179524652354 0.10864688374104514 None None 59266.93037489838 0.37190716789053385 1.0842001498172964 0.07356441889704829 0.25048524374452996 0.06338598798091792 1.117 0.972 0.342 0.47
J-c-o-ztfg-ztfr 1D3 True O94 13 36.023693927555435 0.10877075730127173 None None 59266.88054329076 0.37576432777193525 1.0761316416991638 0.07493054397858816 0.22814669138719043 0.06360013526780554 1.227 1.082 0.262 0.371
J-c-o-ztfg-ztfr 1D3 True O94 14 36.04159423630795 0.10785560901967155 None None 59266.90517504541 0.3733739250813494 1.0795772454764034 0.0739052861624175 0.23611823434445814 0.06355431187605552 1.155 1.012 0.313 0.432
J-c-o-ztfg-ztfr 1D3 True O94 15 36.051225055917996 0.10885462811289151 None None 59266.8920374829 0.3770648960922145 1.077866513624896 0.07576578661309243 0.22760156202256906 0.06364745910755445 1.286 1.128 0.225 0.334
J-c-o-ztfr 1D3 False F19 6 None None None None None None None None None None None None None None
J-c-ztfg-ztfr 1D3 True F19 6 36.075114289454156 0.1188833223900112 1.0108848944871114 0.06577441995479918 59266.722379750085 0.515425519174555 None None 0.23344309600172627 0.06843684231193294 2.563 2.413 0.009 0.013
J-o-ztfg-ztfr 1D3 True F19 6 36.045709970418855 0.10429749344164699 0.9202184530106565 0.05906672118446715 59266.84423138774 0.40241540673372206 None None 0.17481738441216274 0.06355842898174556 0.925 0.884 0.509 0.547
J-o-ztfr 1D3 True O94 0 35.91842980865466 0.23189978063155242 0.893898028481951 0.10649622415297064 59267.365191135745 0.5500771910757868 None None 0.26005415054675857 0.12434899773599653 0.793 0.775 0.555 0.567
J-ztfg-ztfr 1D3 True O94 0 35.959252448389734 0.12448843786994698 0.930747597128446 0.07309185725920042 59266.95886181966 0.45715195462423885 None None 0.2521286361688746 0.06735598784038309 1.026 0.963 0.41 0.456
J-ztfg-ztfr 1D3 True F19 6 36.03706680824509 0.10928718013656238 0.9375001527508533 0.06470672030748406 59266.98238272307 0.4225002780657734 None None 0.18585898178011567 0.06417187981033931 0.995 0.933 0.432 0.479
o-ztfg-ztfr  True F19 6 36.06177335363067 0.10239655321053832 0.9408561944587495 0.06279089235874545 59266.718900012354 0.39816756445741286 None None 0.1773880078043732 0.06461284765813823 0.888 0.867 0.526 0.544
ztfg-ztfr  True O94 0 36.06563558702114 0.106688787363329 1.2295154690103114 0.06526192325573701 59267.3566729536 0.520168922822221 None None 0.23732276747289455 0.06675270618874712 0.513 0.476 0.766 0.795
ztfg-ztfr  True F19 6 36.131903071673214 0.10876704499750309 1.2302847585805778 0.04863647416330257 59267.35225642564 0.42797881530458654 None None 0.2825231457600652 0.06474754463829563 0.51 0.472 0.769 0.798
