bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.77139246602971 0.33143349425502044 0.9146201494314623 0.09166939908579502 59264.726663321395 0.9970873484438421 None None 0.28155583106029947 0.184165778140741 0.417 0.415 0.869 0.869
c-o  True F19 6 37.86739155969224 0.30037213396499146 0.9146390724083369 0.09165620784485905 59264.72708295 0.9968992879200426 None None 0.2103576721263043 0.18420123057758273 0.416 0.415 0.869 0.87
c-o-ztfg  True F19 6 38.156766062892316 0.1370448054874449 0.9380534732703883 0.04620173090285015 59265.248768302044 0.41426025114390624 None None 0.04332920221119678 0.07777505468610985 0.217 0.216 1.0 1.0
c-o-ztfg-ztfr  True O94 0 38.42798916121988 0.11012268328555577 0.9451866328300592 0.044706219047211275 59265.33011582499 0.41512099120102264 None None -0.0143996199946214 0.06923957547811369 0.279 0.278 1.0 1.0
c-o-ztfg-ztfr  True F19 6 38.42466766973711 0.10239573602000654 0.9467950964350119 0.04238916361887442 59265.32409122556 0.4024193937358033 None None -0.06819347875064682 0.06777513138783271 0.28 0.279 1.0 1.0
c-o-ztfr  True F19 6 38.432850848049405 0.1436107904751911 0.9370398382785602 0.05266516518344815 59265.34072809152 0.507258229791458 None None -0.08661134669265302 0.10031232214317409 0.379 0.378 0.987 0.988
c-ztfg-ztfr  True F19 6 38.464201110908036 0.10654534031165618 0.9560138766664035 0.044080519076580886 59265.22325352473 0.4087466539261252 None None -0.07928061393335406 0.0686487343429738 0.283 0.282 0.999 0.999
J-c-o 1D3 True O94 0 38.64008671275788 0.23424404842270669 0.9104697015717106 0.10185599524109108 59265.52856018041 0.9221183042838967 None None -0.16866226876832752 0.14711507894991638 0.611 0.609 0.789 0.791
J-c-o 1D3 True F19 6 38.61748913059836 0.18993558383749518 0.9202793319334257 0.0880752265111119 59265.47901149666 0.817683944446966 None None -0.22169140406263835 0.12791428581318282 0.578 0.576 0.816 0.818
J-c-o-ztfg 1D3 True F19 6 38.55801594610002 0.13238384933536412 0.9636239565567791 0.05465934124106234 59265.15822098521 0.45452723129301187 None None -0.11864357325599582 0.07661518542832814 0.346 0.345 0.996 0.996
J-c-o-ztfg-ztfr 1D3 True O94 0 38.53154757211998 0.10677768586719236 0.9567871567604096 0.045831298554972234 59265.285039935996 0.42166844474342 None None -0.05458384838685437 0.06819810915198936 0.344 0.343 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 1 38.569431708206736 0.10923327958231968 0.9561473207933062 0.045283502949307504 59265.29701030104 0.41859660008206406 None None -0.060815878171599176 0.06766589881850647 0.333 0.332 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 2 38.54787607694566 0.10835117533135458 0.9580810401217513 0.0465111915948773 59265.280537715735 0.4252501988806167 None None -0.0551067480858898 0.06849140241389495 0.36 0.359 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 3 38.5484003837846 0.10963216255349631 0.9559781101829002 0.04548086816324057 59265.2901518091 0.4198291761428008 None None -0.07284483116515102 0.06783725839843291 0.337 0.335 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 4 38.55185812341953 0.10940585455760303 0.9567912019664553 0.04528040192054604 59265.29623941826 0.41859095392888823 None None -0.07030732214816011 0.06769586252143077 0.333 0.332 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 5 38.56933243670201 0.11098845738144208 0.9569545643616154 0.0460442684670854 59265.28760025287 0.42274690911453616 None None -0.06735736093499811 0.06803793678841649 0.349 0.348 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F19 6 38.52007506436057 0.10432878348001036 0.9677511569110461 0.045254410018768586 59265.28608321928 0.41905240558350704 None None -0.10266189316584555 0.0680200574122061 0.326 0.324 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 6 38.507481773887704 0.10869544971425281 0.97829411428104 0.04952828691009879 59265.24333158295 0.44319341013889263 None None -0.08945673780675337 0.06939741983619796 0.348 0.347 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 6 38.519458421009276 0.1093053908576988 0.9698544381984616 0.04813672178339587 59265.27751934048 0.43546957272103376 None None -0.10107899040028522 0.0697137959595632 0.33 0.329 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 7 38.51036517383842 0.1052436093004633 0.9707039052976866 0.04533579984376508 59265.282335382784 0.4196862752577453 None None -0.10354568938878426 0.06800347421003552 0.326 0.325 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 8 38.4577496834395 0.0995213111697944 0.9722104360155035 0.04549330141904609 59265.267579143765 0.4206717002083293 None None -0.10157842193682935 0.068620770543117 0.328 0.326 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 9 38.50123403620375 0.1039261040000645 0.9703793009288885 0.0451723310203634 59265.281707376045 0.4189621053332947 None None -0.10302595894199107 0.06804229718973297 0.323 0.322 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 10 38.65741837688919 0.10983017118700225 None None 59265.36569587403 0.4181305172361283 0.9890183936856854 0.08671668243239401 -0.051788309320984036 0.0687864726793251 0.307 0.306 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 11 38.67437498989364 0.11018709705232517 None None 59265.368447614164 0.4175588438029196 0.9895734446021657 0.0864038091579326 -0.054149616908056225 0.06870336304078148 0.308 0.307 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 12 38.691555044860046 0.10658302984713772 None None 59265.36206751407 0.41808236582016434 0.9860291559960211 0.08609150223438682 -0.055431056875621276 0.06859780451483827 0.309 0.308 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 13 38.671582309008315 0.11507305739882233 None None 59265.372098683416 0.41571981737883434 0.9905025724936202 0.08559199544690733 -0.07574812454909971 0.06778197686272412 0.298 0.297 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 14 38.646043978422036 0.11290613601480433 None None 59265.36690203579 0.417269033279872 0.9894795225223567 0.08610238692710852 -0.06882887074737908 0.06829462396114355 0.308 0.306 1.0 1.0
