bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.22133019982804 0.10492990807967034 0.7929459174916683 0.0418469652432331 59273.85768863 0.4121677641796808 None None 0.05373423985002882 0.07422208003225392 1.891 1.532 0.035 0.112
c-o  True F19 6 35.25288266329528 0.09894196609608871 0.7929311667229525 0.04184644228152682 59273.85796189402 0.4121514261549717 None None 0.02790482053727561 0.07299599779260263 1.891 1.532 0.035 0.112
c-o-ztfg  True F19 6 35.2399886932558 0.07975641486413489 0.8099963492888157 0.03214996040372874 59273.521502961376 0.3525771226530172 None None 0.0487356468363777 0.0620168914488352 1.206 1.008 0.206 0.453
c-o-ztfg-ztfr  True O94 0 35.13826372548935 0.08567929497560448 0.804893173497651 0.03210483019326555 59273.52007553363 0.35413532191592945 None None 0.10375923781423957 0.06236926585948635 1.209 1.031 0.146 0.412
c-o-ztfg-ztfr  True F19 6 35.179468871298255 0.08241121003846669 0.8063067992712594 0.03151186463891789 59273.5164787076 0.349984739784359 None None 0.07588354063504069 0.061535103378895485 1.217 1.039 0.138 0.398
c-o-ztfr  True F19 6 35.17986456091581 0.09152283619947175 0.8031639582000196 0.033391127968365575 59273.68898648776 0.3654419542693239 None None 0.08026461433018413 0.06673538313185601 1.687 1.445 0.008 0.047
c-ztfg-ztfr  True F19 6 35.110688166288604 0.08333379869712071 0.8014081677248681 0.031111576927752804 59273.56647629804 0.34649324810409105 None None 0.10912042652165956 0.061132978201543946 0.735 0.61 0.897 0.978
J-c-o 1D3 True O94 0 35.27784460976172 0.09324067272757587 0.821272846282416 0.0417686329681622 59273.6411971364 0.4154830614489699 None None 0.0499731089440829 0.06929104527961763 2.817 2.168 0.0 0.007
J-c-o 1D3 True F19 6 35.293606678739174 0.09002237698156366 0.8163738205989166 0.03919591672222573 59273.66515396064 0.39234703578885827 None None 0.017844126390581343 0.06465129518086242 2.755 2.11 0.0 0.009
J-c-o 2D True F19 6 35.170748323223485 0.09280731731637987 0.7907504276098621 0.03874655974486225 59273.72238248349 0.3892759663703449 None None 0.08634462705632263 0.06595793188077667 2.196 1.791 0.006 0.034
J-c-o-ztfg 1D3 True F19 6 35.278752561235024 0.07845153811239601 0.8141849411581259 0.03245138136205684 59273.48867712952 0.35292374582522434 None None 0.02993357104229905 0.06121161384908413 1.514 1.198 0.031 0.204
J-c-o-ztfg 2D True F19 6 35.19713512929967 0.0808951897913736 0.8055613313555822 0.03244976949597405 59273.49940415825 0.3535421407075979 None None 0.0735276416580807 0.0615726110767402 1.364 1.144 0.082 0.263
J-c-o-ztfg-ztfr 1D3 True O94 0 35.214771022136375 0.08261460585846792 0.8171678298034881 0.03188676045940002 59273.51641438585 0.352463443393217 None None 0.07616703226150744 0.06164091726699246 1.792 1.433 0.0 0.02
J-c-o-ztfg-ztfr 1D3 True O94 1 35.22694624049253 0.08245949145450589 0.8160668694313361 0.03189669485523037 59273.52482532359 0.3522828270356079 None None 0.06396456600680593 0.06147953412132457 1.785 1.427 0.0 0.021
J-c-o-ztfg-ztfr 1D3 True O94 2 35.21504274279693 0.08282687864566385 0.8105514633330176 0.03204705379944916 59273.53559481107 0.3525574361938715 None None 0.06776096846475077 0.06168542777335555 1.896 1.501 0.0 0.01
J-c-o-ztfg-ztfr 1D3 True O94 3 35.2049665299631 0.08222443854984615 0.8167252720406452 0.03186926149019804 59273.521342774264 0.35221167050802066 None None 0.06131070269249414 0.06147308325141235 1.766 1.412 0.0 0.025
J-c-o-ztfg-ztfr 1D3 True O94 4 35.20906773918459 0.08214810037584121 0.8163486015502868 0.0318883217488549 59273.52393463911 0.35223163246037553 None None 0.056948591802384915 0.06146206585330002 1.785 1.421 0.0 0.023
J-c-o-ztfg-ztfr 1D3 True O94 5 35.210450252888265 0.08269075015923275 0.8097645462499502 0.03201787504800525 59273.54182480192 0.3522980120302464 None None 0.054895378875743174 0.06151458447012321 1.862 1.479 0.0 0.013
J-c-o-ztfg-ztfr 1D3 True F19 6 35.23725296324585 0.08130063042713953 0.8125220534433412 0.031892607152744244 59273.51703095924 0.35163385371779626 None None 0.04402087265468854 0.06124832640931493 1.709 1.371 0.001 0.037
J-c-o-ztfg-ztfr 1D3 True F99 6 35.227430468606286 0.08202394623508422 0.8092831943635266 0.03231632441427378 59273.49941918149 0.35438507918382617 None None 0.05352143448856736 0.061607574458593696 1.487 1.187 0.011 0.162
J-c-o-ztfg-ztfr 1D3 True O94 6 35.23110938403648 0.08238940492720843 0.8125666969960922 0.03254809169698507 59273.505947925165 0.35583485743104437 None None 0.04874012176107754 0.0618063707808069 1.661 1.326 0.002 0.055
J-c-o-ztfg-ztfr 1D3 True O94 7 35.22862684844319 0.08102227516964203 0.8174659767459647 0.03178972226395499 59273.50292663225 0.35168405827977156 None None 0.042249049741832675 0.061304330932121114 1.67 1.333 0.001 0.05
J-c-o-ztfg-ztfr 1D3 True O94 8 35.23596537748248 0.08072440649011542 0.8125494496091806 0.03162230361813502 59273.49940437187 0.3503856036587243 None None 0.05575801439627565 0.06141061696835382 1.482 1.191 0.012 0.157
J-c-o-ztfg-ztfr 1D3 True O94 9 35.23040298339197 0.08096129897746968 0.8173947457565027 0.03176847075947936 59273.50284118245 0.35162745645609667 None None 0.044407908531922516 0.06134716525633767 1.658 1.325 0.002 0.054
