bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.13295382318106 0.17823051348151953 1.0935081054351659 0.08283126842288004 59275.33642979444 0.668167122238551 None None 0.14097020323704387 0.13842607386639308 0.49 0.484 0.864 0.868
c-o  True F19 6 37.17414704458973 0.16078982492060773 1.0935154907075388 0.08283463579297679 59275.33703654891 0.6681498038353517 None None 0.10844989957586819 0.1429146868696591 0.49 0.484 0.864 0.868
c-o-ztfg  True F19 6 37.1709594576015 0.09010196170327663 1.0087210876907693 0.040729430764257335 59274.38812194834 0.38240827033062447 None None 0.023442617073626174 0.06486837309769969 0.44 0.435 0.994 0.994
c-o-ztfg-ztfr  True O94 0 37.013753987981524 0.09797166109292396 1.0116809936545559 0.03856862667468966 59274.572508609825 0.39666555821565586 None None 0.13638449167131764 0.06491989707080506 0.62 0.61 0.982 0.985
c-o-ztfg-ztfr  True F19 6 37.054056223412864 0.09013956537510939 1.009294212267163 0.036687264098509434 59274.55985952432 0.3843971799344826 None None 0.0784494468832916 0.06415481387846529 0.565 0.555 0.993 0.995
c-o-ztfr  True F19 6 37.1745779685802 0.13622851468762578 0.9840223376008842 0.03723038429013507 59275.5614236544 0.4581448446331064 None None -0.05560589237931388 0.1250004429483895 0.507 0.497 0.987 0.989
c-ztfg-ztfr  True F19 6 36.896202590526514 0.08947828559144179 0.9670024905451408 0.032893970000711176 59274.49512592118 0.3642156992185251 None None 0.11469118710721915 0.06260619917891413 0.295 0.289 1.0 1.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 37.07959595890239 0.08719185478339397 1.021701831197267 0.04090220698803629 59274.38558838186 0.41184839179175103 None None 0.06650992597767587 0.0645555465379105 1.017 1.005 0.439 0.463
J-c-o 1D3 True O94 0 37.187115314405155 0.09837938801310353 1.1511493077021815 0.0419494131500481 59274.950148436525 0.473917606235084 None None 0.114878686527145 0.07013406515833673 0.38 0.373 0.964 0.967
J-c-o 1D3 True F19 6 37.12400995160965 0.09345418557543828 1.1483230623242626 0.03944382209680888 59275.035387362856 0.44558889189675904 None None 0.20149437356149846 0.06688136058235765 0.428 0.419 0.945 0.948
J-c-o-ztfg 1D3 True F19 6 37.08150210425202 0.0838249366189416 0.9883326313420684 0.040065282274004375 59274.334559801784 0.3814667193253174 None None 0.05297173636340887 0.06298500625976043 0.498 0.489 0.989 0.99
J-c-o-ztfg-ztfr 1D3 True O94 0 37.07176315155643 0.08925489348718335 1.01865985292427 0.03785775825532824 59274.52171383702 0.3858175994888189 None None 0.10454032375741358 0.062051510365396904 0.666 0.651 0.968 0.975
J-c-o-ztfg-ztfr 1D3 True O94 1 37.08044072312673 0.08885282233781229 1.0193115508212829 0.0377825263450039 59274.519398154946 0.38534062781727524 None None 0.09563199317357428 0.06182201489162679 0.657 0.642 0.972 0.978
J-c-o-ztfg-ztfr 1D3 True O94 2 37.11596237365786 0.0888699613571223 1.0366614145662139 0.038893250588538854 59274.47381225759 0.38987000461837024 None None 0.09644272536296686 0.06212615984004964 0.71 0.694 0.942 0.953
J-c-o-ztfg-ztfr 1D3 True O94 3 37.05802907534865 0.08848127723255926 1.0171319550141062 0.03742385604485397 59274.51151716334 0.38373974763188573 None None 0.09159636653268652 0.061846906944807455 0.63 0.616 0.982 0.986
J-c-o-ztfg-ztfr 1D3 True O94 4 37.06426862765563 0.08852984305232407 1.019454477717517 0.037632277181436 59274.512393726 0.38460030867698786 None None 0.08994297057288106 0.061841038138896375 0.643 0.628 0.978 0.983
J-c-o-ztfg-ztfr 1D3 True O94 5 37.11104979116063 0.08811823551847395 1.033066157312361 0.03838524685254319 59274.47582465137 0.3881377949639327 None None 0.08401372078059637 0.06190025855403196 0.682 0.667 0.96 0.968
J-c-o-ztfg-ztfr 1D3 True F19 6 37.07680427465501 0.0849754757980865 1.0217511715485033 0.036599382196830336 59274.45611286077 0.3824653953249431 None None 0.07110625188487574 0.06263344639306757 0.589 0.576 0.991 0.993
J-c-o-ztfg-ztfr 1D3 True F99 6 37.045175368058246 0.08599985041535893 0.997781111785809 0.036313765120327975 59274.4178648037 0.3887496261335675 None None 0.07907107654662712 0.06343085437655245 0.596 0.583 0.99 0.992
J-c-o-ztfg-ztfr 1D3 True O94 6 37.07057402601381 0.08579469227919857 1.019381885448059 0.03729743118182277 59274.44651720227 0.38896124005507343 None None 0.07354361815953057 0.0632573472524077 0.582 0.569 0.993 0.994
