bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.352443090056276 0.3819812732658597 1.1894434650118475 0.486966704588939 59296.93460317494 4.353520989424984 None None 0.5037667476235111 0.2936362647859689 0.915 0.908 0.483 0.488
c-o  True F19 6 37.50667827703019 0.4721971540319696 1.189056452840016 0.4888987281617717 59296.85838237105 4.409495870811288 None None 0.49306089650578816 0.2191741644646429 0.913 0.907 0.484 0.488
c-o-ztfg  True F19 6 37.240456343336916 0.09250685774658138 1.0055550360567969 0.040211384442749284 59277.031261333395 0.4121329008529207 None None -0.05618516653552337 0.06532271958421731 0.502 0.489 0.991 0.992
c-o-ztfg-ztfr  True O94 0 37.050665503230555 0.09971755725614154 1.0689074805541123 0.04430757532043578 59277.237902104964 0.45810766302343314 None None 0.10822515197876917 0.06529293790110799 0.804 0.775 0.846 0.884
c-o-ztfg-ztfr  True F19 6 37.086329082067756 0.09188058473331041 1.0561406505903017 0.040655357125980174 59277.314589858404 0.4356921626987132 None None 0.05391715306932686 0.0642042932791489 0.748 0.721 0.913 0.937
c-o-ztfr  True F19 6 37.16496269768177 0.12171123330920772 1.0345746468286703 0.03777034719337572 59277.85003310992 0.461850972300809 None None -0.04139928429710784 0.10599954281969999 0.389 0.373 0.999 1.0
c-ztfg-ztfr  True F19 6 36.915139972052614 0.09420327994035253 1.0417132438418135 0.03783166309568019 59276.786200238 0.423999251778665 None None 0.12182222904542593 0.06332840392107776 0.444 0.423 0.999 0.999
J-c-o 1D3 True O94 0 37.22509456378978 0.09686760196614681 1.0437220937004048 0.05645846628303771 59277.380926754784 0.555264560211061 None None -0.0062419067844064705 0.07251808137109121 0.698 0.672 0.799 0.824
J-c-o 1D3 True F19 6 37.20906701135843 0.08935349303570993 1.057949132429719 0.05277411522217745 59277.302652139406 0.4949180283456596 None None -0.018211414306113338 0.08058448586207904 0.731 0.703 0.764 0.794
J-c-o 2D True O94 0 37.234706103263726 0.10391561888526712 1.0245969433329518 0.054492920312916276 59277.4811682477 0.5594892904814669 None None -0.029190130051340427 0.07539223073681901 0.613 0.594 0.877 0.891
J-c-o 2D True F19 6 37.2107439974602 0.09095541231154339 1.0142091682337433 0.04980004046322499 59277.52995694766 0.4981397275905174 None None -0.07027566849614167 0.07920558850002324 0.605 0.587 0.883 0.896
