bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.32064318791035 0.17914749056664295 0.9353251655741209 0.05678852601802877 59277.48483930136 0.5268495190046563 None None -0.5333347895242937 0.14878143646616043 1.28 1.241 0.235 0.258
c-o  False F19 6 None None None None None None None None None None None None None None
c-o-ztfg  True F19 6 37.10807574322664 0.12384338737545052 0.992777178447708 0.04256470910285105 59277.7270762444 0.39897421639456254 None None -0.36319078941961563 0.06777266165683841 1.151 1.09 0.258 0.334
c-o-ztfg-ztfr  True O94 0 37.03553857551636 0.11284936663877146 0.9761766456220153 0.04164914499951291 59277.6204423573 0.42469363613204364 None None -0.25825517345816823 0.06921058770373327 1.805 1.741 0.0 0.001
c-o-ztfg-ztfr  True F19 6 36.99628828540258 0.11546603998523253 0.9738590817922573 0.03907657979427342 59277.62645196902 0.40634276517240947 None None -0.32636950628466926 0.06749151356858714 1.657 1.598 0.002 0.005
c-o-ztfr  True F19 6 37.23664687293991 0.1702562022535589 0.9426695781992633 0.041884576914338084 59277.22908053781 0.49621679515459916 None None -0.5887861115781325 0.1365467002909568 1.974 1.911 0.002 0.003
c-ztfg-ztfr  True F19 6 36.844604988715446 0.12048893439136876 0.9488203362575092 0.038845843380903085 59277.777405508314 0.40536388311558963 None None -0.2824933022032967 0.06872419734660463 1.536 1.467 0.017 0.03
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.97218136993252 0.11530569776478708 0.9645797269910146 0.038067531873239725 59277.627969148525 0.39489014298317465 None None -0.3286918853283902 0.06669728256472666 1.586 1.528 0.004 0.007
J-c-o 1D3 True O94 0 37.213780330540935 0.1976486429887866 0.945489776675248 0.07247002629390943 59277.248532645295 0.6579428448682406 None None -0.4430843943180019 0.17389316301133623 2.372 2.295 0.005 0.006
J-c-o 1D3 True F19 6 37.117569539919344 0.16243021253889373 0.9442911596760933 0.06470929010690013 59277.250882042186 0.5934316768205098 None None -0.4956650065800199 0.1552492333653383 2.368 2.292 0.005 0.007
