bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.648481219761564 0.24158205091650672 1.0981075704323038 0.19825147098220194 59279.04160626013 2.662921498909885 None None 0.0645932806022298 0.11790588441120929 0.961 0.903 0.47 0.522
c-o  True F19 6 36.67147157821924 0.29049129281980124 1.0981770204232089 0.2188809297933044 59279.038925519584 2.9428221715656258 None None 0.03321982436630967 0.10112161867341456 0.963 0.905 0.468 0.52
c-o  True F99 6 36.682516759676034 0.27488697794583306 1.0981629262005086 0.2187317349317194 59279.03955351128 2.9406220068090856 None None 0.028668945769914463 0.09408043345967994 0.962 0.904 0.0 1.0
c-o-ztfg  True F19 6 36.51966242377074 0.11045674822478692 1.0741401365685062 0.05317550607691915 59280.0532580193 0.44464289998837786 None None 0.1727348480132638 0.06517595657636537 0.82 0.779 0.744 0.8
c-o-ztfg-ztfr  True O94 0 36.45542486735699 0.10627838793657968 1.1168485616307362 0.04358063215382602 59279.89760476596 0.4041612681462571 None None 0.22784935065710896 0.06435885406622992 0.578 0.529 0.994 0.998
c-o-ztfg-ztfr  True F19 6 36.505963904946164 0.1006754890003965 1.1047059966556914 0.04239242489010834 59279.90601057531 0.39963169598000237 None None 0.19878138558561387 0.062050931423445845 0.559 0.521 0.996 0.998
c-o-ztfr  True F19 6 36.63589356969774 0.1119816728177119 1.1069919251751614 0.06181733896944384 59279.80001251922 0.6387762533502256 None None 0.07889643545029255 0.06717210805917717 0.437 0.402 0.998 0.999
c-ztfg-ztfr  True F19 6 36.4704635485883 0.10824363984789755 1.1158692809309454 0.04565185135992954 59279.90079513844 0.39736904310911925 None None 0.22756225128361682 0.06254263062500812 0.597 0.552 0.986 0.994
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.60288145834542 0.11612133382002517 1.084421790226396 0.06988703261698938 59280.632386039986 0.6555922631039975 None None 0.13398953910692551 0.07288142797662409 8.256 8.059 0.0 0.0
J-c-o 1D3 True O94 0 36.68320149959277 0.09233914958239006 1.0447297522660077 0.04050723089454074 59279.99839416149 0.5273364355892223 None None 0.03154870415043848 0.06501607405984598 0.953 0.886 0.5 0.574
J-c-o 1D3 True F19 6 36.665779118906464 0.08712781642754937 1.0563163291077837 0.039887523926616576 59280.03584826219 0.503332606818084 None None 0.019167841667692163 0.06580910452321366 0.786 0.73 0.686 0.746
J-c-o 2D True F19 6 36.656481707834516 0.09262084810602222 1.0614293968774984 0.044239409167243976 59279.984222283674 0.5655930779292646 None None 0.02915025301337498 0.06722083426251003 0.727 0.687 0.749 0.79
J-c-o dehvils True O94 0 36.623149836451105 0.09700445117879032 1.0451398109015737 0.041313319538564965 59280.58569600725 0.5428900649856372 None None 0.08379010163086835 0.06709007617435514 1.394 1.142 0.146 0.314
J-c-o dehvils True F19 6 36.62024553150582 0.09066776015390075 1.0508424953762776 0.041503367264682525 59280.59174793985 0.5368810087276032 None None 0.0629556826841311 0.06813149511797248 1.33 1.073 0.18 0.376
J-c-o-ztfg 1D3 True F19 6 36.65409056596733 0.087268785450462 1.0788023022688291 0.04121764599986026 59280.111188387054 0.40588051269533304 None None 0.10074591837283897 0.06235747552995075 0.925 0.844 0.595 0.728
J-c-o-ztfg 2D True F19 6 36.612201577152376 0.09270028486756511 1.0699819089977958 0.043588413589758075 59280.156050570746 0.41320459482705596 None None 0.11787822031834513 0.06278144521532533 0.847 0.795 0.724 0.801
J-c-o-ztfg-ztfr 1D3 True O94 0 36.62215063380188 0.09387126508303666 1.078175710576894 0.040172036912140045 59280.21429628225 0.40681570552187557 None None 0.12338414448952519 0.06242194038664896 2.527 2.173 0.0 0.0
