bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.38400136412723 0.09231168927095663 17.98337060616249 0.03945247694068197 17.803362836871457 0.09630756552983602 59288.34615026627 3.129960014663276 0.418 0.413 0.964 0.966
c-o  True O94 None None None None 1.3842007697686975 0.09227582303813063 17.983804122613165 0.03944894439575032 17.804303674626958 0.09634583137021609 59288.33747866693 3.1302349395834663 0.418 0.413 0.965 0.966
c-o-ztfr  True F19 None None None None 1.3459188949282268 0.060175620395271245 17.97404609955423 0.031847155894578004 17.81687531971097 0.07490030480892736 59289.36332800345 1.7448585255759979 0.507 0.5 0.984 0.986
c-o-ztfr  True O94 None None None None 1.3462005622610362 0.06262355438566351 17.974741377365476 0.032759765025600206 17.817875221286847 0.07714014513478876 59289.35336492381 1.8364251354323267 0.506 0.5 0.984 0.986
J-asg-c-o-ztfr 2D True F19 17.819570279697817 0.1377772727686834 18.502001287955828 0.10633201510018822 1.0757217108118464 0.07271339022252271 17.92372114195278 0.03729516998740641 17.889326779968194 0.07737655570760547 59293.396599875006 1.1083016062750681 0.865 0.851 0.674 0.695
J-c-o 1D3 True O94 None None 18.553134772098154 0.0984119053226028 1.0908469455759227 0.10384958974951669 17.95808272717266 0.04734758725010335 17.866432505839605 0.04671612269446764 59294.37931065752 1.240465789574211 0.632 0.622 0.851 0.859
J-c-o 2D True O94 None None 18.561787182801236 0.10019619290254735 1.0903184670957333 0.10550793071724794 17.957864509317815 0.047774989221408916 17.866261599691953 0.047049529792258064 59294.38401208171 1.2587276366885385 0.637 0.627 0.847 0.855
J-c-o-ztfr 2D True F19 None None 18.551658516883542 0.09153604953042713 1.0754366915511657 0.06929221363399676 17.94218545360985 0.03533194757015207 17.855930665911906 0.04155024755349264 59294.15415478742 0.9651813364020914 0.612 0.603 0.949 0.954
J-c-o-ztfr 2D True F99 None None 18.559166503899274 0.09507323886611417 1.0754540810710507 0.07210761113807065 17.955072055170685 0.03641792075541351 17.862926036877102 0.04320108080624609 59294.15293939795 1.007498830320743 0.612 0.602 0.949 0.955
J-c-o-ztfr 2D True O94 None None 18.552196336180767 0.09510902116656964 1.0754309044249601 0.07211066619207947 17.94288415599543 0.0364248557827935 17.8570482651068 0.043214931185571834 59294.15074271164 1.0079346139213543 0.612 0.603 0.949 0.954
