bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.987982285888144 0.21133609285797117 1.189070225566283 0.12454115948720093 59308.14056049662 1.3294203020610884 None None 0.5844432086019858 0.1254282031907026 0.472 0.467 0.98 0.981
c-o  True F19 6 37.16024361903117 0.19608843731294914 1.189071373459964 0.12454837452507543 59308.14312672472 1.3287184998458619 None None 0.5750762722462845 0.08463848199614699 0.473 0.468 0.98 0.981
c-o-ztfg  True F19 6 37.679785637000286 0.13005400808383744 1.4200716892302123 0.04919684034152758 59301.47452308361 0.4878668594146436 None None 0.2552599075248268 0.06981981100107632 0.637 0.631 0.974 0.976
c-o-ztfg-ztfr  True O94 0 37.792793860815905 0.11039463383061388 1.43782045541124 0.043171286078938775 59301.46966275644 0.4968463848489436 None None -0.05560183081181856 0.07330741275486675 0.579 0.574 0.998 0.998
c-o-ztfg-ztfr  True F19 6 37.7823630453969 0.11339406941150934 1.4406269654903328 0.0412700524245705 59301.47189326496 0.4738741092116758 None None 0.21985652986595802 0.06499124505566535 0.55 0.545 0.999 0.999
c-o-ztfr  True F19 6 37.502387755691686 0.1338251514094883 1.39281945773647 0.05256226059608769 59301.415907951436 1.122193529736294 None None 0.3994603732305029 0.07755110437781094 0.489 0.484 0.998 0.999
c-ztfg-ztfr  True F19 6 37.891577216317685 0.11620648601532663 1.4846942025560619 0.04512978080600477 59301.4741936688 0.4790674716015769 None None 0.19646930802320398 0.06609497505897743 0.456 0.452 1.0 1.0
J-c-o 1D3 True O94 0 37.75079080891186 0.17078979547359988 1.1963691935097716 0.07356546971563227 59305.931561956575 0.744079701140806 None None 0.12384663991971283 0.10473501361976206 1.688 1.633 0.017 0.024
J-c-o 1D3 True F19 6 37.793662502754195 0.11661793653426987 1.375521857266557 0.05819742635465836 59306.118262747776 0.6318553500562609 None None 0.2667413417154966 0.07489235236122134 1.037 1.019 0.412 0.436
J-c-o-ztfg 1D3 True F19 6 37.92234850130453 0.11781760551735466 1.5206277670215471 0.05700519958123227 59302.034882260494 0.5758682301740549 None None 0.20441062448348732 0.07144880411894494 1.044 1.003 0.389 0.468
J-c-o-ztfg-ztfr 1D3 True O94 0 38.057271286837945 0.11258815486476446 1.3331744896426834 0.04800851135482334 59303.01254980083 0.5430190290206863 None None -0.11283281248823687 0.07682217060278579 1.486 1.383 0.005 0.019
J-c-o-ztfg-ztfr 1D3 True O94 1 38.120868127754754 0.11698806176772854 1.3549571170647259 0.0487288621064339 59302.87947471969 0.5480617049387501 None None -0.1404447518055273 0.07695361587436986 1.386 1.294 0.018 0.05
