bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59306.8029033207 1.4851461296039112 8.28160807414621 3.239521149203211 0.261351906764251 4.549506396826679 0.5883120388854637 4.138376776996449 0.876 0.874 0.416 0.417
c-o  True F19 59307.31289228418 0.4113183062932977 6.728302712822838 0.056664832464199 0.35630958424435455 0.32511612573360404 -0.03428293494584006 0.052256078138348476 0.454 0.39 0.968 0.985
c-o  True F99 59307.31302090633 0.4112930912202881 6.728720718729484 0.056659485710142905 0.3566144487148303 0.32513912840300063 -0.036289047654640194 0.05225502190074479 0.454 0.39 0.968 0.985
c-o-ztfg  True F19 59307.08089235777 0.202240799122861 6.7442390149024245 0.02906966830567769 0.24784502065102473 0.19089249335136022 -0.04970873906175119 0.03207498931034872 0.914 0.54 0.619 0.99
c-o-ztfg  True F99 59307.11249416982 0.17680988562943295 7.786496919510081 0.027593744909323942 0.2268145058082538 0.1724966326256342 -0.06506212317423526 0.030098035396213814 0.305 0.286 1.0 1.0
c-o-ztfg-ztfr  True F19 59307.08163239659 0.16477642386064198 6.688852420774349 0.02743908459610907 0.25890529905690074 0.15125842156127234 -0.050781457278896935 0.025600296198098216 0.307 0.232 1.0 1.0
c-o-ztfg-ztfr  True F99 59307.12395944835 0.14085228117843338 6.691742962097179 0.026026927719760614 0.23004745345594352 0.13493524223148345 -0.05163147686397361 0.024252470509918238 0.305 0.279 1.0 1.0
c-o-ztfr  True F19 59307.16332181594 0.23327646176226866 6.791229013460415 0.05453087828635216 0.30030119476344924 0.19693536218205374 -0.005885959752265387 0.04539869664602473 0.851 0.518 0.715 0.991
c-o-ztfr  True F99 59307.20456500397 0.19150451074925742 7.834717658339934 0.048430573487277605 0.2614335061042461 0.17394495654378794 -0.01966867881584842 0.04074185972918752 0.368 0.35 1.0 1.0
c-ztfg  True F99 59307.08923076726 0.20316872339240805 7.771689802796564 0.041973217579565 0.270854634659078 0.2052616663334859 -0.1045548977618024 0.08093421425434856 0.275 0.268 1.0 1.0
c-ztfg-ztfr  True F19 59307.058745911316 0.17804715496408757 6.753636811939364 0.028927266379400646 0.2885602619414764 0.16658062050750438 -0.02938111216251844 0.030493110713683737 0.93 0.523 0.6 0.995
c-ztfg-ztfr  True F99 59307.10669891421 0.15293826170930191 7.795673195928021 0.027545986219575207 0.25661259096055106 0.14886271222836342 -0.04545339035321932 0.02906858240507245 0.299 0.271 1.0 1.0
c-ztfr  True F99 59307.20360510463 0.22521844425607548 7.849978856080865 0.05388121913425695 0.3104784871592655 0.20497693182733212 -0.002066413481930676 0.04990567857172851 0.373 0.364 0.995 0.996
J 1D3 True F99 59307.133507322884 1.3281673126109397 -13.464094770074592 80.3257619898879 7.253327510760351 23.067233496921848 -7.739064670797192 29.42937769259594 -1 -1 -1 -1
J 2D True F99 59307.17105516893 1.1502815096597663 -17.936781425785654 79.9490967293602 5.126995523471276 16.96981154264113 -9.372150486705749 29.540912166623333 -1 -1 -1 -1
J dehvils False F99 59307.9950630043 -1 6.419480133660428 -1 31.669441586584586 -1 -1.0477870767617434 -1 None None None None
J-c 1D3 True F99 59307.52659720376 0.5552054385395634 6.740760228696588 0.044224960063614156 0.9198690581322373 0.6290824131059832 -0.04666975047335546 0.04065396961364788 0.387 0.379 0.888 0.893
J-c 2D True F99 59307.47422048448 0.6067822950086073 6.729875569103875 0.06142489280966582 0.9588758983566852 0.6532584991627506 -0.06268241050881321 0.07497102695131187 0.363 0.356 0.903 0.907
J-c dehvils True F99 59307.742368267616 0.32332561250461284 6.75700788777306 0.04129556201705047 0.8307570851332522 0.6043107064793605 -0.025687526412689485 0.03472985799392786 0.502 0.485 0.775 0.787
J-c-o 1D3 True F19 59307.38193380921 0.36870292176313685 6.783624522333382 0.046002494980166765 0.38032876103590074 0.3176686099199721 -0.027636477667051323 0.03653795164971091 0.887 0.574 0.604 0.933
J-c-o 1D3 True F99 59307.38193952684 0.3688176742334779 6.783625349717424 0.04601585729397386 0.3803923995606539 0.3177320199332128 -0.0276376640653287 0.036550989897641994 0.838 0.55 0.669 0.946
J-c-o 2D True F19 59307.38353681764 0.37083315460361505 6.722305158321332 0.05123840770143373 0.3823468904185289 0.3211227651527385 -0.04305924240959096 0.04444774860316485 0.389 0.328 0.993 0.998
J-c-o 2D True F99 59307.38268394205 0.37080921036047326 6.783551508327189 0.05128977706162328 0.38052429584416525 0.32100458756784855 -0.027736321482195563 0.04449565648451035 0.833 0.547 0.675 0.948
J-c-o dehvils True F19 59307.45107721169 0.3422007282269614 6.732775410228742 0.04533203446644287 0.37043901019389824 0.3155740990249589 -0.03263357384075663 0.03533355090771498 0.454 0.354 0.979 0.996
J-c-o dehvils True F99 59307.45093698298 0.3420760138315998 6.794676225582642 0.04537543541947798 0.3672982193944958 0.3153415900399742 -0.01657713684158886 0.03536301080783811 0.936 0.586 0.537 0.919
J-c-o-ztfg 1D3 True F99 59307.15116746088 0.17122579399700927 6.6890895990958095 0.025528849279163816 0.23368350556407422 0.1723852296192202 -0.06269255923634467 0.024140107247485863 0.298 0.28 1.0 1.0
J-c-o-ztfg 2D True F99 59307.14558800752 0.17198504823553526 6.685753928150058 0.026782251641066478 0.23453611108476982 0.17250387007514092 -0.06815761730540977 0.02767485743394826 0.292 0.274 1.0 1.0
J-c-o-ztfg dehvils True F99 59307.242111559885 0.16143147021504056 6.696920809923363 0.025153974214353104 0.24794517385384784 0.17248778927615618 -0.05408858625183956 0.02274975943167494 0.382 0.35 1.0 1.0
