bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59320.15861559856 0.24585204072801628 3.7676024073219017 0.3886479385196652 -0.615217552219652 0.19212485855984068 0.1713921786476718 0.4129200910923305 34.705 2.253 0.0 0.046
c-o  True F19 59320.2835072758 0.13243346182915217 2.5159631825382776 0.06418824261255043 -0.5729476197939195 0.10188118452641416 0.014886013383197925 0.04834454515569491 22.212 0.191 0.0 1.0
c-o  True F99 59320.28377461202 0.13243610514682838 2.515815963499092 0.0641911241917531 -0.5727312517872388 0.10187591552913376 0.012700301609157985 0.04834847982315699 22.21 0.191 0.0 1.0
c-o-ztfg  True F19 59320.1079787925 0.07949847297721085 2.651761539418412 0.028086761466975585 -0.6232381903131439 0.07370674415504333 0.08612637650575299 0.026506743896965338 73.72 0.734 0.0 0.905
c-o-ztfg  True F99 59320.258315725696 0.027334899500905077 3.6759113994689603 0.023145872119711693 -0.6338601919867606 0.024657692338395733 0.05989483211563083 0.022819363951307497 21.584 2.332 0.0 0.0
c-o-ztfg-ztfr  True F19 59320.092694171966 0.07124503803448445 2.5876010460423937 0.02690605974600218 -0.6294102015346701 0.06486444797051374 0.07187252429152144 0.02252635907034734 17.438 0.253 0.0 1.0
c-o-ztfg-ztfr  True F99 59320.23891845731 0.024979417214643876 2.5816580453468765 0.022051246759365376 -0.6465579777058637 0.022677068636887784 0.06730552401359317 0.019446927370955512 16.852 1.865 0.0 0.0
c-o-ztfr  True F19 59320.17172150209 0.10277327469055043 2.599681225157784 0.06051596568347292 -0.599935351181814 0.08242045959447815 0.04990750407832028 0.04327536826851365 58.573 0.466 0.0 0.999
c-o-ztfr  True F99 59320.3148154747 0.030226666000462938 3.631778676023141 0.039391545943390574 -0.6201746216175519 0.026061610015966193 0.030780665040037576 0.03061144224529184 15.904 1.865 0.0 0.001
c-ztfg  True F99 59320.10694710952 0.0400139588806131 3.73958882560223 0.0381669292784828 -0.7312362541285418 0.04890796396319485 0.1612655349770348 0.04851234212538483 8.131 1.496 0.0 0.045
c-ztfg-ztfr  True F19 59320.0680131424 0.07350793220086127 2.656107627207848 0.029895886518745633 -0.6543284977156076 0.07985527965219599 0.09743367519433188 0.028177978607043394 44.292 0.63 0.0 0.978
c-ztfg-ztfr  True F99 59320.144182583594 0.02996148745065976 3.6903114379425483 0.025600271591655087 -0.7020651565660598 0.037194972779908304 0.08712809003684749 0.02474442010342956 7.448 1.24 0.0 0.123
c-ztfr  True F99 59320.204699644615 0.0400937699920005 3.64723487101468 0.05028177175516913 -0.6564861944060709 0.05306162172642174 0.050536682325254954 0.041681525673742795 7.818 1.149 0.0 0.275
J 1D3 False F99 59320.74907113664 0.05087313827584735 39.9907541642449 15.96737618214855 3.870287346320099 0.5014883441940018 12.34119903663391 5.33679494025587 None None None None
J dehvils False F99 59320.71104687972 0.051256604250414395 36.92389388668686 14.218225490821535 3.3676713472963016 0.4672278765891987 10.965398152912673 4.755952674676023 None None None None
J-c 1D3 True F99 59320.06655758887 0.020818236958881485 2.647018322330155 0.036399740546793576 -0.4282978931667584 0.08749115044190449 0.11957514419464103 0.026377527542621005 821.317 74.916 0.0 0.0
J-c dehvils True F99 59320.11699576175 0.023697291515386458 2.6275266050148574 0.03663679626625451 -0.46643052876496216 0.08817234195223302 0.10691212959016583 0.026545976878792482 456.771 68.818 0.0 0.0
J-c-o 1D3 True F19 59320.18782321868 0.117472244719854 2.6602279189851648 0.04880097224978531 -0.5826042385797148 0.10163856845082034 0.09842481074821752 0.032406200510251296 992.557 0.713 0.0 0.866
J-c-o 1D3 True F99 59320.187782416135 0.1175461823423607 2.6602387572279955 0.04883279738757133 -0.5825864856654783 0.10173646969700698 0.09843884173782438 0.032427274639772394 972.278 0.687 0.0 0.891
J-c-o 2D True F19 59320.18797347101 0.11760399204489122 2.5952359554990503 0.04881710736581431 -0.5817018375353178 0.10173599093847956 0.0817976611680676 0.03242319489864961 721.186 0.426 0.0 0.997
J-c-o 2D True F99 59320.186674139004 0.11760984120863381 2.6601899823900377 0.04884537727343689 -0.5825347210347451 0.10174568038142418 0.09838831414680678 0.03244093381373262 823.38 0.678 0.0 0.899
J-c-o dehvils True F19 59320.197623755135 0.11896460674286183 2.5924221177219846 0.049017826641551535 -0.5821886565802041 0.10171281042909622 0.07953278551035872 0.032623186267023846 334.679 0.421 0.0 0.996
J-c-o dehvils True F99 59320.19637009846 0.11897107189023023 2.657365905735719 0.04904648042521008 -0.5830283370474505 0.10172184201770308 0.09611547780361984 0.03264114047150268 422.914 0.682 0.0 0.89
J-c-o-ztfg 1D3 True F99 59320.10760335128 0.01823604542795538 2.6110717491945574 0.019833310541290793 -0.6525160303863282 0.02347772265397822 0.0993910424149225 0.01731226021548813 304.772 18.729 0.0 0.0
J-c-o-ztfg dehvils True F99 59320.157380351586 0.019711969179198235 2.6024083695673355 0.019795919810111133 -0.6477773778033122 0.023465057910601144 0.09008680844698366 0.01728491493896918 153.099 16.567 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 59320.109274326656 0.017509059069032808 2.6089328299644814 0.019677873173699872 -0.658615260521414 0.02203506211826413 0.09449614253559041 0.016052081314127033 239.899 13.943 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 59320.08414800673 0.06910486576825085 2.6007446157914025 0.024859212623787826 -0.6357814420698437 0.06466671875029649 0.08614792518449879 0.0194146259541048 238.85 0.314 0.0 1.0
J-c-o-ztfg-ztfr 2D True F99 59320.083652047295 0.0691095782192565 2.6649215529061205 0.024870861316457892 -0.6364842910936516 0.06466947847990427 0.10215853565838352 0.01942305019696188 284.811 0.587 0.0 0.998
J-c-o-ztfg-ztfr 2D True O94 59320.08368302705 0.0690790400148993 2.6649194623178722 0.024861288148234344 -0.6364677237762217 0.0646309547383389 0.102151759783468 0.019412610526976345 290.372 0.609 0.0 0.996
J-c-o-ztfg-ztfr dehvils True F99 59320.15577573901 0.01882816523839411 2.6015207350030156 0.0196405348917809 -0.6547728463453493 0.022025067295973387 0.08736253830711901 0.016023896996655292 114.453 12.136 0.0 0.0
J-c-o-ztfr 1D3 True F99 59320.114883530616 0.01926761252122447 2.6050903715844314 0.03096226503451564 -0.6339183223001318 0.024675372894163525 0.09072598938299026 0.022311616401274534 379.471 19.926 0.0 0.0
J-c-o-ztfr dehvils True F99 59320.17019300205 0.02089194117738531 2.593924384191697 0.03086850218407205 -0.6345841416847972 0.024571301334199314 0.0820831005907647 0.02220016883898947 181.105 17.633 0.0 0.0
J-c-ztfg 1D3 True F99 59320.061448580214 0.01942571936951323 2.6163972515193294 0.022328025001317864 -0.6872185635127122 0.043743886235387316 0.12051533076585064 0.02115130878261109 232.847 22.79 0.0 0.0
J-c-ztfg dehvils True F99 59320.10380893356 0.021386991772325767 2.6076074213004654 0.02229866283016224 -0.6822819638355342 0.043927462150347533 0.1098314140241389 0.021217150610420787 134.743 20.302 0.0 0.0
