bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.35302637227473 0.11231635353857879 1.3578220260243579 0.04698664008468149 59311.35818763955 0.34000030602952 None None 0.07169293892798806 0.07548781738735778 0.515 0.509 0.958 0.961
c-o  True F19 6 37.49802286928725 0.11434692931426542 1.3535403078248927 0.04672026976624588 59311.464058955426 0.3400003098323657 None None 0.1400701518737916 0.0734930265936519 0.51 0.505 0.96 0.962
c-o-ztfg  True F19 6 37.147816549198495 0.13663277548870936 1.189884728478113 0.04877477264215592 59313.87854486594 0.5390050184378914 None None 0.301846625695468 0.07150657864752576 1.432 1.417 0.047 0.052
c-o-ztfg-ztfr  True O94 0 37.194950605538544 0.11180367922124139 1.2097308848057635 0.04086787868038452 59313.68854353136 0.47996724838052235 None None 0.23174986637250383 0.06693045635290458 0.899 0.888 0.687 0.707
c-o-ztfg-ztfr  True F19 6 37.13084607790713 0.11906386363780459 1.0738309353665643 0.05033346782383729 59314.25064023266 0.45699534641992395 None None 0.2555644296505925 0.06476624995196603 0.882 0.874 0.718 0.733
c-o-ztfr  True F19 6 37.30085007962973 0.11425574518455668 1.0969298132241483 0.05752618682852406 59314.07186648587 0.549317381889115 None None 0.13235981310142247 0.06862082141664555 0.434 0.429 0.999 0.999
c-ztfg-ztfr  True F19 6 37.11225870461089 0.13061203557444467 1.0604760741812702 0.05558861239335476 59314.422632793474 0.49019966855542757 None None 0.26002054844665734 0.06803744391183511 1.154 1.145 0.232 0.244
J-c-o 1D3 True O94 0 36.98304753253142 0.12551589251026712 1.0685621266320957 0.058864831723266633 59314.77773685171 0.6138614326542868 None None 0.2914126980347184 0.06834738855956564 1.188 1.162 0.246 0.271
J-c-o 1D3 True F19 6 36.967440689846235 0.10595224837462855 1.0076279307113805 0.04975459013979243 59314.6334114756 0.5484412127047902 None None 0.2597232241925418 0.06651794174332691 1.296 1.278 0.159 0.172
J-c-o 2D True O94 0 37.26293794117626 0.11507585437881002 1.1214003712293537 0.059262705970572496 59314.6218516178 0.5900174789265134 None None 0.15967120350525651 0.07012802228303523 0.506 0.5 0.973 0.975
J-c-o 2D True F19 6 37.24542489162201 0.10007108081365802 1.100070772120556 0.05339417524207431 59314.572181199 0.5811904232038367 None None 0.15904214241440207 0.06530335484358804 0.567 0.56 0.947 0.95
J-c-o-ztfg 1D3 True F19 6 36.9641284998492 0.1191163579414501 1.0367050185973323 0.04758278858645471 59314.44276149431 0.4652774010927796 None None 0.3149131556926229 0.0631475913573704 1.328 1.311 0.085 0.095
J-c-o-ztfg 2D True F19 6 37.163424810466026 0.11900574746032502 1.1212940725786873 0.06326180431268517 59314.156197201344 0.48957398780419964 None None 0.2597038913509678 0.06516907755284831 1.165 1.152 0.224 0.24
J-c-o-ztfg-ztfr 1D3 True O94 0 36.9523873253073 0.12282608509036469 1.055506611502743 0.04340211803807809 59314.34308951901 0.4291248077952331 None None 0.3400125680326888 0.0627016188130157 0.923 0.909 0.642 0.672
J-c-o-ztfg-ztfr 1D3 True F19 6 36.97590613897285 0.1119931988657216 1.0190526139479592 0.039239400997808815 59314.45087547692 0.41545378691021756 None None 0.3033776361695356 0.06232655886025891 1.007 0.995 0.461 0.486
J-c-o-ztfg-ztfr 2D True O94 0 37.15570726688263 0.11359889179407535 1.1085096632996105 0.047130285985314005 59314.166837975135 0.41739718555361793 None None 0.25482644741625543 0.06434254910948822 0.625 0.617 0.989 0.99
