bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.72675851386126 0.12811800470104015 1.054205340559513 0.04619338695988339 59320.00431332737 0.48066192188898993 None None 0.25514534077649803 0.08347006094044958 0.494 0.489 0.97 0.972
c-o  True F19 6 36.78360242089428 0.11979503549924689 1.0541727968014858 0.04618683642362666 59320.005377285655 0.4806178822365631 None None 0.21695840219959203 0.08467751379884425 0.495 0.489 0.97 0.972
c-o-ztfg  True F19 6 36.6954570146983 0.13726244932183018 1.0936209711059632 0.06061987103370744 59319.258622206544 0.428270886461445 None None 0.30511586174957284 0.0685757373371866 1.204 1.18 0.201 0.226
c-o-ztfg-ztfr  True O94 0 36.63967131657388 0.13513795846487045 1.1270915722651085 0.058853393242613475 59319.266031852894 0.4068675154462024 None None 0.3289429670726201 0.071086270743338 0.894 0.874 0.672 0.708
c-o-ztfg-ztfr  True F19 6 36.69147391750689 0.124311582916725 1.1129628645982503 0.05180610364082149 59319.05226427737 0.3968706948930226 None None 0.3136779033896699 0.06418166075029184 0.75 0.737 0.888 0.902
c-o-ztfr  True F19 6 36.72307445661966 0.11416464692188719 1.0751912371874068 0.04350261550308508 59319.89353052402 0.45546559597033376 None None 0.2679409838643623 0.07830185420353332 0.548 0.538 0.982 0.985
c-ztfg-ztfr  True F19 6 36.631343657236 0.16378857721394843 1.1517047982974649 0.08498700643119296 59319.02092539666 0.433890787907977 None None 0.3693411490720932 0.07077349609402646 1.279 1.256 0.151 0.169
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.524270599141545 0.12377041842685386 1.0528340469399686 0.040750513155417084 59319.26236617298 0.4006179176486111 None None 0.36778176972832244 0.0629913964927123 1.578 1.529 0.005 0.008
J-c-o 1D3 True O94 0 36.41976614208278 0.12449352355459783 1.0220962677336387 0.04592404439498494 59318.97918657035 0.4370418859529538 None None 0.41562406223590215 0.06453895154017959 1.041 1.001 0.407 0.461
J-c-o 1D3 True F19 6 36.47961580792454 0.11380544399516034 1.005250556718136 0.04269418686704931 59318.88373613365 0.41010825787594396 None None 0.3759077020727509 0.06509798031560744 1.084 1.053 0.353 0.391
J-c-o 2D True F19 6 36.529581807542705 0.11718567756693664 1.0239097867910962 0.04460453540602701 59318.902289813086 0.4468479945808626 None None 0.36147811979769223 0.06906847953116027 0.898 0.887 0.606 0.621
J-c-o-ztfg 1D3 True F19 6 36.51586081973982 0.12595998741526232 1.0480665043230466 0.043839236770703456 59319.17234127536 0.4181462894735752 None None 0.3738698677883786 0.06343083151624002 1.739 1.678 0.004 0.007
J-c-o-ztfg 2D True F19 6 36.58086798663741 0.12853082044994577 1.0647176553926092 0.048295209349895445 59319.18758842309 0.426134408611409 None None 0.34874858909914586 0.06549386342492479 1.395 1.369 0.06 0.072
J-c-o-ztfg-ztfr 1D3 True O94 0 36.49055830500559 0.13149300962837668 1.0788557722221206 0.041075679259830494 59319.37772665937 0.4024658500318558 None None 0.39638752162616914 0.06452370490716722 1.32 1.251 0.068 0.114
J-c-o-ztfg-ztfr 1D3 True O94 1 36.46280800625084 0.1276424586101044 1.0769312090465248 0.04041494895110772 59319.424644650484 0.39822057730405097 None None 0.371264467611464 0.0637222520681702 1.242 1.176 0.121 0.188
J-c-o-ztfg-ztfr 1D3 True O94 2 36.507063652418786 0.1271262716471822 1.0734731501339 0.04011560505971224 59319.40713241686 0.39537352152687744 None None 0.38620566612782325 0.06351876512069551 1.2 1.142 0.161 0.232
J-c-o-ztfg-ztfr 1D3 True O94 3 36.44505086981621 0.129735039903505 1.0754915141260244 0.04111718403401018 59319.40591886999 0.4021634947804738 None None 0.37666223160524853 0.06380037973693148 1.344 1.275 0.056 0.095
J-c-o-ztfg-ztfr 1D3 True O94 4 36.45011892158055 0.12832640511630558 1.075968919730866 0.04073704452491818 59319.42264361136 0.3998025717682783 None None 0.3705471650909499 0.06367374338912742 1.288 1.221 0.087 0.14
J-c-o-ztfg-ztfr 1D3 True O94 5 36.47243506781518 0.12380956199056795 1.0730790146352647 0.039655020849818964 59319.43916752692 0.393168046623648 None None 0.3630864127225451 0.06301530816293416 1.164 1.105 0.204 0.287
J-c-o-ztfg-ztfr 1D3 True F19 6 36.525310570881786 0.12251019749519235 1.058541420209344 0.03999994392658553 59319.29372650737 0.39572019891764243 None None 0.37705869409830856 0.06274705348631657 1.44 1.385 0.025 0.04
J-c-o-ztfg-ztfr 1D3 True O94 6 36.49238057607594 0.12690430574757408 1.0538202559624341 0.04193485114663354 59319.20650452584 0.4080843624896548 None None 0.39541214239692263 0.06375985059163886 1.565 1.5 0.007 0.014
