bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.87035836057386 0.12305363460297532 1.1043248597138697 0.05347260706447677 59321.66353576677 0.44662692011970295 None None -0.05273839169939922 0.07101003669207025 0.912 0.879 0.571 0.616
c-o  True F19 6 36.87322723006995 0.10863939121328542 1.1043193244453187 0.05349993619600836 59321.66465064341 0.4467335290217532 None None -0.08498657664879261 0.07050120895440243 0.913 0.88 0.57 0.614
c-o-ztfg  True F19 6 36.838941980458934 0.09155620127670897 1.1154753614843245 0.04411868718725093 59321.069355350264 0.36354868282794234 None None -0.07966004145555308 0.06273986374217294 0.937 0.878 0.59 0.698
c-o-ztfg-ztfr  True O94 0 36.80175638055164 0.09016321700222528 1.1304692264821121 0.040976191427800374 59321.15283653621 0.36385358412874236 None None -0.03352558115382325 0.06295781995826982 0.943 0.866 0.614 0.783
c-o-ztfg-ztfr  True F19 6 36.80941308422987 0.08558069033542817 1.1184034979860773 0.03876956135593211 59321.16266747711 0.3614988165507838 None None -0.06446427955101806 0.06157525256384116 0.972 0.902 0.544 0.708
c-o-ztfr  True F19 6 36.76871851710562 0.09259351513389527 1.1000170271155914 0.039544844737307426 59321.56398372569 0.40095836587400296 None None -0.03568835765732839 0.06536900719718057 0.901 0.837 0.67 0.785
c-ztfg-ztfr  True F19 6 36.772822186821365 0.09305966579281821 1.1341188634069213 0.04782310787231201 59321.25285477952 0.3720377518768482 None None -0.03389604746937336 0.0630778488450249 1.552 1.421 0.005 0.021
J-c-o 1D3 True O94 0 36.83233752258807 0.10367600226007023 1.110748300440517 0.04363575130754125 59321.59803443631 0.4112671914253969 None None -0.03157432466908522 0.06710430899893635 0.789 0.758 0.756 0.793
J-c-o 1D3 True F19 6 36.786331303197905 0.10089110519928837 1.0965761839448638 0.045165996739833944 59321.437911548004 0.41501116344467853 None None -0.03899272663821444 0.06429445222651713 0.99 0.943 0.476 0.542
J-c-o-ztfg 1D3 True F19 6 36.79382247072747 0.09108184735074588 1.1043005063510165 0.04303361900258773 59321.09258003823 0.3688573269013818 None None -0.062153437959687044 0.06225189969486909 1.22 1.145 0.143 0.23
J-c-o-ztfg-ztfr 1D3 True O94 0 36.8143131418708 0.09307092082686302 1.115055649754823 0.03573859955687798 59321.25846162019 0.3570741621454615 None None -0.03995532529074038 0.06180609782866036 0.862 0.78 0.799 0.922
J-c-o-ztfg-ztfr 1D3 True O94 1 36.846974175728306 0.21099654722902145 1.1171241121854147 0.03600002844482664 59321.24792067613 0.3571060422254938 None None -0.04639247731391766 0.0618103723702964 0.86 0.779 0.804 0.923
J-c-o-ztfg-ztfr 1D3 True O94 2 36.827144420087826 0.0957903551089487 1.1169259000566463 0.03640036043834219 59321.26137279113 0.35723928371554897 None None -0.04102782356095575 0.06199124131834182 0.863 0.78 0.797 0.921
J-c-o-ztfg-ztfr 1D3 True O94 3 36.836250055459246 0.10234837113514728 1.116957709376184 0.03599377769445132 59321.239648457595 0.357323321448401 None None -0.05219899518787235 0.061636309291976714 0.868 0.787 0.787 0.913
J-c-o-ztfg-ztfr 1D3 True O94 4 36.8370192357286 0.10206395524256337 1.1170973493222436 0.036074334231203854 59321.243223578196 0.35726498833883147 None None -0.05227050784697538 0.06170971420611895 0.866 0.785 0.791 0.916
