bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.60877529990376 0.4325486634941794 1.2158391778112534 0.1929874762229375 59312.375588864365 4.864934760534422 None None -0.36558882907445567 0.30775377066931886 1.09 1.08 0.364 0.372
c-o  True F19 6 38.63122815419459 0.3765577465300747 1.2593169394525074 0.20490065622283798 59311.92444093208 5.374150146271448 None None -0.3697830369480483 0.22882627470021272 1.1 1.092 0.354 0.361
c-o-ztfg  True F19 6 38.07345794840012 0.3187657861347374 1.0760800238957666 0.18064007849186678 59314.000942227365 1.1896680373808897 None None -0.051149376644998426 0.10087790897402131 0.933 0.928 0.526 0.531
c-o-ztfg-ztfr  True O94 0 37.68740072589143 0.14421411251027152 0.9648499221067902 0.07444918941653321 59314.259536102116 0.7365955103282186 None None 0.10754035278861865 0.08264519946586478 0.85 0.846 0.678 0.684
c-o-ztfg-ztfr  True F19 6 37.71609982475499 0.1320972572221063 0.9597593309834879 0.06981564232282125 59314.31626660531 0.6911399786378786 None None 0.043779519063206866 0.08091225499525631 0.875 0.871 0.643 0.649
c-o-ztfr  True F19 6 37.94930058574873 0.1890613232129891 0.969483159803072 0.07081987930746987 59314.47892629697 0.7865879515116085 None None -0.12618768616816214 0.13910776040041178 0.812 0.808 0.707 0.713
c-ztfg-ztfr  True F19 6 37.75298880151615 0.17114222382618413 1.011227726199485 0.11558799272582879 59314.276883467195 0.9152238837686019 None None 0.06095131432283828 0.08996920468838868 1.247 1.239 0.238 0.244
J-c-o 1D3 True O94 0 37.80647099737477 0.14682897060873987 0.9772889986524944 0.11353443242109514 59315.957531311964 1.5557979883046744 None None 0.08971628148882842 0.10201784530990815 0.989 0.984 0.462 0.467
J-c-o 1D3 True F19 6 37.82263020411531 0.11946393170543591 0.9641854005857716 0.09174696583941386 59316.03420661989 1.3262499672281376 None None 0.0250221781918321 0.10103275985987936 0.995 0.99 0.455 0.46
J-c-o-ztfg 1D3 True F19 6 37.81572508085733 0.11181022852625108 0.9785651425312664 0.08250919130028826 59314.565287125726 0.8570032933066838 None None 0.018622189118256926 0.07791273407336766 0.827 0.823 0.67 0.675
J-c-o-ztfg-ztfr 1D3 True O94 0 37.7368078310362 0.11126453856196374 0.9707296559243709 0.06808952899799553 59314.27485613256 0.6654242891106312 None None 0.08916268498451962 0.0721476745525139 0.818 0.813 0.738 0.745
J-c-o-ztfg-ztfr 1D3 True O94 1 37.75016719383256 0.11242348097589076 0.9706818313326093 0.06854304658967625 59314.27539795289 0.6697521761122224 None None 0.077162337317258 0.07128654840246881 0.833 0.828 0.717 0.724
J-c-o-ztfg-ztfr 1D3 True O94 2 37.76487206766184 0.11130211055179302 0.9746998071240511 0.06878648912096294 59314.22705773108 0.6729625809616119 None None 0.08255661869135525 0.07217067067614846 0.832 0.827 0.718 0.725
J-c-o-ztfg-ztfr 1D3 True O94 3 37.7332516659487 0.1118970264722703 0.9696661510431134 0.06768095854575906 59314.29102888108 0.6624187019503218 None None 0.06984851849409617 0.07159406524113719 0.811 0.807 0.747 0.754
J-c-o-ztfg-ztfr 1D3 True O94 4 37.736643040194025 0.11229032121672296 0.9705595329702842 0.06834141090501339 59314.279288476246 0.668355319356771 None None 0.06722758795426881 0.07155400516579317 0.832 0.827 0.718 0.725
