bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59323.469402188726 1.863670987296698 9.207803082249164 0.26893001884204737 -0.6632229930414955 1.8540361930067888 -1.030821141098766 1.6983565738381394 0.458 0.457 0.84 0.84
c-o  True F19 59322.12194782491 0.8283549516874716 8.49603472409881 0.17021941957470466 -1.9936783066321904 0.7452799184721501 0.09253398651271058 0.14997593990083213 0.299 0.293 1.0 1.0
c-o  True F99 59322.11652027684 0.8126620971081787 8.497687464571893 0.16765913023320114 -1.9978265604813736 0.7314294420780189 0.08950975251797266 0.14733270779439692 0.299 0.299 1.0 1.0
J 1D3 False F99 59324.099122129395 1.765269716605073 10.067006994547153 131.11794968809158 42.18028420566465 938.195742262202 -0.004478639505421758 43.999343179365944 None None None None
J-c 1D3 True F99 59323.61315544691 0.6560813575683906 8.44783854429398 0.13193780281452394 -1.0446257710864941 0.9179640762329366 0.07300721589978156 0.06072386436324583 0.831 0.826 0.587 0.592
J-c-o 1D3 True F19 59322.668432382576 0.7315362584376403 8.371056702074178 0.10902135161269134 -1.8519507944229374 0.7268585612691748 -0.038420489779220385 0.067479022299476 0.374 0.316 0.999 1.0
J-c-o 1D3 True F99 59322.6509883748 0.7319633066119179 8.475833557720653 0.10927213288921499 -1.8561146441281928 0.7273783345672035 -0.009499716228886436 0.06774562529254988 0.461 0.387 0.992 0.998
J-c-o 1D3 True O94 59322.651134639964 0.7319068077135044 8.475820914893252 0.10925989999825741 -1.8560873643067481 0.7273422379229606 -0.009505273771503477 0.06773110651139344 0.473 0.397 0.991 0.998
J-o 1D3 True F99 59324.19525864377 0.6338956811233535 8.58352174558551 0.1884982224448896 -2.847350103178343 1.3957550102573648 0.14697782637705187 0.09149631075008817 0.402 0.397 0.986 0.987
o  True F99 59321.21938869113 2.572778827694434 9.195917462521054 3.568640467740032 -2.0691515007884895 1.9456196398016992 -0.18531541060852819 2.623063816828553 1.062 0.248 0.387 0.998
