bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.21684883964129 0.17088344310033726 1.092913824522954 0.0911534503324924 59331.109991716556 0.5833509016409627 None None 0.039729797089112284 0.0977518428198735 0.457 0.456 0.981 0.981
c-o  True F19 6 38.270322054020895 0.15955350778872898 1.09288251022237 0.09115109818356981 59331.1104534655 0.5833364067253338 None None -0.02031817408136007 0.0980309865985498 0.457 0.456 0.981 0.981
c-o-ztfg  True F19 6 38.25502150438701 0.12400364751446578 1.1124776214647742 0.07573456625841413 59330.58165638108 0.4173036737769905 None None 0.002342437106190751 0.06731429309589619 0.387 0.386 0.999 0.999
c-o-ztfg-ztfr  True O94 0 38.22310591454182 0.10461482262463463 1.139947692247456 0.06321958507773745 59330.652260345014 0.39736033727773495 None None 0.03742644546881374 0.06910285553051514 0.326 0.324 1.0 1.0
c-o-ztfg-ztfr  True F19 6 38.32915475031269 0.08938355671734188 1.190917744031126 0.039665020006424634 59330.728461366554 0.3927425321865012 None None 0.0025708113415516707 0.06355974692203742 0.332 0.33 1.0 1.0
c-o-ztfr  True F19 6 38.35346762228629 0.1082809649624309 1.2400505207649937 0.04542424513706831 59331.240707164914 0.45630708471808884 None None 0.03355033964912322 0.08402804330942877 0.375 0.373 1.0 1.0
c-ztfg-ztfr  True F19 6 38.44311881109741 0.08791987352910854 1.2460994868892608 0.03906475256044355 59330.43677328145 0.3793098806713314 None None -0.014612001974113139 0.062134018142653305 0.191 0.189 1.0 1.0
J-c-o 1D3 True O94 0 38.26794213788838 0.11272186732415443 1.1141892278738126 0.08372481808159395 59331.215082013 0.5687964120396455 None None 0.0195836438278003 0.07235688442643814 0.455 0.451 0.99 0.99
J-c-o 1D3 True F19 6 38.198819985869584 0.0936314627014619 1.08964776508108 0.07045409035415784 59331.22613679269 0.545496107901226 None None 0.024472601991653322 0.08309340889763905 0.466 0.463 0.988 0.988
J-c-o 2D True F19 6 38.38233637184282 0.10965103296266898 1.1176146156806466 0.07368566095456629 59331.11444068598 0.5395863543593958 None None -0.0717017423694892 0.0809836829521511 0.422 0.42 0.994 0.994
J-c-o-ztfg 1D3 True F19 6 38.20446358665511 0.09030398913389559 1.1119184517911556 0.06016420504209442 59330.639567899976 0.4216835158838913 None None 0.026274482577277034 0.06549530328906036 0.421 0.418 0.999 0.999
J-c-o-ztfg 2D True F19 6 38.357006457910195 0.1015487597955185 1.1674183009771517 0.06568833473140197 59330.57216148118 0.43674505236751854 None None -0.020599608904080417 0.06510331420823766 0.384 0.382 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 0 38.2944665178475 0.09434900379583869 1.1615982719621056 0.05615095637296641 59330.60951499186 0.3972158531316433 None None 0.002376410319719609 0.06739967977603668 0.376 0.371 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 1 38.384808726959385 0.09077888955229738 1.210021306132555 0.040952295209285686 59330.65593402589 0.40065595179708086 None None -0.036704714920908134 0.0625743262880367 0.367 0.362 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 2 38.361654392778966 0.0938482743875251 1.213900684015575 0.04018115369314626 59330.651728941695 0.3998661037795695 None None -0.030220238635132284 0.06265270768682643 0.356 0.352 1.0 1.0
