bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59327.0535403746 1.6457077716536277 12.453472021460279 9.818703708269153 -0.04031021501220468 1.3112691477580214 3.621230411826495 9.015962671157332 0.143 0.142 0.867 0.868
c-o  True F19 59327.57731450654 0.6043100254284233 8.0873133231594 0.14597476861829034 -0.6696012119421597 0.6010011490153574 0.10901009011708335 0.1109176691422213 1.299 1.258 0.166 0.196
c-o  True F99 59327.57875881437 0.5853713817233852 8.094945539290041 0.1403838691732716 -0.6365264433380828 0.5868771568386452 0.11343670244654554 0.10687094911729575 1.299 1.296 0.167 0.169
J 1D3 False F99 59320.4785057265 4.288437832874661 -86.26882793474834 304.74293954998143 245.30811188271667 3078.88788173645 -37.83644170129476 117.87118773887119 None None None None
J 2D False F99 59320.74624828354 4.045452633166533 -106.86914701851771 349.33112195973337 248.09660621641717 2929.3517783763036 -45.93280764208346 136.29220248087478 None None None None
J-c 1D3 True F99 59327.0605150014 0.5932406347045752 8.067366874755715 0.11643861909004022 0.320148433840786 0.9623571291164715 -0.15567733333449857 0.07169404119745941 2.357 2.35 0.038 0.038
J-c 2D True F99 59327.082144581786 0.5959339043321134 8.068645583594312 0.11725234594522396 0.32834745106695684 0.9644905563184143 -0.1512824836859923 0.07425317627367727 2.32 2.313 0.041 0.041
J-c-o 1D3 True F99 59327.53669861809 0.39937838206347037 7.883460589647994 0.08931503862187073 -0.8783073483847806 0.5602021459651619 -0.10482934407323753 0.05454722473717073 2.152 2.03 0.001 0.002
J-c-o 2D True F19 59327.58794777465 0.4367846846317801 7.8780031342273515 0.09571734664754769 -0.8994808632208162 0.5775763809416748 -0.10167119831289914 0.059370031599911395 2.095 1.855 0.002 0.008
J-c-o 2D True F99 59327.58505537757 0.4367860742286424 7.912192917768063 0.09574771461879257 -0.899013737935582 0.5776623573594724 -0.09259462511023589 0.05940969365820334 2.106 1.869 0.001 0.007
J-c-o 2D True O94 59327.58508278629 0.43676100649819555 7.912179190554696 0.09574173706260379 -0.8990323383213861 0.5776443003484808 -0.09260182808224636 0.05940476464300668 2.112 1.874 0.001 0.007
J-o 1D3 True F99 59326.4491282832 0.6865494332029939 7.304196653559085 0.17821389750468938 -1.2946837323334865 1.0028917690294694 -0.4334539949501998 0.11384558059593414 1.555 1.551 0.067 0.068
J-o 2D True F99 59326.47227361785 0.6839632922715734 7.316135610538799 0.1832462052554302 -1.3126225566379994 0.9984874297583618 -0.42433671298691356 0.11791619041939556 1.549 1.545 0.069 0.07
o  True F99 59327.60700897209 0.58473029102992 12.58290465672636 2.123085481224072 -2.791041514831992 0.7845701452439197 2.310043871296869 1.2542222211337601 1.253 1.245 0.229 0.234
