bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.292303538788644 0.1059049739023453 0.8570568195924497 0.0426889409715635 59331.76089404972 0.40488477198125356 None None 0.0550347729300039 0.07750864173662332 0.874 0.845 0.612 0.648
c-o  True F19 6 36.3089103146067 0.0998938844508949 0.8570379904732305 0.0426905732163118 59331.7618793052 0.4048725768844921 None None 0.016719991783832672 0.07672302898247077 0.874 0.845 0.612 0.648
c-o-ztfg  True F19 6 36.34363165780822 0.09702621910119981 0.8417711865468729 0.032875682530400664 59331.98084793171 0.3571919728586745 None None -0.046363477395754485 0.0626493299685653 0.542 0.523 0.991 0.994
c-o-ztfg-ztfr  True O94 0 36.29682448350555 0.08366497977215677 0.8613587405866421 0.03219992241938517 59331.9291002914 0.3568263883698663 None None 0.030095588063128658 0.06272512718621207 0.602 0.576 0.994 0.997
c-o-ztfg-ztfr  True F19 6 36.30178626317264 0.08199280584238379 0.8592289443749559 0.03173232127197322 59331.90188835022 0.3528871171061906 None None -0.010269637735031147 0.06177198725567732 0.533 0.511 0.999 0.999
c-o-ztfr  True F19 6 36.26281890482296 0.09238454054599518 0.8737696279451308 0.03365303858990737 59331.797381449076 0.37010342103796684 None None 0.048311592550645904 0.07030098783674774 0.742 0.714 0.884 0.911
c-ztfg-ztfr  True F19 6 36.242582841555226 0.0839263615555867 0.8548128309806284 0.03248520491812153 59331.98744610881 0.357176166304789 None None 0.017983955828873917 0.0628231559412371 0.6 0.57 0.984 0.991
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.31364693590332 0.08690723960311973 0.8559761545078477 0.0354859549565488 59331.89786404676 0.38168528763536064 None None -0.025579069914480796 0.06517298162197398 1.775 1.751 0.0 0.0
J-c-o 1D3 True O94 0 36.303996217930795 0.09679768389787942 0.856894475947124 0.04111141713514699 59331.77479310844 0.39395036591063753 None None 0.04202475481369235 0.07159839965168341 0.759 0.734 0.773 0.801
J-c-o 1D3 True F19 6 36.319558809961656 0.09213848230401325 0.8562468116041589 0.0396686361026535 59331.78194850309 0.3854539126167672 None None 0.0017338609122838522 0.06861707734295132 0.763 0.738 0.768 0.797
