bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59335.09238616215 1.7294696467151252 9.626471575959645 1.999669495817459 84.82946545765793 182.10399560235973 -1.7662020543641654 0.6806807030875172 None None None None
c-o  True F19 59331.7790140681 0.22299593115287386 6.7049811004015405 0.10876080715048368 -1.7149196656572152 0.25326994848213724 -0.03041377121149534 0.07586799662408175 3.106 1.528 0.0 0.061
c-o  True F99 59331.76082421766 0.16998636458391508 7.676364315887694 0.08540259839828425 -1.6500603682840487 0.21017263930822364 -0.06187757663470712 0.06084087194113797 1.151 1.096 0.288 0.345
c-o-ztfg  True F19 59331.935172320904 0.1389171652599767 6.671308930600839 0.03657778125839746 -1.4115082815162352 0.17273784664073372 -0.06458483762288639 0.03239173968328514 3.284 1.646 0.0 0.006
c-o-ztfg  True F99 59331.94385108551 0.11419716748502512 7.625041585493273 0.033995401568848144 -1.4051562618603652 0.14820535628787765 -0.10651886733835483 0.02986954092358066 0.824 0.779 0.777 0.841
c-o-ztfg-ztfr  True F19 59331.90388196097 0.12149506701461525 6.529646205832497 0.034401522859102675 -1.3993619741802408 0.14019798685158094 -0.0805095285471258 0.027875551179002676 0.8 0.49 0.868 1.0
c-o-ztfg-ztfr  True F99 59331.91712683346 0.09939311647353409 6.530822139067775 0.03177259532180294 -1.4117488198561108 0.11851790072474633 -0.08714710134859571 0.025771290394697374 0.796 0.728 0.873 0.944
c-o-ztfr  True F19 59331.78514109808 0.16481955165913428 6.7455385903609555 0.09356723952905825 -1.5215136675560665 0.1740788311010128 0.008853827501108904 0.06644512412211177 2.618 1.324 0.0 0.082
c-o-ztfr  True F99 59331.794396630205 0.12855920986461733 7.701219943480967 0.0743043294848231 -1.5309567364983607 0.14253986182597445 -0.03136472624294579 0.05362638178995928 0.983 0.878 0.5 0.689
c-ztfg  True F99 59332.121932194146 0.13428490231924545 7.6169781887773285 0.047741629850595206 -1.21581499110451 0.21168483797317153 -0.17051128029291865 0.09662221747260279 0.646 0.63 0.894 0.907
c-ztfg-ztfr  True F19 59331.997324921154 0.13293667739027742 6.694671070775501 0.036572275645736604 -1.341719896891722 0.16421490794869267 -0.023954910418510385 0.03431746024928925 3.137 1.601 0.0 0.008
