bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.557860873252125 0.1447222576005535 0.9851269914885387 0.06496894956624642 59336.00034625103 0.5695852945145847 None None -0.10379712585487158 0.11184962954124185 0.414 0.411 0.983 0.984
c-o  True F19 6 37.53313250837229 0.13440881817675931 0.9851183565187205 0.06495715966350733 59336.00137067366 0.56944932108728 None None -0.14967098352797797 0.11352682636502355 0.413 0.411 0.983 0.984
J-c-o 1D3 True O94 0 37.74543147329244 0.1195405782642106 0.9375037996289414 0.059048662386164595 59335.653965185855 0.538818726939842 None None -0.26023676892879255 0.08668659067270047 0.544 0.538 0.954 0.957
J-c-o 1D3 True O94 1 37.80255336563925 0.12072852579822746 0.9374650985061882 0.05802857130512174 59335.67859246737 0.5330612184323458 None None -0.2535894750962357 0.08320266099337874 0.525 0.519 0.962 0.965
J-c-o 1D3 True O94 2 37.77078011061224 0.12259744297478303 0.93312455777485 0.05992591985123479 59335.64103895249 0.5485699683074196 None None -0.2709137998114279 0.08733447485881524 0.58 0.573 0.935 0.939
J-c-o 1D3 True O94 3 37.769428833058804 0.12073263056075051 0.9380535649003757 0.05823235380311707 59335.67424295682 0.5335755950535758 None None -0.2590042308570945 0.08396226904395468 0.526 0.521 0.962 0.964
J-c-o 1D3 True O94 4 37.777208159790206 0.1212473872541064 0.9374253831791463 0.05842214088275357 59335.672168209254 0.5352812955918862 None None -0.2607530648240094 0.083914116876584 0.532 0.527 0.959 0.962
J-c-o 1D3 True O94 5 37.81060526732727 0.12359187404447898 0.9341692632545053 0.058790597087226094 59335.66664939518 0.540680008344816 None None -0.267923528417293 0.08397087719340877 0.553 0.547 0.949 0.952
J-c-o 1D3 True F19 6 37.68807051794423 0.1170247103595526 0.9413010126092898 0.060428426728388066 59335.645596824404 0.5428645136051538 None None -0.30297441800016534 0.08880008642687352 0.557 0.551 0.948 0.951
J-c-o 1D3 True F99 6 37.75098008608975 0.12310190496953867 1.1738389299594523 0.07004199395515336 59335.208813531746 0.7538859448889919 None None -0.12254548353183345 0.10562215779876435 0.767 0.742 0.757 0.786
J-c-o 1D3 True O94 6 37.70402206195882 0.12189961366580027 0.9427730885703273 0.06441500218953286 59335.60670713737 0.5688191597355331 None None -0.3099716127677043 0.09609388335327244 0.588 0.582 0.93 0.934
J-c-o 1D3 True O94 7 37.69865136262005 0.11831442733822119 0.9454906159811894 0.061353616419968365 59335.613484458336 0.5451810133803063 None None -0.3083805169410971 0.09269268293562175 0.559 0.553 0.946 0.95
J-c-o 1D3 True O94 8 37.5815386230109 0.11798554004566505 0.9514002196636178 0.06536187358739512 59335.51910973612 0.5664812610743918 None None -0.32361875574449744 0.1060611508794981 0.626 0.619 0.903 0.909
J-c-o 1D3 True O94 9 37.67941356267943 0.11771699402710356 0.9469639927383336 0.06193304688770637 59335.599431932824 0.5476091307889933 None None -0.30981854471570797 0.09487282246906163 0.566 0.56 0.943 0.946
J-c-o 1D3 True O94 10 37.82067369007072 0.1263822242647383 None None 59335.44421957117 0.6055610214617502 0.9867888635167235 0.09696761225934042 -0.19348466362938851 0.08311891020116714 0.702 0.693 0.836 0.845
J-c-o 1D3 True O94 11 37.84158724451709 0.126244398988693 None None 59335.44966103411 0.6053823240454717 0.9856401574508791 0.09710367531249457 -0.1945634812168181 0.08251089188492532 0.7 0.691 0.838 0.847
J-c-o 1D3 True O94 12 37.85487894764412 0.12310614836449382 None None 59335.44493177355 0.6095231360510801 0.9786837036638669 0.09813156386338981 -0.19159653178469077 0.08260208632202866 0.702 0.694 0.836 0.844
J-c-o 1D3 True O94 13 37.83793734286256 0.13046534313424057 None None 59335.467316882474 0.6018078602148663 0.9834714240221095 0.09665741765556583 -0.19865909167363394 0.08113033428240131 0.685 0.677 0.852 0.86
J-c-o 1D3 True O94 14 37.80991054862685 0.12941131496902486 None None 59335.433807594105 0.6118528971173024 0.9822368875422325 0.09848890168163488 -0.20557014508680532 0.08369661776239701 0.715 0.706 0.822 0.831
J-c-o 1D3 True O94 15 37.88338691076775 0.12531128687414445 None None 59335.47972480852 0.6047152333767126 0.9733770244057909 0.09696550766499629 -0.1944490058338686 0.08038309635692123 0.678 0.671 0.859 0.866
