bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.466460497163304 0.0965853966620993 0.8173604865433296 0.04865060137561647 59338.483178076574 0.40052055335111836 None None 0.0632875976389221 0.07168939695464117 1.288 1.236 0.245 0.273
c-o  True F19 6 35.49323710886705 0.09203592442537259 0.8173523918154473 0.0486482602986124 59338.483541997084 0.40051405095456993 None None 0.03216909736724434 0.06948033630771845 1.288 1.236 0.245 0.273
c-o-ztfg  True F19 6 35.53101281239031 0.08031242639108205 0.8138808209789878 0.03513013507641741 59339.07873527678 0.36234217066877494 None None -0.006698525469147037 0.06206552644927386 1.271 1.226 0.191 0.225
c-o-ztfg-ztfr  True O94 0 35.48401907364497 0.08219869869519905 0.8131394092082058 0.03503810706188127 59338.94986057967 0.35954554705722025 None None 0.03474943195966624 0.06263342071063326 1.274 1.217 0.141 0.189
c-o-ztfg-ztfr  True F19 6 35.50595809959067 0.08055790385146673 0.8138236710745282 0.03433019221443803 59338.946765454086 0.35642112858701086 None None 0.003545138153155229 0.061563997429411 1.196 1.144 0.209 0.266
c-o-ztfr  True F19 6 35.44922492879449 0.08810400703034758 0.8072592012194539 0.04133202829294237 59338.517305295725 0.37151851214665466 None None 0.047911690095915005 0.06631126088321533 1.148 1.094 0.291 0.347
c-ztfg-ztfr  True F19 6 35.4912996192776 0.07716335401558305 0.8603198979505525 0.032299898836380375 59338.641956217194 0.3522345037008355 None None 0.0343083885963203 0.06061132937848127 0.302 0.287 0.999 0.999
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.495675836930076 0.08083751296246798 0.829058544596695 0.0359350864487722 59338.80696281342 0.3632109759664905 None None 0.023342698084179783 0.061789442350564945 1.58 1.532 0.011 0.017
J-c-o 1D3 True O94 0 35.456221924999255 0.09109596134724361 0.8207639388197587 0.04424277785866254 59338.494672657944 0.38438130229494155 None None 0.0697891880233276 0.0677252939612638 1.051 1.004 0.398 0.44
J-c-o 1D3 True F19 6 35.48427813646246 0.08856938782452004 0.8226989523727036 0.04292178588830412 59338.49319921136 0.37774158011724385 None None 0.039079202551566584 0.06446831422636463 1.083 1.033 0.371 0.413
J-c-o-ztfg 1D3 True F19 6 35.524978858819516 0.07895731640770104 0.82640438960334 0.03419993629655202 59338.964602708635 0.3582458131692631 None None 0.002628905792823033 0.061314491913774 0.986 0.944 0.478 0.536
J-c-o-ztfg-ztfr 1D3 True O94 0 35.485281103425486 0.08119670951912614 0.822649947455596 0.03383461254326293 59338.85993221558 0.3546919833546274 None None 0.04351865026474262 0.06177695456905772 1.045 0.996 0.395 0.474
J-c-o-ztfg-ztfr 1D3 True O94 1 35.50141120162148 0.08114465669598626 0.8234773384783198 0.0336955906078838 59338.85704693469 0.35407999567459275 None None 0.03499685869216284 0.06157304489603421 0.995 0.949 0.475 0.552
J-c-o-ztfg-ztfr 1D3 True O94 2 35.48708475085529 0.0812610599912445 0.8219992928044981 0.03381852089874833 59338.849761215424 0.3546908451736816 None None 0.04323228692051935 0.06185206355831424 1.044 0.996 0.398 0.475
J-c-o-ztfg-ztfr 1D3 True O94 3 35.479003999669594 0.08095156350832163 0.823463380998544 0.03368606477368736 59338.85690702208 0.3540501710105487 None None 0.030833405960344226 0.06154867343313243 0.993 0.947 0.479 0.556
J-c-o-ztfg-ztfr 1D3 True O94 4 35.48323729527027 0.08081090300753292 0.8243295430797979 0.03358722179018989 59338.85434504444 0.3536312429785898 None None 0.02764380868125629 0.06147769333825644 0.958 0.915 0.537 0.611
J-c-o-ztfg-ztfr 1D3 True O94 5 35.48776855876683 0.08117861416491166 0.8255373713534212 0.03368386140592507 59338.878650382845 0.35404200095063926 None None 0.03391703405018318 0.06160430192473363 0.991 0.946 0.482 0.558
J-c-o-ztfg-ztfr 1D3 True F19 6 35.50451470157152 0.08006422749695248 0.8242292937750667 0.03360324413068824 59338.85765654593 0.35355947513844144 None None 0.009682448589318174 0.06109322240357712 0.951 0.907 0.549 0.623
J-c-o-ztfg-ztfr 1D3 True F99 6 35.50979614649547 0.08001745101906545 0.8241750301341885 0.03400890370846673 59338.85682582344 0.3551175740948329 None None 0.0075312274277549735 0.06104308419598197 0.951 0.907 0.549 0.623
J-c-o-ztfg-ztfr 1D3 True O94 6 35.50453237768064 0.08031175148683385 0.8244439461497614 0.03399337153077828 59338.85700995375 0.3550453091442104 None None 0.009785634001437893 0.061225741081144786 0.946 0.902 0.558 0.631
J-c-o-ztfg-ztfr 1D3 True O94 7 35.49797080863375 0.0799546004283488 0.823666221537498 0.033627064137244075 59338.856410177505 0.3537018924264467 None None 0.0030796041797141113 0.061109748796851035 0.963 0.919 0.529 0.603
