bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59352.91370124594 1.9265788023360184 10.095230418722672 2.1976939755187255 0.8061549084079456 2.669110677044682 1.2128710934031681 2.8491319758661198 0.57 0.568 0.45 0.451
c-o  True F19 59353.43195516225 0.9756790139095132 8.310346575680423 0.18901921837755645 2.0710671974852333 1.3675125784269828 -0.16104967634934148 0.15161268079623388 0.488 0.471 0.941 0.949
c-o  True F99 59353.44429498818 0.9494496776540403 9.26332258700828 0.18722104045942606 2.0549950661315113 1.3504147362505157 -0.20221488080442246 0.14991347017876205 0.236 0.235 0.998 0.998
c-o-ztfg  True F19 59353.771368321686 0.6242962363622836 8.424238508522489 0.08615763386083904 1.7266996723178987 0.8539799489779901 -0.04430844171806683 0.08207355781339801 0.782 0.748 0.752 0.793
c-o-ztfg  True F99 59353.777177519456 0.6191018885948331 9.37890831415175 0.0857629809242229 1.7306654135071056 0.8491323315320153 -0.08455879128533529 0.08128643845694013 0.383 0.38 0.996 0.996
c-o-ztfg-ztfr  True F19 59353.634633936796 0.5254462916884998 8.262835677383006 0.08024071458193809 1.5640137259943332 0.739356944264517 -0.06897813347476402 0.06478604959715638 0.324 0.316 1.0 1.0
c-o-ztfg-ztfr  True F99 59353.63220792319 0.5199696414305693 8.265101148965174 0.07986763699280974 1.5620907341947772 0.7334004953746285 -0.07405734048431767 0.06432998426738211 0.324 0.321 1.0 1.0
c-o-ztfr  True F19 59353.364619441214 0.7088700520469458 8.265358370407863 0.1715296230525792 1.5228421324563988 1.0087199948824839 -0.15977604677159027 0.1346432567651031 0.517 0.49 0.972 0.98
c-o-ztfr  True F99 59353.36575572429 0.6976216504837511 9.217943008654391 0.1694276316396862 1.5117044813656473 0.9968777223760448 -0.2012147291086237 0.1329214500820163 0.217 0.216 1.0 1.0
c-ztfg  True F99 59353.66707604796 0.6835060887530088 9.383095569849187 0.09395760582632287 1.3383370526925926 0.9638244017198836 0.1380117107163526 0.20203082468995615 0.503 0.502 0.873 0.874
c-ztfg-ztfr  True F19 59353.73990919337 0.5541558337278183 8.4132779933893 0.08576613941581757 1.5050956892880454 0.8146508768992383 -0.009799813960461265 0.07395547116318947 0.999 0.944 0.457 0.524
c-ztfg-ztfr  True F99 59353.74369088208 0.5486899643179636 9.36749390385474 0.08519895826313754 1.5052187141350863 0.8079307704543379 -0.05008138347904252 0.07317519022091264 0.391 0.388 0.99 0.99
c-ztfr  True F99 59353.50778758555 0.7713428664868742 9.227937887907267 0.1939532121228899 1.40379332408295 1.1869908114470251 -0.17530159869820447 0.15722669207316803 0.244 0.243 0.992 0.992
J 1D3 False F99 59350.27798889664 12.643360027923162 8.204748618649319 78.64966915728249 0.0 -1 0.0 33.729577916772485 None None None None
J 2D False F99 59350.254855 10.710116011749752 8.662620544433594 68.50496093737789 0.0 115.35558717051178 0.0 25.687140559366867 None None None None
J-c 1D3 True F99 59353.383826576304 1.1908433292184792 8.432392204885213 0.2190949608252776 1.4797808146031857 2.0173138247640625 0.370443782893094 0.08390248886951288 0.341 0.34 0.711 0.712
J-c 2D True F99 59353.50964018467 1.1681557731252132 8.322426384661153 0.227767829370428 1.684738124685503 2.044535593906704 0.15945507230435718 0.16231497861230731 0.382 0.38 0.683 0.684
J-c-o 1D3 True F99 59354.20392644587 0.8907786112406451 8.76148996944168 0.17955577286891686 2.651443810054409 1.386615835493457 0.3818809592500747 0.10229657888654514 1.607 1.483 0.069 0.108
J-c-o 2D True F99 59353.56764521444 0.9254031760505909 8.251354061378937 0.1943988519196266 2.1977387061269527 1.369163155582265 -0.10332102175126916 0.14920349718199505 0.389 0.385 0.982 0.983
J-c-o-ztfg 1D3 True F99 59353.90561408896 0.590569411101836 8.394277035889685 0.09262827982083499 1.8211679406361694 0.8770408860335819 0.16876538674758396 0.06607144337463484 1.609 1.459 0.035 0.076
J-c-o-ztfg 2D True F99 59353.78364134282 0.6130210883946317 8.290354324927854 0.08649894152337509 1.7366880173647785 0.8494872443236559 -0.051328182563983124 0.07822296927502354 0.444 0.44 0.99 0.991
J-c-o-ztfg-ztfr 1D3 True F99 59354.05219693113 0.49859921468763796 8.409428429077508 0.09109288535401248 1.8680062652969949 0.787687880648873 0.115667468736599 0.06708676015323252 1.378 1.261 0.078 0.151
J-c-o-ztfg-ztfr 2D True F19 59353.67547523277 0.5236354915996797 8.27553386187203 0.08110855606245326 1.5941516187978593 0.7442871871735545 -0.05021332452958131 0.06442898183608177 0.366 0.356 1.0 1.0
J-c-o-ztfg-ztfr 2D True F99 59353.67331844063 0.5236099044303778 8.424231467269347 0.08126198512311657 1.5920855764115807 0.7443683780431075 -0.015241044756942993 0.0646270173957733 0.714 0.678 0.883 0.915
J-c-o-ztfg-ztfr 2D True O94 59353.67330049157 0.5235877137194971 8.424230805550321 0.08125818731021009 1.592096827778073 0.7443465654634586 -0.015245813795378926 0.06462036311058916 0.742 0.705 0.854 0.892
J-c-o-ztfr 1D3 True F99 59354.26750288131 0.6488386914361711 8.81518529421794 0.15812065035396336 2.3918313008183496 1.0571825973063633 0.39776540994435106 0.10453241626610744 1.134 1.056 0.297 0.387
J-c-o-ztfr 2D True F99 59353.51988663825 0.6880049304314385 8.20156007968782 0.17822141740015368 1.6728532929469124 1.0174307540299228 -0.12532017774720686 0.1382276285128925 0.313 0.31 0.999 1.0
J-c-ztfg 1D3 True F99 59353.50022285444 0.6462690868043224 8.309571374952823 0.09160773746607295 1.1057466442184978 0.906719179101842 0.3161230756882126 0.05598080152365451 0.549 0.54 0.856 0.863
J-c-ztfg 2D True F99 59353.66372535938 0.6643466729037348 8.28349470582885 0.09201926784951318 1.3337976605278798 0.9381948668429383 0.1414869319632563 0.11349038854976297 0.453 0.452 0.92 0.921
J-c-ztfg-ztfr 1D3 True F99 59354.279099266736 0.5204460377013133 8.429431998835607 0.10005632105711973 1.9049466231850727 0.9349796751776658 0.18129647358598855 0.07085967426036527 1.807 1.62 0.019 0.046
J-c-ztfg-ztfr 2D True F99 59353.79727807571 0.5478907989359308 8.282083593049798 0.08650475967520638 1.5424102037746281 0.8189320300305515 -0.025888208379502342 0.07215140767511245 0.443 0.439 0.982 0.983
J-c-ztfr 1D3 True F99 59354.96678047701 0.957231235099949 8.865983734676442 0.19831864821980127 3.3068412173115003 1.9067759455153201 0.4551039220312058 0.10630831909914544 1.475 1.387 0.141 0.179
J-c-ztfr 2D True F99 59353.75635111294 0.7882554190933109 8.245004805508028 0.21088898641310613 1.6910766264131647 1.2804675561597496 -0.06614931114862752 0.1651605214862089 0.41 0.404 0.953 0.955
J-o 1D3 True F99 59352.726159504164 1.8831102614465889 9.506491848412903 0.27010904467228913 1.6008739688987896 1.8351206717490254 0.7767595428495012 0.139714316874485 0.187 0.187 0.997 0.997
J-o 2D True F99 59352.654949108044 1.9083483350393877 9.014736891282784 0.4157556041778136 1.7179444604180265 1.9027546518497525 0.4272752496525647 0.26942248603361224 0.192 0.192 0.997 0.997
J-o-ztfg 1D3 True F99 59353.90745226533 0.6534828095997356 8.41023401707939 0.09936551641250073 1.7968079597084161 0.9449397597480695 0.17364662794336186 0.06800953556547383 1.9 1.719 0.012 0.029
J-o-ztfg 2D True F99 59353.68545648514 0.7303143943764655 8.29760791502882 0.09228026150750378 1.5227731551148607 0.9301042467001371 -0.05962543961320102 0.0815839951093993 0.458 0.455 0.975 0.976
J-o-ztfg-ztfr 1D3 True F99 59353.98226843083 0.555582018118818 8.4326914095625 0.09738002858431064 1.7693910815978637 0.8443427492907016 0.12910773556329858 0.07049835649656308 1.508 1.373 0.044 0.094
J-o-ztfg-ztfr 2D True F99 59353.51996047086 0.588133076184303 8.283951959207855 0.08530134427724324 1.357187049184983 0.7986146806061482 -0.052729996597875084 0.06640182359195701 0.36 0.358 0.999 0.999
J-o-ztfr 1D3 True F99 59352.941250892356 0.946712214719274 9.182665349879375 0.16199460163815999 0.9724491388166617 1.2399325963218344 0.6486917425870973 0.10190617855516969 0.315 0.306 0.998 0.998
J-o-ztfr 2D True F99 59352.96775781401 0.9656684338977979 8.685477752176258 0.3344611115524944 1.0086261454053962 1.2812485829044835 0.2626062054456888 0.25227803039867497 0.234 0.231 1.0 1.0
J-ztfg 1D3 True F99 59353.67051379447 0.8125179976918739 8.284711747746737 0.1024989982837421 1.2056598383386412 1.0805904727053286 0.31522029924583317 0.0549878991908803 0.732 0.73 0.599 0.601
J-ztfg 2D True F99 59353.73607598119 0.8114791522397569 8.276491813825267 0.10124952940253178 1.2670398595840022 1.076629451648976 0.14144749388335787 0.12801414923310567 0.737 0.735 0.595 0.597
J-ztfg-ztfr 1D3 True F99 59354.29368079824 0.5945070013953184 8.450068844786227 0.10714008902032361 1.9228308252061392 1.0481311619495797 0.19185326000256853 0.07344167197128575 2.204 1.97 0.006 0.016
J-ztfg-ztfr 2D True F99 59353.65602679884 0.6391287064688131 8.281858175313186 0.09119481161984368 1.2858747238957917 0.8993620005600541 -0.02799411000871176 0.07466052348237753 0.474 0.47 0.948 0.95
J-ztfr 1D3 True F99 59352.98162269632 1.2594902298242743 9.086667433697272 0.1675818934657181 0.4635461469686011 1.8678486593940715 0.628493016623737 0.10455714510238479 0.181 0.181 0.982 0.982
J-ztfr 2D True F99 59352.94345606043 1.2578720298560795 8.698569162643103 0.307497975176594 0.43510128273859894 1.859372448840023 0.31531915835672314 0.23432390373197812 0.179 0.179 0.983 0.983
o  True F99 59352.96815452332 2.0637423027088246 12.216405072802672 6.414482960212709 1.228377830078806 2.1309237510710832 1.8587171834335596 4.138906609636617 0.201 0.2 0.994 0.994
o-ztfg  True F99 59353.65190680283 0.7381469294039638 9.385147318701506 0.09118957168594975 1.4887446868810212 0.9265907543991312 -0.09685543282933315 0.08507661331315111 0.367 0.366 0.991 0.992
o-ztfg-ztfr  True F19 59353.45942863292 0.5996135915387032 8.415007803822203 0.08478031627798463 1.3138475882435223 0.7991376783639711 -0.032853326729110593 0.06720406905113523 0.686 0.646 0.882 0.915
