bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
asg  False O94 0 None None None None None None None None None None None None None None
asg-c-o  True O94 0 34.78461849232208 0.08325817281314142 1.1056176645580449 0.03757483121699684 59356.287723702124 0.38034948322143974 None None 0.07487275712253925 0.06257746279406398 2.234 1.744 0.001 0.017
asg-c-o-ztfg-ztfr  True O94 0 34.77806031324715 0.07944811269113806 1.0815623769240408 0.032946094284350864 59356.422929312124 0.35568126205715345 None None 0.07150488716676369 0.06078254455692384 1.464 1.175 0.024 0.198
asg-ztfg-ztfr  True O94 0 34.738873339741595 0.08474873195345482 1.055788116343946 0.036777796079188796 59356.57701901416 0.35981896439257777 None None 0.08232672061865574 0.06155496926535818 0.892 0.847 0.618 0.683
c-o  True O94 0 34.79426319292645 0.08437009056160794 1.0772849811947287 0.03515190481284391 59356.474314448584 0.37153366903481594 None None 0.049753554390299604 0.062373454516126144 1.38 0.989 0.147 0.463
c-o  True F19 6 34.81305776144595 0.08364538833939454 1.0772207783979755 0.03514886896499199 59356.47497464383 0.37151933055819536 None None 0.010554464913878233 0.06257096804708726 1.38 0.99 0.147 0.463
c-o-ztfg  True F19 6 34.794305714025285 0.07702717735768211 1.076096441048499 0.03267867270843641 59356.36852478935 0.3541559745186351 None None 0.023242446915274467 0.0606112840486618 1.654 1.166 0.019 0.255
c-o-ztfg-ztfr  True O94 0 34.78410021176409 0.07988907425621307 1.08427807659417 0.03265540768691212 59356.36877735637 0.3546703121175112 None None 0.0666316255763255 0.06069482764642355 1.317 0.952 0.091 0.555
c-o-ztfg-ztfr  True F19 6 34.80998839312022 0.07795622729677998 1.0827793163399084 0.03196437027882339 59356.36512564265 0.35045515457827486 None None 0.019759100390500214 0.060461741878653386 1.283 0.923 0.114 0.606
c-o-ztfr  True F19 6 34.80971842741342 0.08210563752880885 1.0670430242297346 0.03211135549317664 59356.552035105015 0.3547506409250652 None None 0.005353696458062178 0.061282579820864276 0.993 0.772 0.473 0.788
c-ztfg-ztfr  True F19 6 34.80658497888171 0.07987278715438881 1.0682264591163064 0.03439972949924624 59356.47784047063 0.3566018406150883 None None 0.015713624610560258 0.06093906342533836 1.077 0.797 0.364 0.726
J-asg 1D3 True O94 0 34.76865352517754 0.1252875392533356 1.0410678677775294 0.06783222307871765 59356.91881061113 0.5471059902165414 None None 0.08128346805009072 0.0674758940392057 2.963 2.49 0.007 0.021
J-asg-c-o 1D3 True O94 0 34.75098309220765 0.08346322997821258 1.0514968483479383 0.03339724228430728 59356.712179266426 0.36480490947250177 None None 0.07781888278246449 0.06236499014889517 2.877 2.035 0.0 0.002
J-asg-c-o-ztfg-ztfr 1D3 True O94 0 34.769771871315974 0.07893112316279759 1.053555059122653 0.0314666828926973 59356.60860016259 0.3489154245841241 None None 0.06934703061509377 0.06056450808558003 1.842 1.36 0.0 0.053
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 34.78023319228903 0.077186757967924 1.0584441981827557 0.03156534768970749 59356.56916434552 0.34875092205825287 None None 0.02467601690935515 0.060515499106395074 1.692 1.258 0.002 0.113
J-asg-ztfg-ztfr 1D3 True O94 0 34.7326274474262 0.08237255236432456 1.0280379034945424 0.03444221201604153 59356.742470810495 0.35742913287959666 None None 0.07441136833011101 0.0611223924258687 1.306 1.106 0.132 0.321
J-c-o 1D3 True O94 0 34.763044281794656 0.08466185272431212 1.0387808561772196 0.03209209183282653 59356.809935352256 0.35776453399547625 None None 0.049044654376939584 0.0620596514716426 1.665 1.158 0.038 0.287
J-c-o 1D3 True F19 6 34.77420563061116 0.08262624075183005 1.0441837896642152 0.031721637045913055 59356.777329043616 0.35287502033027474 None None 0.01024751460193661 0.061459515972575596 1.572 1.098 0.058 0.346
J-c-o 2D True F19 6 34.767578241246575 0.08278471691666928 1.0491787410867703 0.03174762449344983 59356.753951310595 0.3532166093582082 None None 0.021309678712512624 0.06146746737982229 1.766 1.172 0.023 0.275
J-c-o-ztfg 1D3 True F19 6 34.79068835327689 0.07742875906878473 1.059148574351439 0.03198691718179079 59356.53930417471 0.3514717386528352 None None 0.01718580636995926 0.060653027328626576 2.038 1.347 0.001 0.104
J-c-o-ztfg 2D True F19 6 34.77847885159858 0.07734763296154915 1.0604441504265882 0.03173736206787125 59356.51161409088 0.35015060616874727 None None 0.024170274227653086 0.06058976846754716 2.035 1.26 0.001 0.162
J-c-o-ztfg-ztfr 1D3 True O94 0 34.77534258423415 0.07967867565734009 1.052549217929827 0.03134500181470091 59356.59105832334 0.34851076392178115 None None 0.0636868078907082 0.060556013769925275 1.698 1.163 0.004 0.222
J-c-o-ztfg-ztfr 1D3 True O94 1 34.7866762413972 0.0795682064501656 1.0520883590093353 0.031359925752680144 59356.59262571485 0.3485575044991292 None None 0.05370585683412996 0.060526271522719284 1.711 1.162 0.003 0.222
J-c-o-ztfg-ztfr 1D3 True O94 2 34.782024100231254 0.07998128116253736 1.0516633794387102 0.031566683707181464 59356.61314358321 0.35012111863608164 None None 0.06537775955635751 0.06062235772901844 1.984 1.324 0.0 0.084
J-c-o-ztfg-ztfr 1D3 True O94 3 34.77033828305936 0.07945909201057054 1.0526057998205607 0.0313391091614367 59356.58754250283 0.34842558317627575 None None 0.049840462248566905 0.060517979806243925 1.676 1.142 0.005 0.248
J-c-o-ztfg-ztfr 1D3 True O94 4 34.770107138000384 0.07941812989436958 1.0517772132511012 0.03137357522493581 59356.59504646005 0.3485622761906779 None None 0.047140024110640555 0.06052457969232019 1.723 1.166 0.003 0.219
J-c-o-ztfg-ztfr 1D3 True O94 5 34.78650492348664 0.0797239383860115 1.0521864076081489 0.03153898390443974 59356.60280508071 0.3500104345936115 None None 0.051954425715436146 0.060580536013592194 1.937 1.291 0.0 0.105
J-c-o-ztfg-ztfr 1D3 True F19 6 34.791351626406055 0.07821166107593278 1.0602624028443883 0.03143491078333726 59356.551551412165 0.3488272683814216 None None 0.0173143795669104 0.060488934143590176 1.529 1.048 0.017 0.388
J-c-o-ztfg-ztfr 1D3 True F99 6 34.79671241262594 0.07840686446806086 1.0594328857643567 0.03190632917111874 59356.55656690774 0.3515233262198872 None None 0.01563386274800993 0.06056411795409472 1.488 1.033 0.024 0.412
J-c-o-ztfg-ztfr 1D3 True O94 6 34.789171817263444 0.07872896575607174 1.0592952995731044 0.03192058671797226 59356.55747285499 0.35180841219105136 None None 0.01798283531554909 0.060674497604475845 1.52 1.046 0.018 0.391
J-c-o-ztfg-ztfr 1D3 True O94 7 34.777197421165184 0.07825473756545535 1.0584967639102418 0.03139310012967238 59356.53840102117 0.34809997738630233 None None 0.015473393135747679 0.06049087092962075 1.493 1.04 0.023 0.402
J-c-o-ztfg-ztfr 1D3 True O94 8 34.79007581236773 0.07793856592278883 1.061172009042721 0.03138784971661025 59356.53948393257 0.34798893437330664 None None 0.014222917925645538 0.06054690063907288 1.453 1.022 0.032 0.432
J-c-o-ztfg-ztfr 1D3 True O94 9 34.779864456403786 0.07819018943729135 1.0587826784362584 0.03139189182993666 59356.53415266638 0.3481048689346222 None None 0.015139854754976182 0.06050120703505826 1.489 1.039 0.024 0.402
J-c-o-ztfg-ztfr 1D3 True O94 10 34.842702336868804 0.08202556734737339 None None 59356.47811674686 0.35001190679592614 0.9011131274041305 0.06148246815794825 0.039764965320978854 0.06070982854595335 2.739 1.468 0.0 0.028
J-c-o-ztfg-ztfr 1D3 True O94 11 34.84370925353196 0.08201011821555299 None None 59356.48233859276 0.3495546935434467 0.9069043014136239 0.06132539609438789 0.03871718684863719 0.06067985933150004 2.758 1.5 0.0 0.021
J-c-o-ztfg-ztfr 1D3 True O94 12 34.84610286959882 0.08169831441088435 None None 59356.48248005622 0.35012787084424296 0.9006921084537971 0.0615292899468226 0.03953153334443029 0.06068253222568869 2.739 1.478 0.0 0.026
J-c-o-ztfg-ztfr 1D3 True O94 13 34.83088819673946 0.08224502731853965 None None 59356.48243352514 0.3497033355414357 0.9125723752799023 0.061247758745624145 0.026238517679426313 0.06061956340619621 2.924 1.593 0.0 0.009
J-c-o-ztfg-ztfr 1D3 True O94 14 34.828455186681026 0.08204391679599031 None None 59356.48248719804 0.3495622187402079 0.9071117028679679 0.06133124745772793 0.028442006876968767 0.060638746711162844 2.909 1.549 0.0 0.014
J-c-o-ztfg-ztfr 1D3 True O94 15 34.83904326102302 0.08183762296428966 None None 59356.48207545198 0.3499880158697935 0.9073235829202785 0.06134732453488784 0.02577962422181868 0.0606130657342325 2.998 1.617 0.0 0.007
J-c-o-ztfg-ztfr 2D True F19 6 34.7790351335248 0.07824663849932305 1.0585377811685295 0.031339533424560126 59356.53373573244 0.3478595370252056 None None 0.02317205871326267 0.06047623311495894 1.605 1.053 0.009 0.379
