bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.827747678433965 0.1351657258522266 0.9475622164461156 0.056860290401490314 59362.351564016986 0.7607089392315373 None None 0.18187862328248816 0.08544087920562654 0.869 0.863 0.618 0.625
c-o  True F19 6 36.86169694301529 0.12531187535167426 0.9475316918334269 0.056860100531997824 59362.35216291009 0.7606685612353844 None None 0.13788297138356032 0.08600219731041284 0.869 0.863 0.618 0.625
c-o-ztfg  True F19 6 36.75407497963353 0.11613758066964941 0.9142993067034862 0.05620934683003892 59361.80297349855 0.6434738790445276 None None 0.17692570401139282 0.07050767882617968 1.401 1.391 0.088 0.092
c-o-ztfg-ztfr  True O94 0 36.661245000076605 0.11411924680178631 0.8833574034126478 0.05188643284899711 59361.91584616896 0.5058519995074104 None None 0.2208129399519983 0.07145190686044244 1.143 1.134 0.265 0.276
c-o-ztfg-ztfr  True F19 6 36.723009185503976 0.10676717630728157 0.9073478218090949 0.04878061571257099 59361.88409325171 0.4895458147462077 None None 0.18794496494428317 0.06752868467419336 1.177 1.168 0.226 0.236
c-o-ztfr  True F19 6 36.82473424124176 0.10823125748413463 0.9580064602809445 0.04630335952339858 59362.11352792606 0.4884796951594653 None None 0.15577453843738573 0.07540234430663506 0.802 0.795 0.744 0.753
c-ztfg-ztfr  True F19 6 36.67679013617206 0.11323189138196876 0.8931602881576035 0.055883079597237796 59361.48083220343 0.5110310992203626 None None 0.17955611826134124 0.07078629592743133 1.458 1.429 0.1 0.111
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.70503471026755 0.10658302674605082 0.8899163639907625 0.04962797367391192 59361.76439381228 0.4937838852428448 None None 0.1787598327028399 0.06805503212146308 1.317 1.307 0.102 0.108
J-c-o 1D3 True O94 0 36.82916002666226 0.13690238838200444 0.9626535087964263 0.058444624337074084 59362.012833472065 0.7920335646618138 None None 0.1764856442651374 0.08640586716237957 0.937 0.93 0.536 0.544
J-c-o 1D3 True F19 6 36.856345036982255 0.11650930530833868 0.9573225227830945 0.05221068404443149 59362.04364857645 0.693627424768314 None None 0.13227805460189043 0.0804014886631293 0.93 0.923 0.545 0.553
J-c-o-ztfg 1D3 True F19 6 36.754341742278484 0.11323098607985299 0.9183361970513115 0.05431892558123428 59361.5586209759 0.6286596184839881 None None 0.17151739949073633 0.06943621373328757 1.281 1.271 0.153 0.161
J-c-o-ztfg-ztfr 1D3 True O94 0 36.67154024143404 0.107664846363326 0.8883585502100109 0.046146553401166954 59361.74935894737 0.46512270398575656 None None 0.21429325333230995 0.0678392131616563 1.01 1.002 0.451 0.464
J-c-o-ztfg-ztfr 1D3 True O94 1 36.651208474117276 0.10888954531348957 0.8886998429557466 0.04615075015589174 59361.75730343368 0.465240800905757 None None 0.2077028003186391 0.06750966195762718 1.012 1.004 0.448 0.461
J-c-o-ztfg-ztfr 1D3 True O94 2 36.67007853748995 0.10793314787655033 0.8882881185156487 0.04588398129591791 59361.75644825995 0.46341936590738975 None None 0.21804773387556964 0.06804786673514457 1.003 0.995 0.463 0.476
J-c-o-ztfg-ztfr 1D3 True O94 3 36.63834833956926 0.1082915815946108 0.8896101697612754 0.04644173691713895 59361.76568063973 0.4671086906671942 None None 0.20103432153706097 0.06751907480425304 1.031 1.022 0.419 0.432
J-c-o-ztfg-ztfr 1D3 True O94 4 36.633076910085755 0.10836234554593109 0.8888270266273891 0.04631668359252094 59361.76565005443 0.46603257889000443 None None 0.20252342989136443 0.06751225525886081 1.023 1.015 0.43 0.443
