bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.46483037430529 0.18872774102955903 1.141054755961624 0.10697329753573816 59362.8384221 0.7611656529868557 None None 0.32387125138303857 0.10889276867126231 0.484 0.48 0.961 0.963
c-o  True F19 6 37.578188847734346 0.17310804927032009 1.1409731929585822 0.10694667465848465 59362.83862229486 0.7609866394946171 None None 0.2854186165885774 0.08866775794962428 0.484 0.48 0.961 0.963
c-o-ztfg  True F19 6 37.75131013866976 0.11540319784088544 1.2103441679472553 0.043595728369197624 59361.14157914293 0.4904667038485815 None None 0.17496183253175446 0.06861304522483663 0.512 0.508 0.989 0.989
c-o-ztfg-ztfr  True O94 0 37.57195518279652 0.11073388779275532 1.234149334405674 0.040488870079757745 59361.3642476496 0.5055827599836326 None None 0.20911699667785957 0.0682851974915985 0.542 0.537 0.996 0.997
c-o-ztfg-ztfr  True F19 6 37.6282840152302 0.11078770552170475 1.2314588172229923 0.03895635216858961 59361.35574656758 0.48379408511979904 None None 0.25019540420041664 0.06561336938503758 0.552 0.548 0.995 0.996
c-o-ztfr  True F19 6 37.56250044121235 0.11757435992167 1.256607024092725 0.03925380156293885 59361.434176720846 0.5203329270443678 None None 0.32911745043394874 0.07523291307521307 0.443 0.439 0.999 0.999
c-ztfg-ztfr  True F19 6 37.54366255678656 0.12153065934358648 1.221733105726604 0.04248661799907571 59361.448370822516 0.49733736786151456 None None 0.28638660662354654 0.0676403852501116 0.609 0.603 0.962 0.965
J-c-o 1D3 True O94 0 37.49869712229956 0.2018429398813488 1.015910971640708 0.07036530276126826 59364.52743431373 0.7456786884997523 None None 0.288264006571407 0.10585217038335692 0.953 0.939 0.513 0.53
J-c-o 1D3 True F19 6 37.62144699521622 0.1614995134025818 1.0383396406821357 0.06553124907921408 59364.32086714444 0.6491167505538598 None None 0.20985789226818952 0.09067251744458547 0.869 0.856 0.617 0.633
J-c-o 2D True O94 0 37.496445046966336 0.19806064532682172 1.01875969281204 0.06865168254290026 59364.44807750274 0.7284752206345967 None None 0.2895734785643374 0.1039366335354847 0.902 0.889 0.576 0.593
J-c-o 2D True F19 6 37.61940011531312 0.15901947560931284 1.042171442842985 0.06434958863644237 59364.23945777546 0.6352390269588484 None None 0.2128548035737681 0.08906901370286259 0.82 0.808 0.678 0.693
J-c-o-ztfg 1D3 True F19 6 38.00498165386101 0.113411238388132 1.2714489327129446 0.05516631648227956 59360.869892670264 0.6423753877418087 None None 0.08340187077061446 0.07250340618913946 0.978 0.96 0.501 0.529
J-c-o-ztfg 2D True F19 6 37.99948655456048 0.1107845942702517 1.2702385439593487 0.054044236400103134 59360.87612138491 0.6303336833096014 None None 0.08550949649989352 0.0716240037656707 0.937 0.919 0.568 0.596
J-c-o-ztfg-ztfr 1D3 True O94 0 37.4542043864336 0.13394029815842734 1.0116604620340472 0.05151304262466599 59363.00538357 0.5588795820937469 None None 0.2580395407540387 0.07194217363996676 1.179 1.143 0.183 0.228
J-c-o-ztfg-ztfr 1D3 True F19 6 37.81442211360901 0.10743192150594812 1.2742926484523904 0.047064256912611395 59361.161051808995 0.6147993523299318 None None 0.16968907290662694 0.06875570399859823 1.073 1.039 0.336 0.398
J-c-o-ztfg-ztfr 2D True O94 0 37.468508186187485 0.1270295644708485 1.0130188238104043 0.0476017691313238 59362.982934134096 0.5169623110848224 None None 0.25401134999685543 0.0695565501468041 1.14 1.104 0.232 0.287
J-c-o-ztfg-ztfr 2D True O94 1 37.45000831284266 0.1298719204530785 1.0111762868223833 0.04792654046032703 59363.00363064822 0.5209701789345711 None None 0.2388742967506598 0.0694523842550951 1.167 1.128 0.198 0.25
J-c-o-ztfg-ztfr 2D True O94 2 37.86865978197834 0.10976832723301892 1.2675045738523083 0.04956463194370775 59361.291643862896 0.6363471725692234 None None 0.051862101661452796 0.07593617457210197 1.259 1.202 0.104 0.155
J-c-o-ztfg-ztfr 2D True O94 3 37.45831254188038 0.12797766299083796 1.014586520987742 0.047911216820107266 59362.95190091042 0.5199333658931351 None None 0.22554845888507602 0.06925001522636853 1.137 1.1 0.237 0.292
J-c-o-ztfg-ztfr 2D True O94 4 37.443683370265084 0.12903163729580677 1.0123137190174236 0.04796864969406415 59362.99040501035 0.5207795444130913 None None 0.22941617467857076 0.06936896435151726 1.158 1.119 0.209 0.263
J-c-o-ztfg-ztfr 2D True O94 5 37.899118417306305 0.11182872278719067 1.280215019549725 0.04899965420271732 59361.14432053305 0.6383654184783168 None None 0.020698221817564033 0.07535822884008889 1.192 1.145 0.166 0.224
J-c-o-ztfg-ztfr 2D True F19 6 37.816905339911116 0.10655971680813266 1.2748456697273036 0.046691289433622316 59361.15894730027 0.6097399095039961 None None 0.16859706280523762 0.06841834039225296 1.056 1.019 0.367 0.435
