bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.211551844726216 0.15229870912807658 0.8911230989257112 0.061152574444262156 59392.984505610155 0.7415204025221523 None None 0.08990323914655889 0.11162431452267856 0.676 0.672 0.854 0.858
c-o  True F19 6 37.23048810726707 0.13697948129430487 0.907103568858896 0.05836464451491748 59392.326040909036 0.6038959358574569 None None 0.029530280169433935 0.1100930551952363 0.67 0.666 0.867 0.871
c-o-ztfg  True F19 6 37.243371318153294 0.09092698195447627 0.8833747952550302 0.035220362931406284 59391.76390678426 0.37987873745805 None None -0.023245946041536417 0.06513483029628316 0.52 0.517 0.991 0.992
c-o-ztfg-ztfr  True O94 0 37.178311555617256 0.09034545046650812 0.8991961091332084 0.03657499556579894 59391.642409318505 0.3846722766453394 None None 0.06067655041691447 0.0658381976173513 0.663 0.657 0.963 0.967
c-o-ztfg-ztfr  True F19 6 37.21047768721874 0.0858231350599425 0.9016496516714884 0.03547096620645387 59391.61662288687 0.3772919125160883 None None 0.005492649409447151 0.06418026000630409 0.634 0.628 0.976 0.978
c-o-ztfr  True F19 6 37.24426327457867 0.107711026985575 0.922435212710634 0.04317785121241406 59391.61201166712 0.4020829349211845 None None -0.004787065970216546 0.08948427216994125 0.623 0.617 0.958 0.961
c-ztfg-ztfr  True F19 6 37.17585514232436 0.08764438197270466 0.899633109718599 0.036315622913495244 59391.477605278335 0.3816309978926917 None None 0.015804231296880043 0.06523848088689577 0.653 0.643 0.914 0.922
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.884419201292005 0.1054083632653157 0.9052711279531769 0.05049616023204724 59391.33109981409 0.47815886494090554 None None 0.1901074496989545 0.0707195318403659 3.116 3.027 0.0 0.0
J-c-o 1D3 True O94 0 36.77743655437578 0.1994263525328868 1.1890617442839333 0.1364226003870097 59391.020250091555 0.9035859443874701 None None 0.5509244503869863 0.12595324290858484 2.009 1.97 0.002 0.002
J-c-o 1D3 True F19 6 36.70527531339187 0.12789958269811025 0.9225688246530954 0.08063348795439113 59390.829339698175 0.6450489563307247 None None 0.4360229450209052 0.09481912224308714 2.54 2.504 0.0 0.0
J-c-o 2D True F19 6 37.15384389217741 0.10162963084545938 0.910603605659031 0.052958232217239914 59391.55779327767 0.45040401712953243 None None 0.05635598556172421 0.08026388663306985 0.726 0.72 0.842 0.848
J-c-o-ztfg 1D3 True F19 6 36.80919953303153 0.1088453319351431 0.8924051138233344 0.04929612341180476 59391.529040245085 0.47924930998569526 None None 0.21390498035468317 0.06906398716657863 2.664 2.58 0.0 0.0
J-c-o-ztfg 2D True F19 6 37.174704024204715 0.08776508692988562 0.8847893224698694 0.03578724079661852 59391.712264543734 0.3824768694937651 None None 0.010579082891260798 0.06399231676659953 0.588 0.584 0.981 0.982
J-c-o-ztfg-ztfr 1D3 True O94 0 36.81381328244923 0.11568704697379648 0.9188602375230651 0.050406745476075085 59391.40545974488 0.4771255593894998 None None 0.26703998999636286 0.07153947030008395 2.549 2.464 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.78749164421111 0.11562244414371807 0.925049857802778 0.04984415876523061 59391.40130547682 0.47359158819317004 None None 0.26475893323522165 0.06957565627113108 2.399 2.324 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.834698534008474 0.11541066761722049 0.92797921231761 0.049252822805132296 59391.38951095626 0.4695490331332927 None None 0.26859151952928606 0.06986085072317871 2.304 2.232 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.7774388917227 0.11468291051456682 0.92202905745789 0.050509333992993406 59391.39345687115 0.478051015130169 None None 0.25381160209796927 0.07044226656979204 2.521 2.441 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.77776275704669 0.11415058449223542 0.9218464420522893 0.049951910695455744 59391.391166719455 0.4743717507555046 None None 0.2526976258940919 0.07002645249362426 2.441 2.364 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.80551155345362 0.11434607127599394 0.9305538681200994 0.04912817647373936 59391.38466967017 0.4685430871235785 None None 0.25619116590196434 0.06879451603300411 2.25 2.182 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.8723251651999 0.10564601880371836 0.9083826845803603 0.04787513055221821 59391.42890868217 0.45909944157841065 None None 0.2093241224780255 0.0691297706427859 2.602 2.513 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.87351551057609 0.107644630843175 0.9024799153151976 0.0509556770152795 59391.42793434149 0.4813835763273928 None None 0.20291735244176007 0.07207212486858953 2.817 2.711 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 36.839142067094336 0.10658720890488523 0.8927970329541097 0.050880995899826406 59391.448056230285 0.48013251436480375 None None 0.19747566455810864 0.07273566774561652 2.881 2.77 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.9278408630603 0.10488165570528288 0.8811887584661023 0.05273966344436257 59391.45489555213 0.4933934039326474 None None 0.1864106774577022 0.0768942145184005 3.389 3.238 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 36.85319197331404 0.1062242544553556 0.8880120500250697 0.0511829470662016 59391.45386158844 0.4820852869372935 None None 0.19522516944732468 0.0737402352337701 2.985 2.865 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 36.82224510026588 0.12374398770977801 None None 59391.49332246181 0.49436324586317193 1.0948392507570877 0.07609272066182676 0.3208058003881449 0.0669199222176191 2.594 2.319 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.82578152751817 0.12284537667475914 None None 59391.49348796499 0.49057932913562324 1.094852036852399 0.07575560852684123 0.3154214518458878 0.06657332558163073 2.518 2.252 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.84828624302789 0.12256358699421159 None None 59391.491465747895 0.48871535061631144 1.095289104243523 0.0758532670332789 0.3162398512682578 0.06653906770795456 2.478 2.216 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.76984262334639 0.12075273964336711 None None 59391.48561984309 0.4934995909984558 1.0947424981327318 0.07594039932141357 0.29356598382140814 0.06643899849951304 2.558 2.283 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.80167422405864 0.12102062534992226 None None 59391.48596051725 0.49327187059874505 1.0949892394567233 0.07616867911197937 0.30090547442584203 0.06698235708756059 2.564 2.29 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 36.80476638272304 0.11919331401395718 None None 59391.486504968125 0.48421688210690916 1.09568529396964 0.07555440900059537 0.28832235879226736 0.06586757688220343 2.377 2.125 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 37.17665780126139 0.08556119250588164 0.9027780433508046 0.03569435467714972 59391.556240732636 0.3781949016628056 None None 0.021771655064875203 0.06365157849969244 0.658 0.651 0.972 0.975
J-c-o-ztfr 1D3 True F19 6 36.72178011589363 0.12284502605639862 0.9462287218279994 0.06159401684197397 59391.005911620465 0.5205064450722408 None None 0.44629500084085255 0.08175207436034693 1.94 1.912 0.0 0.001
J-c-o-ztfr 2D True F19 6 37.15588061783863 0.09817292882058054 0.930180586473708 0.044306312785962504 59391.46809170155 0.4090267139954389 None None 0.06902191451805238 0.07780724212108936 0.691 0.684 0.925 0.93
J-c-ztfg-ztfr 1D3 True F19 6 36.81531279636409 0.1099629244263039 0.9169986788517873 0.0512116339564934 59391.26990892628 0.4725843030424636 None None 0.22523595302712424 0.06943247191859546 2.534 2.445 0.0 0.0
J-c-ztfg-ztfr 2D True F19 6 37.144425828848014 0.0863893460563139 0.9026447611454115 0.03650559236341514 59391.4350831385 0.38199325869695505 None None 0.03173029475316944 0.06408328911929952 0.659 0.649 0.926 0.933
J-o-ztfg-ztfr 1D3 True F19 6 36.85534758601587 0.11135939153141668 0.914269312547923 0.051989228072862256 59391.45787323526 0.5089417928930314 None None 0.2393058328116239 0.07050384596060001 2.854 2.754 0.0 0.0
J-o-ztfg-ztfr 2D True F19 6 37.17162640794052 0.08714356076061851 0.9184047041164988 0.03693091842433829 59391.53719691153 0.3960576190436764 None None 0.047566548893525185 0.063723630580704 0.638 0.631 0.972 0.975
J-o-ztfr 1D3 True O94 0 36.50228760911545 0.1407975221874273 0.9485424686877508 0.05556002401715701 59391.07623442131 0.4921421232500522 None None 0.6482795019806784 0.07275663934516269 0.957 0.931 0.536 0.578
J-ztfg-ztfr 1D3 True O94 0 36.73615197440328 0.1344444801406948 0.9465823403632995 0.06694274668739313 59391.195519264555 0.6114632429897362 None None 0.3294963523907193 0.07360158407703626 3.232 3.123 0.0 0.0
J-ztfg-ztfr 1D3 True F19 6 36.803253189854836 0.12098963196583347 0.930017024367206 0.06353030158240519 59391.26038368934 0.5899946785396036 None None 0.26417284907964955 0.07356693661552163 3.321 3.204 0.0 0.0
J-ztfg-ztfr 2D True F19 6 37.1504345431725 0.08895477927190044 0.9290965649659239 0.03878892726325498 59391.38130772157 0.4091202511491802 None None 0.06388975256144888 0.06415127614258521 0.617 0.609 0.931 0.936
o-ztfg-ztfr  True F19 6 37.20503940894945 0.08655864520158141 0.9145329588399922 0.03637118584545055 59391.6179812851 0.39277627340069754 None None 0.023606245436509677 0.0641069257886267 0.593 0.587 0.982 0.984
ztfg-ztfr  True O94 0 37.1458999698008 0.09433414091188526 0.9241507032899521 0.0381256329559409 59391.47501404084 0.4058042494457454 None None 0.1039437676505416 0.06546180367677346 0.563 0.555 0.944 0.948
ztfg-ztfr  True F19 6 37.190884304621044 0.08839989967306268 0.9241911000593822 0.03779469900297591 59391.47570589494 0.4030343679060273 None None 0.037615229056353 0.06481723201278089 0.563 0.555 0.944 0.948
