bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59442.384186561 0.555897878898111 8.179462807910372 1.2107695335578432 -0.006637430433715867 0.6844074416319111 1.1783278678430356 1.2605302333220545 3.092 2.381 0.026 0.067
c-o  True F19 59442.818765211065 0.14797272851138138 6.2272424111355775 0.058014570539031314 0.6132415536698891 0.17664174537750757 0.20192373252173984 0.04428903010623714 1.134 0.51 0.287 0.983
c-o  True F99 59442.819067076285 0.14797500667291416 6.2275030151040065 0.058015431075492424 0.6137914481103024 0.1766597092343741 0.1987604251100494 0.044291896911437895 1.135 0.51 0.286 0.983
c-o-ztfg  True F19 59442.77702834322 0.11120398799518219 6.325893476922072 0.03150934417742712 0.5625486137795637 0.1385276595225492 0.22988171482059255 0.027593420113594506 3.444 1.077 0.0 0.331
c-o-ztfg  True F99 59442.80343524138 0.08196473955030609 7.332099664468966 0.028627566290014925 0.5568011967459715 0.10865724505133732 0.20331214387078056 0.02563516588405965 0.85 0.759 0.76 0.889
c-o-ztfg-ztfr  True F19 59442.794872305516 0.09800384874276086 6.237731423552413 0.02981893931355026 0.5888794438101952 0.11673213385246173 0.21486196505378657 0.024096492125992557 0.868 0.395 0.776 1.0
c-o-ztfg-ztfr  True F99 59442.857342932766 0.0711027947355479 6.232520545998083 0.027008014336971878 0.5519962509062235 0.09092043711553698 0.20758458241574929 0.02231805479231351 0.843 0.737 0.825 0.953
c-o-ztfr  True F19 59442.830923579444 0.11996648729276449 6.327684279692427 0.05504446930535213 0.6280150978078203 0.13620085539856738 0.23297392160071856 0.04072516230905547 3.268 0.932 0.0 0.609
c-o-ztfr  True F99 59442.887977307255 0.08253942830761617 7.3243820239446045 0.04520084099006309 0.582617718859682 0.10334777892019612 0.2002839096824801 0.034462471514611 0.984 0.859 0.505 0.747
c-ztfg  True F99 59442.80849427836 0.10023007899257014 7.342953652509891 0.04530341509488461 0.46695019924658765 0.15886133401276548 0.23608195960823786 0.0661074696122627 0.85 0.728 0.674 0.828
c-ztfg-ztfr  True F19 59442.800716868034 0.10923781006834193 6.33781748616255 0.03298145513700081 0.5765891089893034 0.14389773054474655 0.24867513936008204 0.030301772594096436 3.09 1.09 0.0 0.313
