bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.84102109206313 0.19882771782483244 0.8036129810944591 0.07464746962936962 59444.52264064622 0.6217964492481053 None None 0.13768251134945594 0.11794577975702918 0.527 0.526 0.948 0.948
c-o  True F19 6 36.887923705506964 0.1754551580854266 0.8035948511876221 0.07464565927318269 59444.525912037796 0.621572438313548 None None 0.10990775342068251 0.11819851251532092 0.527 0.526 0.948 0.948
c-o-ztfg  True F19 6 36.66441947641303 0.15829261971326927 0.7726919109014316 0.06929392366830438 59444.66647919428 0.5308764232350284 None None 0.2768919881788483 0.09511431751625664 0.882 0.88 0.633 0.636
c-o-ztfg-ztfr  True O94 0 36.453101579203796 0.1619876458944003 0.7839953962833414 0.059964195786088255 59444.84341593616 0.5241974945051641 None None 0.3526211595545484 0.10390151820562096 0.937 0.934 0.568 0.573
c-o-ztfg-ztfr  True F19 6 36.54808124814321 0.15117442827976674 0.796421297218473 0.05868839777001381 59444.810835458135 0.5099079128187013 None None 0.34789593020559784 0.09059039726946284 0.957 0.954 0.536 0.54
c-o-ztfr  True F19 6 36.75213708481079 0.15432998100606554 0.8139364941395535 0.057327362408485405 59444.814458155786 0.5372207661814731 None None 0.1708030237209378 0.11275537380486894 0.678 0.676 0.888 0.891
c-ztfg-ztfr  True F19 6 36.32086613641899 0.18042667452976072 0.8528425406751864 0.062351384252412656 59444.53956562559 0.5277738137468624 None None 0.5044148862742562 0.09132747810796198 0.675 0.673 0.812 0.814
J-c-o 1D3 True O94 0 36.28058429527404 0.11121121017221071 0.5462517164454629 0.04628612719700377 59443.7234116205 0.5760029005429288 None None 0.1280223370531273 0.11399420791329513 1.229 1.214 0.222 0.234
J-c-o 1D3 True F19 6 36.34244375267791 0.15269173840034364 0.7542363249863705 0.0837516015031367 59445.1363847738 0.4805541376912214 None None 0.497952083939266 0.08122862431981392 1.41 1.372 0.1 0.118
J-c-o 2D True O94 0 36.40972969205797 0.11204913073905844 0.6855250320982296 0.06748675629912597 59444.62147056677 0.5229761731872146 None None 0.26207459722132576 0.11759626666979435 0.813 0.801 0.707 0.722
J-c-o 2D True F19 6 36.51329399903593 0.13383303200982968 0.7703830208062792 0.07285148057347966 59444.78038477282 0.4536851640080335 None None 0.3661253995133249 0.07477966361550427 0.857 0.846 0.65 0.664
J-c-o-ztfg 1D3 True F19 6 36.374217436548605 0.1612980452934489 0.7819589947736987 0.07388369171285397 59445.112996514756 0.44648429714028653 None None 0.477258785364659 0.07279634144562787 1.371 1.342 0.095 0.11
J-c-o-ztfg 2D True F19 6 36.51768493943397 0.14376813776979852 0.782879968232263 0.06829705735931423 59444.804012420886 0.448457273674821 None None 0.3836303991494081 0.07074918036506615 0.99 0.984 0.479 0.488
J-c-o-ztfg-ztfr 1D3 True O94 0 36.26274787721016 0.14392678996873365 0.7735590320095046 0.05947750134272053 59445.159667960645 0.43319277090278246 None None 0.4572896617109964 0.08715271065585126 1.109 1.09 0.302 0.328
J-c-o-ztfg-ztfr 1D3 True F19 6 36.389761816391584 0.15009187332175242 0.8032035883378434 0.05951470659546576 59445.132119565475 0.4330118770678442 None None 0.4685557641667147 0.06933819670007002 1.134 1.117 0.269 0.291
J-c-o-ztfg-ztfr 2D True O94 0 36.48537602954494 0.1268057322419824 0.797695025453408 0.05422253190920012 59444.88292976301 0.43476046905434446 None None 0.3500515176284481 0.07858611471727364 0.858 0.852 0.707 0.716
J-c-o-ztfg-ztfr 2D True O94 1 36.47053097960768 0.12362217082638426 0.8010591951584292 0.05382425532960851 59444.88746011812 0.43256843847721504 None None 0.3266974463832708 0.07510630465952323 0.825 0.82 0.758 0.765
J-c-o-ztfg-ztfr 2D True O94 2 36.5021785510202 0.13130966031627417 0.8098183860739359 0.05328794341994485 59444.8650049162 0.43717157215737523 None None 0.35285458459729285 0.07337521684350891 0.824 0.82 0.759 0.766
J-c-o-ztfg-ztfr 2D True O94 3 36.45205140056453 0.12296168176950753 0.7993809250892847 0.05398997712202544 59444.885399074155 0.43230651369511114 None None 0.32567110586023257 0.07549570918866841 0.828 0.823 0.753 0.76
J-c-o-ztfg-ztfr 2D True O94 4 36.45700802633316 0.12261671584516015 0.8006221961872227 0.05382305429862725 59444.88715531682 0.43194052907240227 None None 0.3221282994128299 0.07489504540468617 0.82 0.816 0.764 0.771
J-c-o-ztfg-ztfr 2D True O94 5 36.46684864465972 0.12778456257545495 0.8069556275757478 0.05236969301980209 59444.87487907393 0.4323919227752488 None None 0.3255656841247235 0.07137270516183637 0.804 0.8 0.788 0.793
J-c-o-ztfg-ztfr 2D True F19 6 36.518504042748575 0.1344355323275847 0.7987770774303878 0.0567728423532627 59444.88590868516 0.4374252634571852 None None 0.3718389430255453 0.06883601661305629 0.927 0.923 0.593 0.598
J-c-o-ztfg-ztfr 2D True O94 6 36.483188181197065 0.14134511614464507 0.8019746424353965 0.06064782156672689 59444.85876387648 0.4573088479591564 None None 0.4034679716876085 0.07216600412957458 0.933 0.929 0.582 0.588
J-c-o-ztfg-ztfr 2D True O94 7 36.52453932765892 0.1261744734442795 0.7997783424031236 0.05620531864545263 59444.863462580186 0.4408841246594607 None None 0.3465899625900143 0.07219571190075293 0.894 0.887 0.648 0.66
J-c-o-ztfg-ztfr 2D True O94 8 36.61852369716623 0.13831979068448444 0.7909195273300297 0.058533119435269 59444.84106342572 0.45424752556194964 None None 0.4205162383601744 0.079094853259799 1.085 1.064 0.336 0.366
J-c-o-ztfg-ztfr 2D True O94 9 36.537327280512635 0.12720524915760023 0.7959970256851441 0.056141724093201756 59444.86444991325 0.44063158479467945 None None 0.35538477427321963 0.07369709608814225 0.915 0.906 0.613 0.628
J-c-o-ztfg-ztfr 2D True O94 10 36.61101889510109 0.14658794153658616 None None 59444.66706793393 0.5197137772191529 1.0929331899766666 0.07454258857007308 0.46592700666232795 0.07074973277924078 1.132 1.06 0.267 0.37
J-c-o-ztfg-ztfr 2D True O94 11 36.61711888305019 0.14485772017986911 None None 59444.66669630741 0.5147639099894412 1.0881469161699897 0.07258700084536568 0.4563064649617412 0.07004231435082403 1.108 1.038 0.299 0.406
J-c-o-ztfg-ztfr 2D True O94 12 36.63970429251894 0.14538198931593221 None None 59444.6619333543 0.5135029652165001 1.0806726543151508 0.07181953291022806 0.461444643147545 0.07002471149422859 1.093 1.025 0.321 0.427
J-c-o-ztfg-ztfr 2D True O94 13 36.55871999966031 0.1403049908499275 None None 59444.66649640633 0.5116054047060743 1.084304726253951 0.07321450645747068 0.4267345175202207 0.06929289035597964 1.075 1.008 0.347 0.455
J-c-o-ztfg-ztfr 2D True O94 14 36.59144738424561 0.14372862253100843 None None 59444.6668367937 0.5134841045010764 1.0835270386713083 0.07288718716072588 0.44977014608747456 0.07045127283706248 1.085 1.017 0.333 0.439
J-c-o-ztfg-ztfr 2D True O94 15 36.60103555488699 0.13795165552045666 None None 59444.6670578211 0.5076757057038637 1.0767003090803107 0.07046044336052018 0.41416032085310767 0.06865538334104804 1.063 0.999 0.366 0.471
J-c-o-ztfr 1D3 True F19 6 36.386365614153824 0.1398368017246681 0.7990313231702623 0.06340089024455361 59445.191629062836 0.443515426764229 None None 0.4676662584801946 0.07364383427326529 1.133 1.112 0.284 0.309
J-c-o-ztfr 2D True F19 6 36.54695502485689 0.12224693938677095 0.8072424214521541 0.05751468324693123 59444.86320361595 0.44797518284868676 None None 0.3326120616530987 0.07107017980186964 0.762 0.756 0.817 0.823
J-c-ztfg-ztfr 1D3 True F19 6 36.54682325056098 0.16043530719470026 1.0327741422387184 0.07438799361333047 59444.66666443166 0.45553245425746425 None None 0.5242399322655578 0.07646312814744295 0.701 0.695 0.814 0.82
J-c-ztfg-ztfr 2D True F19 6 36.487114314560365 0.1384640658398766 0.7894248167513427 0.06084696489029838 59444.96143746014 0.4379693110044887 None None 0.352534947661239 0.06797572294800439 0.952 0.942 0.511 0.523
J-o-ztfg-ztfr 1D3 True F19 6 36.40275552514374 0.15644856490890416 0.8268144761044423 0.05934133072712668 59445.28996765958 0.4313516190562286 None None 0.5138790000676945 0.06962491014917027 0.849 0.84 0.705 0.719
J-o-ztfg-ztfr 2D True F19 6 36.53432812348462 0.13793894731261666 0.8168428608642739 0.057705437262076394 59445.02648698875 0.438721916765758 None None 0.3974150554640113 0.06962217560862431 0.749 0.747 0.841 0.844
