bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.46865736368344 0.14191407939663153 1.043943567807634 0.06378682466599461 59454.43458990861 0.7657012589691875 None None 0.07596064483732001 0.08666064865444613 0.373 0.371 0.998 0.999
c-o  True F19 6 37.530544276639155 0.13240523959476333 1.0433520481648502 0.06366282524530156 59454.43826664396 0.7650816269825639 None None -0.004424289427603782 0.08392764426680173 0.373 0.371 0.998 0.999
J-c-o 1D3 True O94 0 37.67215880390389 0.10227064840000454 1.0486593360130232 0.049430645805706525 59454.41157958684 0.5638313541899259 None None -0.044609397430647936 0.0679970521190921 0.403 0.4 0.998 0.998
J-c-o 1D3 True O94 1 37.70382457024904 0.10359735298667694 1.0499171333542758 0.04909655044680151 59454.40465809189 0.559236934097111 None None -0.050663490496552735 0.0668274101867904 0.394 0.391 0.998 0.998
J-c-o 1D3 True O94 2 37.71639765570148 0.10373022651992513 1.06421105877126 0.05105518176804702 59454.322478235146 0.5802316631231919 None None -0.058550764284028514 0.06798092499175323 0.419 0.416 0.997 0.997
J-c-o 1D3 True O94 3 37.68518223202833 0.1071194423892912 1.0493745098984388 0.04959540286710292 59454.39284109878 0.5632083639339326 None None -0.05778529869316252 0.0670649884932745 0.391 0.389 0.998 0.998
J-c-o 1D3 True O94 4 37.69021840055088 0.1065833475888618 1.0499389491871247 0.049023634292455855 59454.40136599312 0.5585836137996112 None None -0.059507909081731765 0.06673472205714553 0.392 0.389 0.998 0.998
J-c-o 1D3 True O94 5 37.73136703988743 0.10711500640460614 1.064171887090407 0.050123005080873646 59454.31965040165 0.5711442485214121 None None -0.064387679409156 0.06677149464896942 0.404 0.4 0.998 0.998
J-c-o 1D3 True F19 6 37.653869876782196 0.18310090719842492 1.0646729698043238 0.04785755780653599 59454.318797824366 0.5560704017463299 None None -0.07771980428147036 0.06719151782532318 0.38 0.377 0.999 0.999
J-c-o 1D3 True F99 6 37.66869658909052 0.14103468913631212 1.0771092835970277 0.052237394282711895 59454.24564765355 0.6238741432311139 None None -0.07525622214224807 0.07245375456027026 0.399 0.394 0.998 0.998
J-c-o 1D3 True O94 6 37.660348379876055 0.3037164106449013 1.0671422751255324 0.05176964380029599 59454.304578424504 0.6052475344874848 None None -0.07984637318290547 0.07009108472040207 0.385 0.382 0.999 0.999
J-c-o 1D3 True O94 7 37.641160316844974 0.18595362669167337 1.0566592867314097 0.04763610992595029 59454.36644765347 0.5495199772850882 None None -0.07877266790091633 0.06765262598835149 0.37 0.367 0.999 0.999
J-c-o 1D3 True O94 8 37.613651352576525 0.36480451377230705 1.0605628126481639 0.047824643762968064 59454.33977152787 0.5560216093042137 None None -0.08555980430844727 0.07046710756831533 0.375 0.372 0.999 0.999
J-c-o 1D3 True O94 9 37.63558082046863 0.1829940691836759 1.0567068291608404 0.047570167581419305 59454.366203343365 0.5493822619326223 None None -0.07867107315370002 0.06799793966141092 0.369 0.367 0.999 0.999
J-c-o 1D3 True O94 10 37.68754855761356 0.09516656483677943 None None 59454.3036063345 0.548202692859376 0.9105531750815106 0.07604795369884335 -0.03301823777927369 0.06735937531396673 0.381 0.377 0.999 0.999
J-c-o 1D3 True O94 11 37.70142672540914 0.09489297189830606 None None 59454.29560629061 0.5476672038951012 0.9086804810807443 0.07631125521297669 -0.03760159060587637 0.066941563397787 0.381 0.377 0.999 0.999
J-c-o 1D3 True O94 12 37.70061010293254 0.09214588414475618 None None 59454.238223448476 0.5538400022620104 0.8960370726197135 0.08025801928576069 -0.03546468810200869 0.06658145802637776 0.386 0.382 0.999 0.999
J-c-o 1D3 True O94 13 37.6803676808685 0.09664037001749143 None None 59454.3961323516 0.53218587667765 0.932431653691835 0.07343424572376521 -0.04215750761491364 0.06607062113889688 0.364 0.36 0.999 0.999
J-c-o 1D3 True O94 14 37.675127058910476 0.09659343618316787 None None 59454.38608407559 0.5379452129517934 0.9293932140781607 0.07379882500804656 -0.04723179908861986 0.06682724110940702 0.37 0.367 0.999 0.999
J-c-o 1D3 True O94 15 37.706729741122345 0.09347331110000347 None None 59454.25531694082 0.5437170765216973 0.8998332712999316 0.07702081351653596 -0.044446166770293484 0.0654623338889873 0.377 0.373 0.999 0.999
