bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59460.19627877699 6.752874952568534 8.826486905310073 2.416149383179971 -2.6198353737811972 11.628171307917304 -0.23699453443130286 5.339919384878881 -1 -1 -1 -1
c-o  True F19 59455.06044110193 0.471793587859696 7.689977331324819 0.1253402565421717 0.3031522100936203 0.556668852077641 -0.020416469249095168 0.09101720801388231 0.448 0.424 0.996 0.998
c-o  True F99 59455.071754222095 0.45897212630678075 7.694514123847472 0.1227866810796508 0.2920414590072754 0.5457238954060692 -0.026043499842424787 0.08894892026258835 0.448 0.446 0.996 0.996
J 1D3 False F99 59453.19527850872 -1 8.955343960472845 -1 0.05867372578189156 -1 0.0006471341304324337 -1 None None None None
J-c 1D3 True F99 59453.46970899502 0.5231902923190226 7.2828446529232576 0.1374440671983055 -2.0475480025274626 0.6040997259878659 -0.2223683779755713 0.059966344666387145 0.932 0.912 0.444 0.456
J-c-o 1D3 True F19 59454.34826522127 0.36574642917942646 7.531123195333885 0.09102533449126782 -0.24722121232618413 0.49407803506312825 -0.130675518484129 0.05250518132952652 0.696 0.62 0.9 0.954
J-c-o 1D3 True F99 59454.35646964621 0.36637596844318004 7.7574330124787885 0.09130997862592222 -0.2331268703579116 0.4937582073546653 -0.06955951862674246 0.05281019590048501 1.341 1.157 0.094 0.248
J-c-o 1D3 True O94 59454.35632265383 0.3662967764665219 7.7573520535301075 0.09126963558692268 -0.2333667462297189 0.4936554285809485 -0.0696117432803804 0.0527739310015928 1.434 1.233 0.053 0.171
J-o 1D3 True F99 59453.80310411926 0.40458798519487527 7.509235071189706 0.13233326156735042 0.5460963780085563 0.6051872360422335 -0.16960068299543568 0.07616028060527559 0.446 0.445 0.994 0.994
o  True F99 59454.62278605505 0.5987673653750143 10.694220712744563 2.4734168906742737 0.06034900345877471 0.8378676130348743 1.2665223292391405 1.6145278958249363 0.364 0.363 0.998 0.998
