bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59452.95785047332 3.125254117516646 6.1876398523485 5.157385432422214 -1.8487574319350397 2.4502628661125874 0.143912223973654 6.379020935570035 -1 -1 -1 -1
c-o  True F19 59452.624500959915 0.28252378504542447 4.852243420199519 0.07100255618872904 -1.8614046880679336 0.17768028218488588 -0.11328204166941067 0.05462714667707105 5.149 0.934 0.0 0.516
c-o  True F99 59452.75653356637 0.12354489126375619 4.842444103832957 0.04769013413841948 -1.9605542704814616 0.0886418204092588 -0.13102016092208368 0.03880172464511305 4.812 3.82 0.0 0.0
J 1D3 False F99 59449.85454487436 6.844437966396999 5.7474523883706 21.01188719164726 -54.59152555353625 608.6899598239407 -0.02206286695614179 6.68821811876527 None None None None
J-c 1D3 True F99 59451.84688520592 0.4366064352270335 4.839365818216082 0.05481427637094488 -2.60264424055839 0.3286183072218954 -0.033858573716238544 0.031426848688562624 17.606 12.21 0.0 0.0
J-c-o 1D3 True F19 59452.621310066286 0.2721884033262868 4.887867879094021 0.05746406888316997 -1.8778188603562138 0.17684667750387942 -0.07995415219049362 0.040675350598627605 8.226 0.993 0.0 0.461
J-c-o 1D3 True F99 59452.627276900166 0.2724453214244335 5.0634142849161385 0.05754907041530841 -1.8792991341985346 0.17676613826262805 -0.03529828760385233 0.04072701459694647 21.074 2.734 0.0 0.0
J-c-o 1D3 True O94 59452.62725319994 0.27191110673339325 5.063406696693964 0.057479503391111554 -1.879305960839523 0.17643478774664043 -0.03532157504953311 0.04067027479256916 22.562 2.915 0.0 0.0
J-o 1D3 True F99 59452.41418578787 0.14576904060424267 5.071889346677232 0.09050825923215447 -1.9160052941203944 0.10275106231972651 0.01894745418035959 0.05056314189661111 7.125 5.856 0.0 0.0
o  True F99 59452.543510068936 0.15801370160149908 3.5024210309681947 1.3582363757421831 -1.5576068073522604 0.18777033880997612 -1.7824770447610254 0.9703402312126362 5.245 4.282 0.0 0.0
