bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59471.779125926376 -1 8.92966161339768 4.735429618784707 0.0 -1 0.0 7.99492292787738 None None None None
c-o  True F19 59466.66293782645 0.7474265712736338 8.30393857275675 0.16221379945457626 -1.4705861068213075 1.1981835698132475 0.10501854667755954 0.13217562378529377 2.697 2.509 0.0 0.001
c-o  True F99 59466.672654776135 0.7108970451187603 8.007671622183162 0.15757744147752756 -1.6070930521477018 1.1627614796651677 0.027575238044226562 0.12955441377110932 1.703 1.695 0.039 0.04
J 1D3 False F99 59464.57250028416 40.10332944120567 8.702470539778005 84.68204725734276 0.0 377.35916396370135 0.0 27.04752339059922 None None None None
J 2D True F99 59461.07065667578 1.6915465585502123 -8.984770984292025 22.264092259146572 -6.334068131540535 9.773686038481607 -6.238251119516723 8.52465994324507 -1 -1 -1 -1
J-c 1D3 False F99 59459.684226572805 -1.0 9.238459013177337 -1.0 82.35969096667624 109.64134517868295 -0.13225842393926623 -1.0 None None None None
J-c 2D True F99 59466.939347038504 1.1843677927638903 7.861595811316787 0.1745714849446723 -9.503845491633111 5.199370482796811 0.061901073958201255 0.08299221416381528 1.367 1.208 0.255 0.299
J-c-o 1D3 True F99 59466.136267696165 0.802437062623419 7.777733425878247 0.11211634563222309 -1.2454842723461168 1.3166511988465783 -0.21124514208112782 0.08424718860513868 2.041 1.927 0.007 0.012
J-c-o 2D True F99 59466.560904927144 0.6155369710771774 8.035830049854447 0.11896234666397609 -1.747597336710469 1.0974245804942697 0.06461152113686328 0.07372886797811148 1.474 1.464 0.079 0.082
J-o 1D3 True F99 59466.47831512269 0.7745936293538102 7.09303237803918 0.3424044757184177 -1.2542664635758207 1.2320805312357284 -0.6119997540695741 0.22360214650940355 1.694 1.613 0.045 0.062
J-o 2D True F99 59466.38858923514 0.6721051667944935 8.14988097390432 0.21716649571676538 -1.667677632455785 1.1435647663875317 0.11646024646623526 0.11523144728063513 1.503 1.494 0.078 0.081
o  True F99 59466.70573277889 0.7539155635876716 11.336051179535314 2.906475117175659 -1.658425866004689 1.171839756330206 1.4562336633914248 1.774228331651653 1.749 1.74 0.04 0.041
