bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59475.16072164512 2.5818142415314167 8.356525527228937 -1 0.0051644578313128145 56.35329011706291 0.0006793619700906659 5.968008469174735 None None None None
c-o  True F19 59478.25562312261 1.3357609033467568 7.3216650788205815 0.45774617649395727 3.8451653502661873 2.5495664686397403 -0.0256084772717543 0.27982223448942367 0.824 0.74 0.48 0.528
c-o  True F99 59478.24846134432 1.2310433854740286 7.347839136307179 0.42568787713188716 3.92265757236285 2.403743178338737 -0.023741050762701374 0.2603892525865154 0.82 0.812 0.482 0.487
J 1D3 False F99 59473.13888190211 7.039597184933463 50.38443718617921 151.83798508435441 -6.253277219826673 37.757234226882815 14.497486379257268 50.7510926847101 None None None None
J-c 1D3 True F99 59473.71766135675 0.588170303733072 7.575739853444031 0.5324392170215734 -0.8216275212181396 3.0599131957900543 0.261372455894752 0.16994624943165443 1.069 1.061 0.301 0.303
J-c-o 1D3 True F19 59473.987881969704 0.7443812847372872 7.66415440417523 0.20316022839423445 -0.7528132905558994 1.2659803579103115 0.28823478494704524 0.0836887108279139 1.581 1.375 0.136 0.211
J-c-o 1D3 True F99 59473.98088317258 0.7466155284609611 8.146316265873224 0.20354792440840302 -0.7432459554770572 1.2680410508989233 0.419812880043657 0.08397124589023533 3.957 2.994 0.0 0.004
J-c-o 1D3 True O94 59473.979661601166 0.745033779207446 8.14644510886535 0.20336485142283334 -0.7457648720846753 1.2659221572474477 0.41991284018685016 0.0838435130426394 4.343 3.216 0.0 0.002
J-o 1D3 True F99 59473.918753347505 0.526169930466328 7.8558452397313685 0.23806828132186397 -1.1539500709401527 1.0433187268489659 0.3620487891132249 0.09453407030781835 1.528 1.52 0.164 0.167
o  True F99 59477.86505578304 1.2206817408547244 4.445299216865116 6.1575904519047535 4.738121460009451 3.0737001614494495 -3.0006005406572793 4.951195264370337 0.947 0.935 0.388 0.393
