bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 0 37.731686783565436 0.08095677859203639 1.0 0.03 59486.25017260236 0.34 None None 0 0.06 None None None None
c-o  False F19 6 None None None None None None None None None None None None None None
c-o-ztfg  True F19 6 38.14552351055005 0.20660818181190066 1.189164138737621 0.13653690911735825 59475.07681541485 0.6906988621574178 None None 0.12725992012345824 0.08768031503736741 0.97 0.968 0.506 0.509
c-o-ztfg-ztfr  True O94 0 37.839212162093304 0.1277200903334886 0.8713668150078812 0.08567898059502431 59475.14567294125 0.5242280659477478 None None 0.1164353526006286 0.09974567636317841 0.94 0.938 0.57 0.574
c-o-ztfg-ztfr  True F19 6 37.867852953301345 0.12095038144748992 0.8696245322003033 0.08263455144734375 59475.13910485168 0.5120624306275763 None None 0.07023030473224581 0.08540776050598764 0.941 0.939 0.568 0.571
c-o-ztfr  True F19 6 38.06675035799251 0.2862201880422355 0.9981692658171449 0.14652796326606765 59474.93618415066 1.1297021995224312 None None 0.022100109211970552 0.2915656958766971 1.527 1.515 0.037 0.04
c-ztfg-ztfr  True F19 6 37.88833940844585 0.11272469525587138 0.8691737233780711 0.06999198587888034 59475.10442563166 0.4582260475371089 None None 0.061208488469299376 0.07933411894498767 0.562 0.56 0.896 0.898
J-c-o 1D3 True O94 0 37.19719179899567 0.1459297236294777 0.6752010187201759 0.1217820005793738 59474.53599362515 0.8581792074590916 None None 0.3172350026196246 0.20193556902164983 1.474 1.466 0.07 0.073
J-c-o 1D3 True F19 6 37.23169669298606 0.18097280851790604 0.683321722640214 0.1366876570166157 59474.52993907582 0.961385557203441 None None 0.42686948266490937 0.111218055412871 1.467 1.46 0.069 0.072
J-c-o-ztfg 1D3 True F19 6 37.498839231453076 0.13412114454854418 0.8335877157365393 0.09746766374891341 59474.95969992698 0.5719754772565455 None None 0.23584086717179953 0.08331428408674664 1.331 1.324 0.106 0.11
J-c-o-ztfg-ztfr 1D3 True O94 0 37.519165481472896 0.1346517238593299 0.8825026783039152 0.09862426940135323 59474.93704584207 0.568768175096406 None None 0.29493350861515283 0.09767626310115018 1.481 1.47 0.027 0.029
J-c-o-ztfg-ztfr 1D3 True O94 1 37.486825120530064 0.1370689272163236 0.9012530799665213 0.10044929788586471 59474.93792914077 0.5760064029767197 None None 0.2996414328605949 0.09052455605192745 1.419 1.41 0.043 0.046
J-c-o-ztfg-ztfr 1D3 True O94 2 37.568131983011256 0.15557482250749502 0.9607205401035751 0.11506272689148811 59474.93727576241 0.6622304201274283 None None 0.3499319666802183 0.08484632953578168 1.54 1.53 0.017 0.018
J-c-o-ztfg-ztfr 1D3 True O94 3 37.50361026419173 0.13029934900912973 0.8711741971867292 0.09527761355677426 59474.94218807358 0.5561780893927234 None None 0.25172396238932365 0.09521181962639369 1.328 1.32 0.082 0.087
J-c-o-ztfg-ztfr 1D3 True O94 4 37.47677489346257 0.13463268671185666 0.8947760724028303 0.0991366153484333 59474.93758032168 0.5703431363623314 None None 0.28412488998446533 0.0913630027887924 1.421 1.411 0.042 0.046
J-c-o-ztfg-ztfr 1D3 True O94 5 37.51984049766666 0.141654724159167 0.9192071694538894 0.10383883909847065 59474.934431314905 0.5942617341047601 None None 0.28886714483849496 0.08629525623040699 1.421 1.411 0.043 0.046
J-c-o-ztfg-ztfr 1D3 True F19 6 37.63652001658901 0.12942408540817468 0.8926656740893141 0.10045468777164837 59474.93772602901 0.5774018760156595 None None 0.2242275604257175 0.08479075838567862 1.453 1.442 0.033 0.036
J-c-o-ztfg-ztfr 1D3 True F99 6 37.656482375095706 0.1278754737907675 0.8459164932167853 0.09946631065370633 59474.958293129064 0.5806899346355896 None None 0.17630951250543428 0.08959353587540479 1.53 1.518 0.018 0.02
J-c-o-ztfg-ztfr 1D3 True O94 6 37.59894610263003 0.1283912863798127 0.8546883479103831 0.09620033323764883 59474.95523158193 0.5616816664155367 None None 0.2130522608469243 0.08661040637727363 1.357 1.348 0.068 0.072
J-c-o-ztfg-ztfr 1D3 True O94 7 37.55295705959371 0.12037251317889042 0.8289023588838537 0.08848316629671117 59474.95987641951 0.534646642751704 None None 0.20623865698886532 0.08562116141657415 1.344 1.335 0.074 0.079
J-c-o-ztfg-ztfr 1D3 True O94 8 37.65632815028995 0.1179182782980831 0.8211108596296001 0.09069348084488632 59474.964565165654 0.5483735036306845 None None 0.20053629431912695 0.08983112272986475 1.526 1.514 0.02 0.022
J-c-o-ztfg-ztfr 1D3 True O94 9 37.56394062319431 0.11884819738654248 0.8081879497999765 0.08637908298207791 59474.97539490457 0.5323951140599484 None None 0.19634145602186476 0.08677431339680132 1.417 1.406 0.046 0.049
J-c-o-ztfg-ztfr 1D3 True O94 10 37.582036969792526 0.1436406360507434 None None 59474.841644708686 0.6643604226582541 1.0676459730787684 0.09721766632715274 0.35929735170774113 0.07490640956864845 1.358 1.319 0.067 0.088
J-c-o-ztfg-ztfr 1D3 True O94 11 37.56502753830922 0.14302844419949554 None None 59474.896492486 0.6551251872896009 1.1186814840952444 0.09391062227443615 0.3488450987837399 0.07430378671517912 1.356 1.311 0.068 0.092
J-c-o-ztfg-ztfr 1D3 True O94 12 37.58523158715269 0.1406646030020394 None None 59474.882369038096 0.6629288180167984 1.0821991393257888 0.1059942454874888 0.3570411324903463 0.07530008508961682 1.315 1.272 0.09 0.119
J-c-o-ztfg-ztfr 1D3 True O94 13 37.53111688476122 0.1406597461951933 None None 59474.86449712843 0.6679726296752756 1.0768269168566695 0.10200114085924952 0.32201368608471387 0.07481960126324995 1.346 1.303 0.073 0.097
J-c-o-ztfg-ztfr 1D3 True O94 14 37.581890933018734 0.13919114409470046 None None 59474.87328880467 0.3400018898013849 1.088542010026966 0.09049655773067378 0.3196426914732011 0.07439382967261601 1.348 1.301 0.072 0.098
J-c-o-ztfg-ztfr 1D3 True O94 15 37.546325454683995 0.1381432480249214 None None 59474.9086655763 0.6485369632397674 1.1228443315796903 0.09344547237793766 0.3124906030705917 0.07307987097147543 1.298 1.257 0.101 0.13
J-c-o-ztfr 1D3 True F19 6 37.36659142006571 0.15997134178659936 0.8342894072115566 0.1363955070672524 59474.95624844989 0.680730387455647 None None 0.4199903958514381 0.10113788429922743 1.146 1.143 0.263 0.267
