bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.69867290942306 0.2742154728963843 0.6804527594027361 0.07703527580442833 59471.77293802906 0.6869455205140335 None None 0.2121578273875126 0.13016121736250866 1.004 0.996 0.46 0.473
c-o  True F19 6 36.80604096197486 0.23291548025007938 0.680416695164362 0.07703640112524751 59471.77336048128 0.6869614623748114 None None 0.22777319388085648 0.14083129369837066 1.004 0.996 0.46 0.473
c-o-ztfg  True F19 6 36.92288691912543 0.1247312846180765 0.7424985986590691 0.044934320930201485 59472.61669278737 0.43680932495225633 None None 0.10422341037447154 0.07491612524108003 0.991 0.985 0.488 0.498
c-o-ztfg-ztfr  True O94 0 37.00817226439267 0.10776384246173085 0.7803616580765977 0.04258659349825015 59472.37594445347 0.44011568899637304 None None 0.0852257275836194 0.07486505821476754 1.049 1.042 0.378 0.392
c-o-ztfg-ztfr  True F19 6 37.0316326538713 0.10318075900251676 0.7749587593861037 0.04217321041103228 59472.36999432387 0.43034672703468113 None None 0.07561868709953157 0.07047045345671295 1.037 1.03 0.401 0.415
c-o-ztfr  True F19 6 36.77090312556134 0.17418966410212686 0.7142333671091359 0.0544237019943557 59472.02066005216 0.5317106804871015 None None 0.24463483412881298 0.12321414946744327 1.11 1.096 0.292 0.311
c-ztfg-ztfr  True F19 6 37.1637518631368 0.10690103068022443 0.8034065087212211 0.04962328500519132 59471.671988768954 0.5273406431194542 None None 0.03686799962336151 0.07522046863840008 1.344 1.33 0.166 0.174
J-c-o 1D3 True O94 0 37.32496479486081 0.17502185546102858 0.7928969701996623 0.07282825725436265 59471.67827512173 0.7443030899629032 None None -0.026071156646061088 0.11345438667263058 1.634 1.619 0.009 0.01
J-c-o 1D3 True F19 6 37.29734454966501 0.16123003065133296 0.7672271935012861 0.07485838637505456 59471.68660937768 0.7016939845828417 None None -0.039456390858822854 0.10794829685766322 1.61 1.594 0.011 0.012
J-c-o 2D True O94 0 36.9128454062342 0.1956622598694497 0.7271654252829981 0.06384367911365217 59471.983279012326 0.62588282403632 None None 0.13728643110096983 0.11169598943319599 0.968 0.962 0.524 0.534
J-c-o 2D True F19 6 36.937997131552635 0.17407468381718266 0.7092333265327995 0.06490815160793437 59471.913300393026 0.6072543846560667 None None 0.15303379331935704 0.11064430030794954 0.949 0.943 0.557 0.567
J-c-o-ztfg 1D3 True F19 6 37.26222350985767 0.12403092111140082 0.7598258079911289 0.05013918668719729 59472.0952270772 0.4775988186168112 None None -0.05338087238205733 0.07315780993299989 1.366 1.352 0.05 0.056
J-c-o-ztfg 2D True F19 6 37.02866675840738 0.11602890544203605 0.7395803761593751 0.04412524315811794 59472.383506658334 0.43204149734488095 None None 0.05565862877991835 0.07227380862990482 0.894 0.889 0.676 0.685
J-c-o-ztfg-ztfr 1D3 True O94 0 37.204285071459125 0.10471388523403181 0.7852813241831614 0.04601040702965112 59471.872553932284 0.47362565127427775 None None -0.004016248774709007 0.07685633361490524 1.378 1.36 0.034 0.04
J-c-o-ztfg-ztfr 1D3 True F19 6 37.20286261083716 0.101849607932339 0.7726959878923113 0.04574093278837409 59471.899157182685 0.45874012147414056 None None -0.018752197519435777 0.07053221927529961 1.363 1.345 0.039 0.046
J-c-o-ztfg-ztfr 2D True O94 0 37.073630343311876 0.10275449274752216 0.7768671187792127 0.040861089748853455 59472.26566088673 0.4283968682614945 None None 0.051777710058916716 0.07272752649937425 0.986 0.979 0.504 0.519
J-c-o-ztfg-ztfr 2D True O94 1 37.08383823749561 0.105839422288208 0.7763803765293821 0.04085926251524724 59472.26080580095 0.4282508021439387 None None 0.04622881181271385 0.07228187320185255 0.983 0.976 0.509 0.524
