bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59470.30411046612 6.935336193754667 8.667895247344099 3.0750064418562495 -2.4017178944816435 8.650259311924644 -0.36327128331761316 6.179454715155854 -1 -1 -1 -1
c-o  True F19 59471.51127716931 0.3960719209701296 7.91453062022428 0.12310402399493368 -2.6898139619160437 0.5406625502068232 0.17723364506242034 0.09438237475527173 1.551 1.329 0.021 0.095
c-o  True F99 59471.48794832155 0.3497969591000479 8.829578757809431 0.11710592190169075 -2.809640556594541 0.5031556303875667 0.11865537262180509 0.08884351563285676 1.231 1.22 0.166 0.177
c-o-ztfg  True F19 59472.32725856557 0.28673909480754983 7.673527380592677 0.04325466453432843 -1.9354810997671108 0.40259335259512435 -0.016155580791627204 0.046992176218602764 2.03 1.707 0.0 0.002
c-o-ztfg  True F99 59472.28534163006 0.270710763509132 8.603078220617707 0.04210559954614921 -1.973279247929977 0.3842815946589243 -0.06294044204657132 0.044966695380506114 1.241 1.223 0.131 0.147
c-o-ztfg-ztfr  True F19 59472.315722738094 0.2537723187696809 7.503034115262867 0.043004818262461095 -2.0629896435246726 0.36211364551204234 -0.018841281264088863 0.03799271669219998 1.177 1.014 0.179 0.446
c-o-ztfg-ztfr  True F99 59472.27722106437 0.23620580337479413 7.5037834038494395 0.041835261964324265 -2.112008084497714 0.3417858128051434 -0.02464067023943835 0.03646622892599057 1.175 1.148 0.181 0.217
c-o-ztfr  True F19 59471.78905115271 0.3316566007854142 7.883532253251163 0.11836589248351155 -2.5724806558983957 0.46276608537552694 0.18583585419547632 0.08928663217376885 1.848 1.42 0.001 0.036
c-o-ztfr  True F99 59471.78893493189 0.2910858888448384 8.79336576225754 0.1116690082160933 -2.6646840859192844 0.427918608732576 0.12559842220539247 0.08393440841850837 1.174 1.145 0.202 0.237
c-ztfg  True F99 59472.549899089805 0.3621923885996678 8.562602720842467 0.05352308135922875 -1.0926815338266358 0.49474794632409275 -0.3954662593833043 0.20542548552886955 0.659 0.652 0.728 0.734
