bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 34.892956103463696 0.32624757911838803 1.3943549485479787 0.27028067673841094 59495.33633123028 5.515973047126847 None None 0.5690010950031454 0.27070066346102245 108.099 91.59 0.0 0.0
c-o  True F19 6 34.841831000872205 0.3193072527038492 0.8458815115538008 0.1445659371626704 59504.72111957093 1.0205179444708306 None None 0.6472737713601712 0.27990605194494145 35.387 31.317 0.0 0.0
c-o  True F99 6 34.69935377118725 0.1220799619750968 0.8670584346958244 0.03552899063714816 59484.6726699572 0.39772179340379543 None None 0.01931191105334557 0.11340796788382401 4.806 3.804 0.0 0.0
J-asg-c-o 2D True F19 6 34.715708023024085 0.08862523792257075 0.8936907396166558 0.03932250095268233 59485.20460373129 0.43705211882797323 None None 0.08578654181420192 0.0679834001298726 10.788 8.207 0.0 0.0
J-c-o 1D3 True O94 0 34.58002782279345 0.09416040924130309 0.8631483935875038 0.03499052422689721 59484.62717690899 0.39399612213589763 None None 0.10400854853528405 0.07244522109858796 7.672 3.899 0.0 0.0
J-c-o 1D3 True F19 6 34.60705475872598 0.09016346800853028 0.8628059136569127 0.034945259383639904 59484.63825555806 0.3931708662308897 None None 0.05446288944096444 0.07079928185959587 7.538 3.748 0.0 0.0
J-c-o 2D True O94 0 34.58917018522287 0.09380847196032088 0.8613977452168777 0.03500068345237185 59484.64294402603 0.39291849410427276 None None 0.0938433199830233 0.07257330491507419 7.488 3.755 0.0 0.0
J-c-o 2D True O94 1 34.60137545603878 0.09438834162366516 0.8616428368114836 0.03495606703244605 59484.64172215255 0.3927962867563892 None None 0.08143380399884471 0.07013721114378962 7.506 3.737 0.0 0.0
J-c-o 2D True O94 2 34.6195276512399 0.09343680549181087 0.8619914545297171 0.03487865236693593 59484.640336267716 0.3924936560040072 None None 0.06870540468992851 0.07133145956174085 7.505 3.703 0.0 0.0
J-c-o 2D True O94 3 34.576208146303486 0.09416013708886935 0.8615494967082522 0.034972718603217295 59484.64213028385 0.3928424080182506 None None 0.07985993086829091 0.07062099934489498 7.502 3.744 0.0 0.0
J-c-o 2D True O94 4 34.58490691574842 0.09401099224015909 0.8616546456716982 0.03494932110717219 59484.64168853331 0.3926751404437986 None None 0.07231436682214518 0.07034845913314379 7.503 3.728 0.0 0.0
J-c-o 2D True O94 5 34.61496804356516 0.09408995445569694 0.8619720571204812 0.03486424922011064 59484.63996472025 0.3924939680512372 None None 0.059379209046261615 0.06946930667133797 7.513 3.702 0.0 0.0
J-c-o 2D True F19 6 34.61460748570084 0.09008476420253893 0.8626729981852352 0.034925897120131354 59484.63891216087 0.3929652263819832 None None 0.04521727015536641 0.07094225637603965 7.513 3.728 0.0 0.0
J-c-o 2D True F99 6 34.61770278982457 0.09576031278726181 0.860311904285388 0.03518868475899465 59484.65052937628 0.39338961210540135 None None 0.06004671990494874 0.09008286015004999 7.282 3.846 0.0 0.0
J-c-o 2D True O94 6 34.61022996905039 0.09161345771630494 0.8626229809871092 0.034962828649569795 59484.63843745046 0.3930589101680442 None None 0.05033184983025761 0.07392428424420767 7.494 3.737 0.0 0.0
J-c-o 2D True O94 7 34.59428477308853 0.09179578394238823 0.8612081416523713 0.0350291761599969 59484.643957586566 0.39295623566726573 None None 0.053067361537966436 0.07417808373942314 7.469 3.765 0.0 0.0
J-c-o 2D True O94 8 34.606102656535064 0.08952239904603439 0.8601434919107912 0.03518514936181225 59484.649442162685 0.3937817882096804 None None 0.08629020472618919 0.08524468658705892 7.405 3.867 0.0 0.0
J-c-o 2D True O94 9 34.59501746700726 0.0914177522770614 0.860969826068376 0.03505881786059267 59484.645041563475 0.3930298223511681 None None 0.05841363750385549 0.07579712187861919 7.458 3.779 0.0 0.0
J-c-o 2D True O94 10 34.6626086900085 0.10328132975043096 None None 59484.238517468315 0.5040809075511871 1.070978478949916 0.0630375317593462 0.18727921687171312 0.0701840462682927 17.339 3.516 0.0 0.0
J-c-o 2D True O94 11 34.67646640752218 0.10321207186240043 None None 59484.22978161538 0.5040034392898941 1.0706356329037414 0.0630195467986515 0.1767410903120053 0.0697316602801682 17.376 3.524 0.0 0.0
J-c-o 2D True O94 12 34.70118783586278 0.1031957384623362 None None 59484.21580024357 0.5034597282245903 1.0701780982839897 0.06298560950810672 0.1734430102782425 0.06978806512284362 17.411 3.53 0.0 0.0
J-c-o 2D True O94 13 34.63845704162926 0.10310498024707833 None None 59484.21866688919 0.5040260834458598 1.0703313871760443 0.06300299938894897 0.15445072175944274 0.06879517014450436 17.4 3.529 0.0 0.0
J-c-o 2D True O94 14 34.6495917590432 0.10261248913766936 None None 59484.216460205665 0.5035376753385895 1.0702121560039666 0.06298943661901045 0.1594578664558014 0.07024155657746871 17.411 3.529 0.0 0.0
J-c-o 2D True O94 15 34.69153299529082 0.10324198174984588 None None 59484.19563273539 0.5038884969614071 1.0693903834912923 0.06296055586516713 0.13919902973149997 0.06833922428540966 17.518 3.564 0.0 0.0
J-c-o dehvils True O94 0 34.4525419896072 0.09935267582674571 0.8672525507114458 0.03623647000157014 59484.743387600414 0.40484249039109227 None None 0.2337283531115266 0.07280647747605377 15.689 4.739 0.0 0.0
J-c-o dehvils True F19 6 34.51021983664033 0.09447215815175984 0.8695118043611529 0.03608758073390236 59484.73444029631 0.40458542406405246 None None 0.18269865905346802 0.07089851579412605 15.284 4.651 0.0 0.0
