bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 0.6038531653346296 0.10776065436205204 16.252129741620358 0.052352991594491576 16.082845421676673 0.24053727720042148 59498.665375788376 0.8599140122789989 170.932 82.128 0.0 0.0
c-o  True F99 None None 1.143236269597851 0.11977740485724458 16.38073532928708 0.08324818994286202 16.67690322441294 0.2760551141008968 59497.70546297606 0.3400001171165691 97.285 72.149 0.0 0.0
c-o  True O94 None None 0.6038850999073261 0.10776293792927807 16.252296426531085 0.052350300305697546 16.083862064926677 0.24055105678944333 59498.6654071966 0.8599310228908489 170.935 82.149 0.0 0.0
J-c-o 1D3 True F19 16.029470643598575 0.054693905241767524 0.8616096868318791 0.03516010589078838 15.665872060166476 0.02565992224641624 15.585421920694397 0.08246731339622619 59484.63596550068 0.3937159188741991 7.819 3.797 0.0 0.0
J-c-o 1D3 True O94 16.029899067665266 0.054699671652984526 0.861712252399743 0.035162872120481255 15.666181319077742 0.025662339631993415 15.586358296150879 0.08249406353299195 59484.63460869617 0.3937894303204399 7.825 3.799 0.0 0.0
J-c-o 2D True F19 16.03792491650556 0.05494120696427808 0.8614813551696299 0.035155961277858 15.665642328747664 0.025655690706594722 15.58519563664868 0.08241741033577929 59484.63672480398 0.39369460054988437 7.792 3.791 0.0 0.0
J-c-o 2D True F99 16.042749465602576 0.05493801946049376 0.8613593018753538 0.03515432630377148 15.674143554358354 0.025654042344989133 15.590039767348664 0.08239960186514005 59484.63828246064 0.3936269624255278 7.791 3.79 0.0 0.0
J-c-o 2D True O94 16.038353664309493 0.054947154294753886 0.8615836357749789 0.035158754096315734 15.665951713319723 0.025658127078208276 15.586131587539779 0.08244441440665858 59484.63537017275 0.39376818706827726 7.798 3.794 0.0 0.0
J-c-o dehvils True F19 15.92315051745302 0.05338834962632453 0.8680077166323529 0.035873771451490094 15.6736099644322 0.026177001152754144 15.60145440620695 0.08780464303902757 59484.726703361695 0.39995637465863587 14.523 4.29 0.0 0.0
J-c-o dehvils True O94 15.923568890966946 0.05339259472445286 0.8681259443798712 0.03587630817795018 15.673919311440345 0.026179392679409032 15.602417348753566 0.0878283072366125 59484.72517956919 0.4000409476416416 14.515 4.292 0.0 0.0
