bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59518.188524447716 3.7946417986645793 9.09615633407367 6.953249662614187 72.34122543597687 328.08158898388507 -1.7032212884549547 8.278210562810052 None None None None
c-o  True F19 59483.67732463788 0.2618496145343911 4.878644745071525 0.2729755601093921 -2.754797178531186 0.22604774611155717 -0.7441562491495642 0.18435851800822142 4.704 2.053 0.0 0.0
c-o  True F99 59483.67746914002 0.26182397384458306 4.8798254774678895 0.2729368291688392 -2.754003937581383 0.22601156694673472 -0.7499938268072954 0.1843385927985824 4.703 2.053 0.0 0.0
J 1D3 False F99 59480.09276884196 0.6246364242081281 14.140463521481182 6.586064500481071 23.38768981353681 25.057774466877245 2.562024273908265 2.3044867304387986 None None None None
J dehvils True F99 59481.32124512372 0.8686568726890341 23.039599562507455 31.211536455695462 -6.598831876264532 9.61578447236465 5.238107071017822 10.555872259779392 0.672 0.612 0.511 0.542
J-c 1D3 True F99 59481.863716955515 0.5255271547165262 4.899694211055892 0.40666514048350033 -3.637048095880817 0.5513841855965691 -0.3069369516205286 0.14785281439266523 4.424 2.986 0.0 0.006
J-c dehvils True F99 59480.87015901615 0.7960450489832146 5.2853630807876755 0.46041372672893915 -3.1490771506891955 0.779302729077481 -0.11469798909354331 0.16788152240450088 8.185 2.8 0.0 0.01
J-c-o 1D3 True F19 59483.679170086 0.25487962469915865 6.212545733113997 0.11345688522523258 -2.4787127826939166 0.2045072928994837 0.06419135857688953 0.06732078806974942 8.612 2.95 0.0 0.0
J-c-o 1D3 True F99 59483.6790218729 0.2552564088674371 6.21231178308793 0.11363038739970287 -2.4779402227477982 0.20475881153947906 0.06408115420388083 0.06741591854006611 8.091 2.859 0.0 0.0
J-c-o 2D True F19 59483.67729299974 0.25527998860889295 6.0031050089265365 0.12210016579331819 -2.4798796480312 0.20481025037357659 0.003971899738236738 0.07342037694290085 5.63 2.432 0.0 0.0
J-c-o 2D True F99 59483.678802501905 0.25523145355146293 6.202258386485002 0.12243793369092708 -2.477947188678211 0.20478343053656575 0.05757139554800016 0.07357707847088521 7.925 2.922 0.0 0.0
J-c-o 2D True O94 59483.6789632275 0.25486321056457717 6.202458277232315 0.12228810405151817 -2.4787564989367024 0.20453990785953444 0.05765945964024728 0.07349595282326724 8.418 3.008 0.0 0.0
J-c-o dehvils True F19 59483.728135106576 0.2542152651866661 6.121605009290954 0.11228730758446971 -2.4733459337298145 0.20348262349923535 0.07986269623723179 0.06609240647113558 6.151 2.411 0.0 0.0
J-c-o dehvils True F99 59483.7297933152 0.2541754106789388 6.321430090778381 0.11256037845611415 -2.4716126738484254 0.20346891684700227 0.1338193118026712 0.06620981516023859 8.675 2.899 0.0 0.0
J-o 1D3 True F99 59483.46600905372 0.17138707820543744 6.0897895508432835 0.09124901047407258 -2.9209606103899706 0.17038838833738357 0.050997113937400654 0.05258755243049966 5.208 4.568 0.0 0.0
J-o dehvils True F99 59483.64841918584 0.1732287295896206 6.248781726287195 0.08899395953576794 -2.9875000828531637 0.1721080572554398 0.1490767438343691 0.05029238141241983 4.981 4.336 0.0 0.0
o  True F99 59483.79500741635 0.18444362674788295 5.666363760625158 0.6166500940441108 -2.7684248139500136 0.20070011005845534 -0.9657201276125444 0.4231874802850004 4.686 4.2 0.0 0.0
