bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59581.934179690266 3.5420780114266077 37.94099914606973 36.57974242186126 -3.09600401217576 0.7324435658716737 24.041865415413657 27.813151506891526 None None None None
c-o  True F19 59583.577470459146 1.495614172653497 7.8376219308906805 0.1439833718851938 -1.6654298011141655 0.7607307301975897 0.06192053232665154 0.09899749896527006 0.965 0.885 0.501 0.603
c-o  True F99 59583.52137710261 1.4744008791089085 7.832455061562143 0.14101814665576495 -1.679194264747291 0.7399707418188296 0.05657434174370429 0.09617637835494726 0.964 0.957 0.501 0.51
J 1D3 False F99 59590.43172778642 149.79568784589105 23.779689557705026 0.34161459297057484 227158.81173011032 25125423.26777786 1.9645007041379523 43.42138337656666 None None None None
J-c 1D3 True F99 59579.11458567473 2.1932623969749288 7.744333565287301 0.1648608235125745 -1.2461462873865403 1.207014368674429 0.28555539335183133 0.10444905727956838 0.272 0.272 0.929 0.929
J-c-o 1D3 True F99 59583.660983396054 1.1534269293419883 7.87149058639641 0.09884381137551418 -1.7256625402715977 0.7067662020166265 0.08912203033780633 0.0693786445944771 0.859 0.851 0.662 0.672
J-c-o 2D True F19 59583.514425484755 1.4759483664685322 7.847431385662894 0.12609036979893967 -1.662800718594947 0.7548361254688781 0.07337760620360363 0.08578578933183834 0.847 0.768 0.679 0.781
J-c-o 2D True F99 59583.525098768005 1.4647653355951737 7.902918039549828 0.1259320138999626 -1.665322031327572 0.7539739336075569 0.08713583836315285 0.08585278702837348 0.892 0.808 0.615 0.731
J-c-o 2D True O94 59583.52503988261 1.46466971393251 7.902915684950058 0.12592538229863937 -1.665382292758948 0.7539342108351107 0.08713477999283645 0.08584521763304474 0.897 0.813 0.607 0.725
J-o 1D3 True F99 59583.730526712185 1.4397488270456975 7.997314483452929 0.22265735270840686 -1.7658711759304746 0.8299766698941222 0.16824920422342843 0.15078835784460465 0.971 0.964 0.495 0.503
o  True F99 59583.5701371871 1.464806987404305 6.404949982025407 3.5597566888148613 -1.4647207655226957 1.1390301860364083 -1.7831606116682008 2.765933803528374 1.147 1.141 0.306 0.312
