bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.04244364401634 0.1272921624715522 1.010820720240621 0.05072559162744334 59588.269016691345 0.6018868033520677 None None 0.22371209242643222 0.07582879018964321 0.395 0.393 0.995 0.995
c-o  True F19 6 37.08733273310988 0.12082649934452692 1.010813370673614 0.05072183374026657 59588.26947531384 0.6018079684069223 None None 0.18170519867842352 0.07589340946165743 0.395 0.393 0.995 0.995
J-c-o 1D3 True O94 0 36.93690473438767 0.1075063131256802 0.9882227812073858 0.047965622320028 59588.658541271914 0.520494202018286 None None 0.26633068737428117 0.06830007951538587 0.522 0.513 0.976 0.979
J-c-o 1D3 True O94 1 36.92679774999194 0.10636280587665897 0.9903002800312226 0.04765759558070201 59588.60268623475 0.5196706995445265 None None 0.25003962412409214 0.06711579439253083 0.502 0.493 0.982 0.984
J-c-o 1D3 True O94 2 36.96707241554373 0.10532843601294144 0.9906341414333978 0.04690908282519435 59588.58283017095 0.5123493981893628 None None 0.2546607657116708 0.06785584275868227 0.49 0.481 0.985 0.986
J-c-o 1D3 True O94 3 36.9074176336435 0.10664747026796996 0.9890715501501101 0.047686356878794744 59588.62420933139 0.5202145544189217 None None 0.24883780259075 0.06746255446480266 0.509 0.501 0.98 0.982
J-c-o 1D3 True O94 4 36.91164448589527 0.1061096375936512 0.9901348983519136 0.04747603959536212 59588.60042100832 0.5183260910706636 None None 0.2456723744814033 0.06725796369402295 0.5 0.491 0.982 0.984
J-c-o 1D3 True O94 5 36.946659202896235 0.10452672024790684 0.9922656569385001 0.04680082594229266 59588.54699518556 0.5135692909550535 None None 0.23922288100163597 0.06703701578921985 0.481 0.473 0.986 0.988
J-c-o 1D3 True F19 6 36.97883097948888 0.09984299655524077 0.9825165867732645 0.0456930552211298 59588.66208405557 0.5125440168965419 None None 0.2240646925106228 0.06946489360863019 0.518 0.509 0.977 0.98
J-c-o 1D3 True F99 6 36.98424326878105 0.10396302711069504 0.9606903246634145 0.04768403801934512 59589.12326247044 0.5228800251419986 None None 0.20677255422743812 0.07536598372826021 0.705 0.69 0.858 0.873
J-c-o 1D3 True O94 6 36.961861139864496 0.10219207897712694 0.978555054902221 0.04639711775095934 59588.73989023427 0.518670048722131 None None 0.232452679097423 0.07130495569255559 0.544 0.535 0.968 0.972
J-c-o 1D3 True O94 7 36.93268684119968 0.1023114046020665 0.976579129153133 0.04634111942024458 59588.773168249245 0.5179514945892029 None None 0.2307358049569244 0.07109678391940547 0.565 0.555 0.96 0.964
J-c-o 1D3 True O94 8 37.00873380951899 0.10293747484790923 0.9660112729509613 0.047116934306587734 59589.00276923237 0.5217331927909961 None None 0.24664498312530903 0.07612262874431454 0.657 0.645 0.901 0.911
J-c-o 1D3 True O94 9 36.94572198680402 0.10225859023146729 0.9742997351654489 0.04617228992598507 59588.836011955216 0.5153402754935431 None None 0.23458049914870968 0.0716840705107062 0.569 0.559 0.958 0.962
J-c-o 1D3 True O94 10 36.944849544129866 0.107053852905171 None None 59588.595755464994 0.5413380119131312 1.0402344109514243 0.06382115655006557 0.28047294256982336 0.06894236428677904 0.622 0.584 0.928 0.95
J-c-o 1D3 True O94 11 36.951434579201404 0.10669155859541835 None None 59588.56337035164 0.5393524592198748 1.0384318659286706 0.06383305065930946 0.27468389678595606 0.0685615349742619 0.611 0.575 0.934 0.955
J-c-o 1D3 True O94 12 36.9693923636455 0.10668850473210784 None None 59588.543282010156 0.5363509009402329 1.0376831712627903 0.06374058894272698 0.276501045156102 0.06845670223653073 0.604 0.568 0.939 0.958
J-c-o 1D3 True O94 13 36.90403089577016 0.10583610849242484 None None 59588.51934379074 0.5376886296488018 1.0362624110155902 0.06384154540436204 0.2572924222951787 0.06790277384180367 0.598 0.563 0.942 0.96
J-c-o 1D3 True O94 14 36.92686221921734 0.10556633731277477 None None 59588.546708861155 0.5362722851182344 1.037431093525815 0.06380034327130835 0.2647690617520348 0.06873745299098978 0.605 0.569 0.938 0.957
J-c-o 1D3 True O94 15 36.934903459163664 0.1056500077331365 None None 59588.44207230638 0.5339036944239907 1.032251549858499 0.0638563348174703 0.25284672873605873 0.06739905490536875 0.583 0.55 0.951 0.966
