bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59591.568811560544 3.009513393867628 7.991944665960043 0.23229541860880382 2.206884705341477 3.0223108942584043 -2.0525724510380714 2.675255187644496 0.086 0.086 0.769 0.769
c-o  True F19 59588.100539846724 0.6943045683770493 7.738569697265104 0.09917803064151656 0.3487723527644888 0.5895611204350607 0.16713134787616643 0.07948514289059302 0.431 0.401 0.985 0.99
c-o  True F99 59588.105703037014 0.6568169525614322 7.739882803486502 0.09604130337500295 0.34745646145607545 0.5713858910030509 0.1655055812674923 0.07681633969540097 0.431 0.428 0.985 0.985
J 1D3 False F99 59591.41276618748 8.38202782014594 6.576537771435269 61.74841845941778 -25.58417890237577 16.065369220907243 -0.3874501529994928 21.175665223094025 None None None None
J-c 1D3 True F99 59590.823000087665 1.0140478699705548 7.603951592498751 0.10839421049899861 -1.2482038413906318 1.0973515753617713 0.07914109479122473 0.06240730983702042 1.34 1.318 0.252 0.26
J-c-o 1D3 True F19 59588.27944953577 0.5974422231591747 7.78000696477114 0.07756634610217172 0.30896586619883115 0.5725170827304984 0.20569836210381226 0.05197023510239956 0.67 0.506 0.873 0.973
J-c-o 1D3 True F99 59588.290506934296 0.5956367469955329 7.863278387086945 0.07765919485131376 0.3054877366225181 0.5718953913783777 0.22748471977799678 0.052004164793582344 0.838 0.64 0.681 0.898
J-c-o 1D3 True O94 59588.290548548335 0.5955213727388695 7.8632806448047115 0.07764546600064931 0.30549679779475525 0.5718510414085732 0.2274837751280534 0.05198999791630209 0.858 0.656 0.653 0.886
J-o 1D3 True F99 59588.02351831309 0.7552777279944487 7.862007970935119 0.15535640290772404 0.5271497781323304 0.642122138008091 0.24245061220793748 0.08822371690347583 0.755 0.749 0.756 0.762
o  True F99 59588.177673811486 0.7468548389167565 9.74847537677731 2.395702545107389 0.24063275964273304 0.9065520198146616 0.7566967202110857 1.5292176772307904 0.49 0.487 0.947 0.949
