bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59578.82448355836 10.7681282424022 8.48800136819925 6.796336716134984 -1.435126522482968 7.66329032885434 0.061450704003711276 9.595185086741983 -1 -1 -1 -1
c-o  True F19 59575.19110907303 0.8536142692201005 7.1796503603592745 0.14719765403925517 -0.23137534550291994 0.4374978134076486 0.008983920044530726 0.09578379915716691 0.486 0.443 0.949 0.967
c-o  True F99 59575.20283709853 0.7958210666031778 7.181501361237849 0.13816175203805026 -0.20251022529149887 0.41080261125636247 0.004481857345870002 0.08994892920833569 0.486 0.483 0.949 0.951
J 1D3 False F99 59593.09460216828 0.8984499337776144 772.7165321042742 0.0014502422731507581 -3.129564924310825 -1 254.36158515113658 0.04437132718346039 None None None None
J 2D False F99 59586.712988241234 5.842331177023654 44.863821542727706 80.06222094374387 765.4706247172983 14882.318772497914 12.2560953209315 48.77816257274165 None None None None
J-c 1D3 True F99 59584.6236030503 2.23941740516043 7.826395335573671 0.09689804312951135 -1.024627629431384 1.1729396424007574 0.1854417081920383 0.09514140634186209 5.166 5.137 0.001 0.001
J-c 2D True F99 59573.9198511296 3.601038724088108 6.631053992535445 0.7246443266652024 -1.6662619690584302 2.3392034759149327 -0.395038581222321 0.6184119131581987 0.312 0.311 0.817 0.817
J-c-o 1D3 True F99 59575.27592295509 0.8716371043770093 7.358604035133871 0.144935657238295 -0.3453628147479919 0.3836205889118172 0.16186300465465756 0.0902446170697301 1.2 1.114 0.25 0.33
J-c-o 2D True F19 59575.177079283894 0.8425048612245999 7.167332421949579 0.14436878161032454 -0.218865302138537 0.43897509218084485 -0.0020842764983305686 0.09324625326312072 0.462 0.425 0.974 0.983
J-c-o 2D True F99 59575.19141318139 0.7871667296682716 7.170895958179614 0.13584225296286775 -0.1929917763818418 0.4121610876317594 -0.004997543087032803 0.0878682684515567 0.461 0.459 0.974 0.975
J-o 1D3 True F99 59575.13496869843 0.717795314670508 8.278428134405114 0.1957925159324539 -0.5561857993778487 0.38507027896938917 0.7408344037830636 0.10912866262684051 0.347 0.344 0.988 0.988
J-o 2D True F99 59575.15824582963 0.7852189981195711 7.1563758339148755 0.7587319089190864 -0.1258849166119833 0.5120581320264587 -0.017275680248699306 0.523374888343813 0.561 0.558 0.886 0.888
o  True F99 59575.009279838996 0.7984647234151014 11.755622211567403 1.6859249644758196 -1.3622135757336054 0.5600093405448043 2.212317547114722 0.9870002023074904 0.327 0.324 0.985 0.985
