bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.40817930108286 0.12135031950357217 1.0032862793066937 0.06394923728501667 59653.488304251776 0.45837855021166773 None None 0.07190317679486632 0.08316918937287439 0.692 0.689 0.927 0.93
c-o  True F19 6 37.421347562837795 0.11653428053610237 1.003282781008877 0.06394679555840439 59653.488652814696 0.45836477914988366 None None 0.02895407449908495 0.08467158723084495 0.692 0.689 0.927 0.93
c-o-ztfg  True F19 6 37.466324646890804 0.10757550746134002 1.0402505883251998 0.06637166852648145 59652.796364642585 0.48058031504521725 None None 0.026795495204005218 0.07951644146426513 0.703 0.7 0.924 0.927
c-o-ztfg-ztfr  True O94 0 37.39335356263889 0.11627502885931738 1.0431760481997598 0.07340970868306365 59652.93402975819 0.5061886290735331 None None 0.10518063910206932 0.07902330667222082 0.684 0.681 0.945 0.948
c-o-ztfg-ztfr  True F19 6 37.447097042807016 0.10503702351161175 1.0410096819795298 0.06407351945479249 59652.870333577346 0.4709381499051416 None None 0.032624987483586 0.07734755243686822 0.673 0.67 0.952 0.954
c-o-ztfr  True F19 6 37.397977568960165 0.10565621637729514 1.006833426857046 0.05606350136583319 59653.51139725162 0.42784418224656645 None None 0.04220828166159879 0.07751018881707943 0.665 0.663 0.953 0.955
c-ztfg-ztfr  True F19 6 37.22861191830913 0.18193793661453803 1.0449437287563252 0.11715206253616252 59652.376543405044 0.578228407382448 None None 0.1432027015395549 0.10183928153323157 0.559 0.557 0.936 0.937
J-c-o 1D3 True O94 0 37.55012136173846 0.10042659112406056 0.9982096452855918 0.06640398520639033 59653.61884784565 0.34000188516996765 None None -0.0050444493751342495 0.07128354308955381 0.775 0.77 0.848 0.855
J-c-o 1D3 True F19 6 37.55389920215644 0.09068674280345343 1.024987987411349 0.06203093761208821 59653.54061040147 0.4548415748600538 None None -0.027565529178071948 0.07506215404380354 0.768 0.764 0.854 0.859
J-c-o 2D True O94 0 37.42116617425306 0.10049409804068202 1.006876372359596 0.06331822611836528 59653.431174946636 0.4539695226809896 None None 0.06548979842742031 0.0707551564736062 0.672 0.669 0.947 0.949
J-c-o 2D True F19 6 37.42802422616083 0.09053272427574945 1.0082664359211673 0.05659896613524768 59653.44685478017 0.42965233267247255 None None 0.02497075690450478 0.07308470679110225 0.67 0.667 0.948 0.949
J-c-o-ztfg 1D3 True F19 6 37.55793087883889 0.09047569633392502 1.0775522749335857 0.07218744472550684 59652.64453296786 0.509520728767495 None None 0.011472782819981885 0.07648761804380107 0.734 0.73 0.901 0.906
J-c-o-ztfg 2D True F19 6 37.43474217938115 0.09083850779146098 1.040460090294349 0.06302698873387871 59652.83122031533 0.4659889323169367 None None 0.04617414231216214 0.0750932386347703 0.679 0.676 0.946 0.948
