bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59604.115828224276 0.13615582573136525 4.911626719274214 0.20544117685273958 -0.38851929553570147 0.15749846979561888 0.8943353617855391 0.21184684676772988 8.646 3.284 0.0 0.011
c-o  True F19 59603.87694780808 0.1405406566717685 3.149591116328318 0.05497945701594912 0.07601422657974752 0.09495527349428558 0.1391086600346265 0.041380916790567296 152.318 2.922 0.0 0.0
c-o  True F99 59603.95283041485 0.03743163401574355 4.30109519522605 0.03816393093135763 0.015103125939008435 0.03211739308413719 0.23368572502372725 0.03132374364346229 161.659 13.113 0.0 0.0
c-o-ztfg  True F19 59603.88612840242 0.14029884794741 3.1889764747061116 0.0432679804579849 0.048551148401638676 0.09278667652819332 0.16809144889105282 0.03277001144840398 123.699 2.811 0.0 0.0
c-o-ztfg  True F99 59603.955591175356 0.0370977841946245 4.28072001116919 0.026987679997076897 0.023337460671574408 0.03015311800758579 0.2186520715841223 0.024352580824779042 123.068 11.198 0.0 0.0
c-o-ztfg-ztfr  True F19 59603.88460297682 0.1397576046202402 3.0982005028906583 0.04173440784495208 0.04347726335914832 0.08961101451116019 0.1438632719422977 0.031035561122973378 46.168 1.705 0.0 0.011
c-o-ztfg-ztfr  True F99 59603.953908286014 0.03718037994983036 3.1714041024451225 0.02650037985122855 0.0266218325042824 0.03030947219640539 0.2032855965377236 0.022881017218645164 75.5 10.473 0.0 0.0
c-o-ztfr  True F19 59603.87492401294 0.13982263017270666 3.14634690227638 0.053926250529990415 0.06970235337666975 0.09170386804070371 0.13572588749074554 0.04013601636955561 140.674 2.725 0.0 0.0
c-o-ztfr  True F99 59603.951191019776 0.03752198046947177 4.290948195523575 0.03787633950693532 0.018704870163082296 0.03229769299874465 0.21766931874719977 0.03026814464724867 97.466 12.031 0.0 0.0
c-ztfg  True F99 59604.453068781186 0.08995407921479745 4.41571663286836 0.04531381479881803 0.06284401189140038 0.08644552088709012 0.35451488861351144 0.05503838985836675 13.757 3.299 0.0 0.001
c-ztfg-ztfr  True F19 59604.28270568367 0.33279120710875204 3.2583047139484904 0.06057940231045301 0.06299391119601269 0.19343113441396606 0.21863574625800403 0.05252611900859185 99.956 2.982 0.0 0.001
c-ztfg-ztfr  True F99 59604.50705559504 0.09104326181444727 4.309028576169002 0.032819968966295236 0.15529045867226546 0.08755269135525298 0.19911639172914042 0.03507473573687109 16.343 4.313 0.0 0.0
c-ztfr  True F99 59604.59358786332 0.10978159890366183 4.23854315064885 0.0552679145205387 0.286598296320536 0.12234461751648006 0.11894749690129822 0.06174371457617942 17.411 6.039 0.0 0.0
J 1D3 False F99 59604.21187359172 2.95961105347343 5.48080582569432 145.89596717006228 66.41257109935638 806.9132708301711 0.394231066773872 51.13457111117678 None None None None
J 2D False F99 59604.267941989136 3.8112842692142883 2.539314202346277 170.49646291989342 91.6549283360499 1678.8399463728902 -0.6774737221868902 60.86617166815511 None None None None
J-c 1D3 True F99 59603.50872794584 0.04137595136037439 3.1272449680232084 0.03272586241448724 -0.27022502650813573 0.07356826510662928 0.23518559018617172 0.02554296550304638 4684.741 28.47 0.0 0.0
J-c 2D True F99 59603.53384310746 0.04164952556235433 3.126756199319161 0.03268269004765129 -0.2571377332941157 0.07359976145633795 0.23183109377386235 0.025543099693699264 2934.083 27.801 0.0 0.0
J-c-o 1D3 True F99 59603.675517262134 0.030116433436496413 3.164520970211158 0.02996622376176279 0.014733179644091026 0.030124383609361226 0.20971528650627283 0.022317557389359154 337.02 17.466 0.0 0.0
J-c-o 2D True F99 59603.68675598056 0.03002293602379221 3.163260438209033 0.029897609911465384 0.015967718295820728 0.030122807315849348 0.2080129871788324 0.02223514256970948 326.144 17.103 0.0 0.0
J-c-o-ztfg 1D3 True F99 59603.67558549401 0.02968295646581881 3.1502732469198493 0.022855398894218802 0.019608808554125567 0.029213713569193882 0.20097271547964476 0.018706023508680416 265.218 15.187 0.0 0.0
J-c-o-ztfg 2D True F99 59603.687238554674 0.02962980043404035 3.149732806308367 0.022823992450089533 0.020544639217107627 0.029219893560572027 0.19966874230178555 0.018659066700421542 255.735 14.865 0.0 0.0
