bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.30621148133436 0.08912405445474963 0.8923793093520846 0.03513061958150062 59755.153463236595 0.3690455619160588 None None 0.009142579702977674 0.06493717844462432 4.179 3.615 0.0 0.0
c-o  True F19 6 35.30857781964114 0.08697349073471723 0.8923795129981462 0.03513009373087601 59755.153687265076 0.36904091661277505 None None -0.036242861599451975 0.0649697019922996 4.179 3.615 0.0 0.0
c-o-ztfg  True F19 6 35.31968041819578 0.0817502514891979 0.8816107867148322 0.03361337847618367 59755.30801325927 0.3578306016706806 None None -0.06745269734289584 0.0625100594002521 4.154 3.634 0.0 0.0
c-o-ztfg-ztfr  True O94 0 35.3280786464171 0.08298722494517881 0.884428718103981 0.03442832718147329 59755.338264653175 0.36310286567453126 None None -0.01822077837956667 0.06319011788649971 4.167 3.655 0.0 0.0
c-o-ztfg-ztfr  True F19 6 35.312512271941294 0.08192475644870562 0.88066486788619 0.033658541398671665 59755.333519973625 0.35763690920341557 None None -0.0646271991837991 0.06253906519051525 4.205 3.688 0.0 0.0
c-o-ztfr  True F19 6 35.30851353177885 0.0859986725127205 0.8932772652512647 0.0344508756211007 59755.19943498274 0.36441850680551074 None None -0.03691241602495209 0.06431071934644228 4.164 3.613 0.0 0.0
c-ztfg-ztfr  True F19 6 35.382259372721904 0.11846500473567124 0.8699246104540971 0.03763529294314069 59755.36287170057 0.3821235012343998 None None -0.10981578124415373 0.08028263030742627 3.904 3.544 0.0 0.0
J-c-o 1D3 False O94 0 None None None None None None None None None None None None None None
J-c-o 1D3 True F19 6 35.27837942730458 0.08621972473504656 0.8933674260755713 0.034791784980334084 59755.042040942746 0.36528479426255334 None None -0.014326412016728662 0.06388851755722381 4.57 3.925 0.0 0.0
J-c-o 2D True F19 6 35.28107931104265 0.08658160284889375 0.8934019489775794 0.03488984383042405 59755.05303693133 0.3665327213966415 None None -0.01647277884188769 0.06422556332875716 4.583 3.977 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 35.297646849804785 0.0819333100115427 0.8863239495482482 0.034103885511089754 59755.1959475027 0.3599221267159295 None None -0.04861151316637031 0.06256721577886738 4.742 4.13 0.0 0.0
J-c-o-ztfg 2D True F19 6 35.301018729272656 0.0821422887520155 0.8862386791461419 0.03414318147733657 59755.21057670355 0.360388194624493 None None -0.05079584423978312 0.06269454482017361 4.696 4.137 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 35.301160255990844 0.08287012551150806 0.8915463352923899 0.03421581814679243 59755.23381523197 0.3603402178778912 None None 0.0061308438720255225 0.06275401816366556 4.861 4.252 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 35.31739864527842 0.08380814441265526 0.8897544215602697 0.034205074238906216 59755.22252728775 0.3602787095986223 None None -0.001125566894434729 0.06260553876465234 4.871 4.256 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 35.303906353844106 0.08274889787922148 0.8922106646330891 0.034062066088374414 59755.23746882383 0.35959516393347024 None None 0.009263187639519038 0.06267446265653677 4.707 4.114 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 35.29314817577353 0.08372593390438335 0.88955197156693 0.03421865414215422 59755.22340420344 0.36033049845094167 None None -0.006593713277889062 0.06263182880919875 4.883 4.266 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 35.292765575522246 0.08426067579469214 0.8885808885145592 0.03416247367980734 59755.21960299229 0.3600603834986672 None None -0.009355997027579487 0.06258715789927437 4.831 4.219 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 35.30839322727805 0.0836167654435715 0.891538516567882 0.03405299909059866 59755.22981705396 0.3595898627730275 None None -0.0006939478492947801 0.06253651613148135 4.711 4.115 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 35.29429035120431 0.08204432551739098 0.8865552879755496 0.03409624554785146 59755.2185522566 0.35942453936356616 None None -0.04701212991458216 0.06255425176165356 4.717 4.115 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 6 35.291182854185195 0.0816266274503837 0.8861886885409458 0.03450305588895713 59755.23697585937 0.36147292154640753 None None -0.04783935415150763 0.06240386959066534 4.594 4.011 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 35.29702316013545 0.08280685969806816 0.886545735425942 0.03459435215946504 59755.22435548534 0.361865648130001 None None -0.04858599406913021 0.06294481556589943 4.695 4.097 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 35.287002598205085 0.08240538984579254 0.8862378816751701 0.034186454911318574 59755.232391793805 0.35981613192173395 None None -0.05356775191291124 0.06264699753985037 4.799 4.193 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 35.26981056759965 0.08079210772478025 0.8870134629950717 0.0342054505981733 59755.238395092325 0.35995210649246556 None None -0.05854358110989866 0.06296206559993758 4.814 4.208 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 35.284131774824225 0.08215358648428042 0.8856542391209097 0.03419909215747435 59755.23517556545 0.35981472794255953 None None -0.05423562924378278 0.06270199231697744 4.804 4.198 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 35.3646107351351 0.08523202176509877 None None 59754.63966384893 0.37142424296327003 1.0656308703897714 0.06291581832986401 0.06243647464336234 0.06260971913515558 5.919 3.061 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 35.375343006878055 0.08522362115674292 None None 59754.63635840057 0.37137040838349233 1.0658644120485306 0.0629089932047852 0.05715234186224891 0.06255433138398857 5.912 3.05 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 35.391272116432226 0.08491528370485275 None None 59754.63370461063 0.3712623041132063 1.065710362252817 0.06288532732875843 0.05937421235831541 0.0625191996828723 5.868 3.026 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 35.34029453187546 0.08585850690596103 None None 59754.62997047534 0.37160246551059406 1.0666235161838376 0.062931644484014 0.040208160500295576 0.062458016259158936 5.958 3.062 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 35.33772137733584 0.08479215044820873 None None 59754.63196349902 0.3711584573120033 1.0659365557299127 0.062885241949287 0.04197309049037866 0.06253383815761085 5.866 3.023 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 35.37904346289821 0.08553876239925777 None None 59754.62722985354 0.3713645083705382 1.0666664803130563 0.06288972458257283 0.038974611955834994 0.06234415245302284 5.891 3.02 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 35.29771389897119 0.08225851552993815 0.8863726644633333 0.03414011802393503 59755.234719639775 0.35990203172382684 None None -0.0492960166680028 0.0626843597297891 4.681 4.129 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 35.2752732428673 0.08655379034254027 0.8938407434874182 0.0348873149766461 59755.08116211495 0.36505060598013256 None None -0.013316782726968597 0.06398825635202328 4.647 4.008 0.0 0.0
J-c-o-ztfr 2D True F19 6 35.27779009117554 0.08686245902182188 0.8939098026874052 0.034989490110540374 59755.094440681685 0.3663223212044472 None None -0.015386593906120427 0.06433689896196808 4.667 4.066 0.0 0.0
J-c-ztfg-ztfr 1D3 True F19 6 35.187310835977435 0.09597171388611628 0.8772289052363124 0.037448719782214854 59755.09454521677 0.3846376302718196 None None -0.001025956084707992 0.06839018436686795 4.386 3.866 0.0 0.0
J-c-ztfg-ztfr 2D True F19 6 35.18091311831079 0.10094834579805943 0.8775564962041758 0.037893225924383614 59755.08781127326 0.38758908925969204 None None 0.0028696120223390405 0.07108209486997435 4.502 4.004 0.0 0.0
J-o-ztfg-ztfr 1D3 True F19 6 35.343074355689545 0.08289411305452216 0.9275990391685476 0.03592623227155184 59755.153193446335 0.3624579656004896 None None -0.05349195049454172 0.06287699278562324 3.829 3.368 0.0 0.0
J-o-ztfg-ztfr 2D True F19 6 35.34616775669954 0.08310872901497515 0.9269900805536837 0.03602648105420178 59755.167244058786 0.36309076499167353 None None -0.05657132693655365 0.06300883066654764 3.782 3.374 0.0 0.0
J-o-ztfr 1D3 True O94 0 35.05884963481283 0.13033149490976054 0.9157801365451083 0.03920165711865972 59755.319414334306 0.3847082559489978 None None 0.24616868147760984 0.09790590950955323 3.926 3.511 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 35.154389563187095 0.07933413051370472 0.9320489021477557 0.032408661916918775 59755.023168308275 0.3467047743540058 None None 0.08274250307924928 0.06068089413499691 0.344 0.294 0.981 0.991
J-ztfg-ztfr 1D3 True F19 6 35.181022960183114 0.07586572600980913 0.931988080936574 0.032296798590016704 59755.018418274114 0.34642945318605683 None None 0.02260988607178721 0.060647687267013535 0.349 0.299 0.98 0.99
J-ztfg-ztfr 2D True F19 6 35.15179133657399 0.0771176355972184 0.9365634260876518 0.032579603725745296 59754.975845213114 0.34724336479907336 None None 0.04089221801749045 0.06085635020534652 0.334 0.31 0.983 0.988
o-ztfg-ztfr  True F19 6 35.3732977979669 0.08205339568498807 0.9240224965541718 0.03486647030807056 59755.254944638786 0.3586043814111177 None None -0.07683880835115348 0.06250743863961844 3.008 2.682 0.0 0.0
ztfg-ztfr  True O94 0 35.16956657927394 0.07915975664846558 0.9306614692271887 0.0316013314204553 59755.04008310556 0.34517045257772416 None None 0.0752921017533638 0.06145619935456362 0.17 0.162 0.997 0.997
ztfg-ztfr  True F19 6 35.200139574515255 0.07558166521666516 0.9306738524535448 0.03144493919894761 59755.04010087651 0.34465677898733754 None None 0.01250685440790326 0.06135165763574841 0.17 0.162 0.997 0.997
