bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.24116655176799 0.12386376088572447 1.2563560516941268 0.06333739324085859 59753.797272533644 1.0522281006216356 None None -0.16213665144768177 0.08369294095569883 0.504 0.502 0.998 0.998
c-o  True F19 6 38.255492370369694 0.1147162921826767 1.2579526019917568 0.06344707076445703 59753.782139418756 1.0564828283706384 None None -0.12508697600331992 0.07796919833689059 0.504 0.502 0.998 0.998
c-o-ztfg  True F19 6 38.00975034299615 0.11158425831309195 1.1787983902765302 0.07053073262054282 59754.22743433157 0.47120141549436473 None None 0.009692175090450707 0.06630300742977097 0.584 0.581 0.995 0.995
c-o-ztfg-ztfr  True O94 0 37.84591400120631 0.10091009064166204 1.0574319110867876 0.051609830737638016 59754.28487903573 0.5043161916836622 None None 0.07091625891573615 0.06502109960199219 0.51 0.508 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.870403666367615 0.09373756858270695 1.0528925825991027 0.04787458777176025 59754.3096933766 0.47862488311413665 None None 0.017205504838268475 0.06384232671198342 0.52 0.518 1.0 1.0
c-o-ztfr  True F19 6 38.112381486481915 0.10669086550101609 1.0923001629936246 0.05801884855417017 59754.2672606671 0.5785043662890125 None None -0.14070322508176486 0.07001809641301078 0.445 0.443 1.0 1.0
c-ztfg-ztfr  True F19 6 37.804819557402595 0.09262559578797747 1.0014710969116187 0.04475608042618653 59754.35619799193 0.4812710183353439 None None 0.019563892804438987 0.06511076935295572 0.52 0.517 0.993 0.993
J-c-o 1D3 True O94 0 38.41314238119237 0.2906066283438591 1.9999436311527838 0.1357571199072541 59745.06538123906 6.6148051667384715 None None -1.2017392928591135 0.4178482571928689 4.724 4.611 0.0 0.0
J-c-o 1D3 True F19 6 37.12946487411884 0.168281989758466 1.011799003113194 0.08785531001880345 59753.078327480966 1.1333249368246376 None None 0.47810984855365707 0.08983613718015604 2.613 2.586 0.0 0.0
J-c-o 2D True F19 6 38.253328975053556 0.10536936781590771 1.237842745144821 0.05601303669828493 59754.10069097653 0.8830812386953509 None None -0.13811825435826136 0.07298095373395791 0.51 0.508 0.997 0.998
J-c-o-ztfg 1D3 True F19 6 37.41342577395978 0.1533146828882403 1.040715891933996 0.0883214360315653 59753.73949299881 0.8682154526273912 None None 0.2558296317738783 0.07638543150040857 2.758 2.722 0.0 0.0
J-c-o-ztfg 2D True F19 6 38.057833051538346 0.09841032028929857 1.202022224694795 0.04865714152028281 59754.22864966664 0.5635867166314669 None None -0.0033316142857640393 0.06641791374316418 0.621 0.617 0.99 0.991
J-c-o-ztfg-ztfr 1D3 False O94 0 None None None None None None None None None None None None None None
J-c-o-ztfg-ztfr 1D3 True F19 6 37.54546176454378 0.12835186470877288 1.0349848317264463 0.0704429733563318 59753.78162533219 0.7333285525289004 None None 0.192710956848423 0.0733388086475407 2.407 2.378 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 37.872372158988824 0.0923549672443872 1.0327077450917126 0.045114776323935964 59754.4576263708 0.4672685177758269 None None 0.004340851359684719 0.06381808748647654 0.544 0.542 1.0 1.0
J-c-o-ztfr 1D3 True F19 6 37.19099940637503 0.1547003988909293 1.0285680078478354 0.06934946368121217 59753.42378488051 0.8374387735127345 None None 0.47349348312680545 0.08652101823502276 2.072 2.047 0.0 0.0
J-c-o-ztfr 2D True F19 6 38.09366782373779 0.10459133627667695 1.0755642701042143 0.05279233405111295 59754.44382857342 0.5444970118172192 None None -0.1390548271729358 0.0692249045643485 0.453 0.451 1.0 1.0
