bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59756.94090676907 0.6204288726333542 35.926972520133106 0.13516927148514946 0.8384823731148209 0.05454016700721223 0.0322541575361232 0.08580656699018585 1.191 1.169 0.27 0.288
c-o  True F19 6 59756.94505280959 0.6204831034511844 35.94309753536626 0.12364459970311902 0.8385970092132002 0.05456090909331422 -0.004854411068766071 0.08591579340274036 1.192 1.171 0.269 0.286
c-o-ztfg  True F19 6 59755.66561609834 0.4730731810092109 35.715341461877486 0.11968387615707392 0.7308515424505563 0.05659944916611744 0.10521796099673804 0.07350917662253784 2.045 2.0 0.002 0.003
c-o-ztfg-ztfr  True O94 0 59755.7775667499 0.4408410034795558 35.58167487408485 0.12204307810202128 0.7947639089492236 0.04826249156924701 0.20034657975792197 0.07390507575661595 2.489 2.436 0.0 0.0
c-o-ztfg-ztfr  True F19 6 59755.785816660675 0.4390658699965118 35.657763528088765 0.1149754166809179 0.8121572718240327 0.04782401244263685 0.17984708284757675 0.07201278502038948 2.511 2.462 0.0 0.0
c-o-ztfr  True F19 6 59756.21971987566 0.4611850669298585 35.84741316512639 0.11613591071275299 0.8848200572523114 0.04369300953392211 0.07194230573583252 0.08579386618251404 1.776 1.734 0.006 0.008
c-ztfg-ztfr  True F19 6 59755.70039141534 0.3910486660489042 35.44325127268325 0.12249735151257683 0.8125701678103799 0.03990048894655683 0.29097088635749585 0.06752345127122945 1.167 1.148 0.263 0.282
J-c-o 1D3 True F19 6 59753.262482473874 3.709083825922128 33.26476859493555 0.5028393615447143 0.27043690500032935 0.17821212829373548 2.2442419163902696 0.2809035018054362 333.998 172.195 0.0 0.0
J-c-o 2D True F19 6 59756.97188545767 0.6730000821230679 35.60414285738875 0.13049290245272357 0.7139291048458065 0.0643806985441546 0.1476017833680395 0.08800102572327016 3.283 3.093 0.0 0.0
J-c-o-ztfg 1D3 False F19 6 None None None None None None None None None None None None
J-c-o-ztfg 2D True F19 6 59755.752019187385 0.48707397322518003 35.54521301580622 0.11739648117192862 0.6771453114334784 0.054074727495049706 0.16487238795344425 0.07160939887661195 2.794 2.626 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 59752.498678097196 0.34000017745592587 33.3561503237588 0.40299212422214137 0.23581322412080769 0.04551812542359185 1.496321697315636 0.18894877211770555 276.248 128.669 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 59755.8403006591 0.44092089230377435 35.565122911826464 0.11347927264059642 0.7745852046594827 0.047407678823046036 0.21151062248590022 0.07019119386882756 2.823 2.713 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 59753.7229368277 1.1434457287282938 32.98591965140803 0.4604622564723855 0.25943523102585514 0.054360411449985824 2.2269156687528224 0.20929797917118792 227.67 68.054 0.0 0.0
J-c-o-ztfr 2D True F19 6 59756.38107326116 0.48591110714414615 35.684322022830926 0.1173355208410129 0.8492181997207273 0.048522864617262566 0.16878604277822185 0.0842632678548578 2.826 2.708 0.0 0.0
J-c-ztfg-ztfr 1D3 True F19 6 59753.42011809917 1.2922869977811942 33.36318621193944 0.3313260993878591 0.2701964788254008 0.05633664826055406 1.2683201558561876 0.14622866614160143 251.755 74.592 0.0 0.0
J-c-ztfg-ztfr 2D True F19 6 59755.73256305977 0.4097914119020608 35.44655369784273 0.11818249839371994 0.8018901645782366 0.042340285700856004 0.2810807842140507 0.06666522975845136 1.691 1.625 0.01 0.017
J-o-ztfg-ztfr 1D3 True F19 6 59756.55990318951 1.9565014464985582 33.20490113796512 0.5078627936638842 0.40187707709921744 0.11717174977787598 2.3399053004471146 0.2249753137364151 268.791 77.808 0.0 0.0
J-o-ztfg-ztfr 2D True F19 6 59755.834210971385 0.44107151506675607 35.567393989454125 0.1172917308531015 0.801160454378525 0.05053222901595243 0.24870555470544498 0.07077825902481825 2.483 2.385 0.0 0.0
J-ztfg-ztfr 1D3 False F19 6 None None None None None None None None None None None None
J-ztfg-ztfr 2D True F19 6 59755.71711736287 0.4062377252248041 35.455122629168336 0.12119984590736732 0.8189085051475314 0.04446976451602662 0.30376451385313263 0.06639837146939659 1.389 1.322 0.093 0.13
o-ztfg-ztfr  True F19 6 59755.77257154313 0.43716400633207536 35.66992932401719 0.117904390265842 0.8537598748496825 0.049124363249858714 0.22270524551266097 0.07175089430887086 2.041 2.001 0.0 0.001
ztfg-ztfr  True O94 0 59755.6785316441 0.37239710331532483 35.38478724830534 0.1255780658332549 0.8303130906831687 0.038289345763058195 0.33600241932044433 0.06491575545478347 0.62 0.61 0.887 0.895
ztfg-ztfr  True F19 6 59755.67976911252 0.37233306606823396 35.45732461802595 0.12039496331104697 0.8300598722071112 0.0382763243184509 0.3090991785445513 0.0646778997991369 0.619 0.609 0.888 0.896
