bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 0 58253.46104498608 0.34 29.335253273859657 0.24251439138923575 3.4632479660402407 0.03 0 0.06 None None None None
c-o  False F19 6 None None None None None None None None None None None None
c-o-ztfg  True F19 6 59758.46284174842 0.34635887063015647 35.43292197869782 0.10918855545131029 0.714301743009008 0.03491127850959155 -0.06472546842271654 0.06411432417004918 0.86 0.771 0.549 0.629
c-o-ztfg-ztfr  True O94 0 59758.130000052675 0.41915581183396866 34.78901526248613 0.24267288590976122 0.6133092613031477 0.06572448644394077 0.06840384572993255 0.07450984983279366 1.374 1.111 0.138 0.335
c-o-ztfg-ztfr  True F19 6 59758.237868707954 0.3491961866187355 34.93939490972857 0.1158129576542073 0.6389038656604963 0.03723947168078213 0.13223247839339564 0.0662409340240939 1.423 1.185 0.109 0.263
c-o-ztfr  True F19 6 59758.20643903993 0.34708837966756295 35.0582519528765 0.10609952558978342 0.6348920732834181 0.035082479390238536 -0.031566039231139216 0.06574592969124625 1.068 0.887 0.382 0.573
c-ztfg-ztfr  True F19 6 59758.643469332936 0.377046617258333 35.14037427035377 0.14364340482288954 0.7537018879852346 0.05405103783764375 0.09939731305046595 0.07027025388136104 0.908 0.838 0.509 0.569
J-c-o 1D3 True F19 6 59758.14595568529 0.3729638751642282 35.27058661014103 0.09499522996792678 0.7379768307104203 0.033666598607823166 -0.07002210068639608 0.0628768568776964 1.128 1.021 0.314 0.431
J-c-o 2D True F19 6 59758.05179834823 0.3869634536690817 35.15462178800592 0.10865291791077424 0.6810700055524856 0.03417723274003796 -0.06444977600605549 0.06272114486623141 1.014 0.896 0.438 0.578
J-c-o-ztfg 1D3 True F19 6 59758.61810657052 0.3501043593518685 35.38590493657122 0.08295062549457753 0.7954901365177447 0.03292325249096621 0.011169438225840551 0.061680451204950054 1.107 1.035 0.329 0.415
J-c-o-ztfg 2D True F19 6 59758.66949009791 0.3507649627802543 35.246992287387485 0.09052819391546713 0.7186876642635844 0.03409232379860955 0.011997092777772281 0.06258128860323335 1.107 1.018 0.331 0.436
J-c-o-ztfg-ztfr 1D3 True O94 0 59758.436972595155 0.34789760420102506 35.338910326761194 0.08450822177667182 0.8088653835004943 0.032518179113398805 0.06606039062078019 0.06205147744950927 1.177 1.097 0.25 0.336
J-c-o-ztfg-ztfr 1D3 True F19 6 59758.445264164664 0.34771866627506187 35.35686349377847 0.08393443982478344 0.8017865737726801 0.03283449156349944 0.036460089800608164 0.06134439680782482 1.175 1.094 0.252 0.34
J-c-o-ztfg-ztfr 2D True F19 6 59758.435976598485 0.3461936512289783 35.22481563846534 0.08972339814838501 0.7446489692534551 0.03341330636518037 0.05716164217904626 0.06154038500290851 1.078 1.0 0.359 0.462
J-c-o-ztfr 1D3 True F19 6 59758.40082821057 0.3467281382702859 35.277102597931204 0.09568457703323806 0.7316843356247792 0.03329476802321118 -0.06796544090531302 0.06274494452968349 1.058 0.956 0.387 0.517
