bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.5274070070406 0.10870726164463028 0.7656608331200345 0.04471336128599319 59758.68175725189 0.45349194844280893 None None 0.05729165036399791 0.08000395468308498 1.982 1.864 0.015 0.025
c-o  True F19 6 35.56769423188877 0.10167253623032699 0.7656620825780426 0.044705455256308896 59758.68232638122 0.45341805489112 None None 0.040224473441335104 0.0776519382318917 1.98 1.863 0.015 0.025
J-c-o 1D3 True O94 0 35.51559171405198 0.09147744213220285 0.7661359639681109 0.03978369212456773 59758.69268442251 0.402780178777045 None None 0.0629515742735783 0.07008137925987239 1.917 1.773 0.013 0.025
J-c-o 1D3 True O94 1 35.52228082345385 0.09215950208776948 0.7670878773148827 0.03988464245446653 59758.69081130311 0.40122001252658557 None None 0.05947354797570239 0.06894536185680651 1.908 1.763 0.013 0.026
J-c-o 1D3 True O94 2 35.515097310279835 0.09282265579501525 0.7684959884520349 0.0401021777453097 59758.708211357654 0.3987686443225679 None None 0.06518022144609309 0.06900385579337749 1.918 1.777 0.013 0.025
J-c-o 1D3 True O94 3 35.502820751378984 0.09170244163317172 0.7666634212914959 0.039813394954479865 59758.689489700955 0.4015510917213824 None None 0.05615126342009113 0.06898608507608829 1.903 1.758 0.014 0.027
J-c-o 1D3 True O94 4 35.505264111287794 0.09175280745586255 0.7675686196220902 0.039847800611676594 59758.684571636775 0.40088498092630376 None None 0.055698756342217486 0.06880584376445287 1.899 1.755 0.014 0.028
J-c-o 1D3 True O94 5 35.502206571784576 0.09361769988947377 0.7688582358398356 0.04006191932473985 59758.70566917708 0.3979180689447557 None None 0.05929628979351193 0.06788111295345531 1.911 1.769 0.013 0.026
J-c-o 1D3 True F19 6 35.53752072998317 0.09082560882344481 0.769167986599458 0.0402748581647234 59758.73504729398 0.39921673762767046 None None 0.061290274355720695 0.0662777477314162 1.973 1.83 0.01 0.019
J-c-o 1D3 True F99 6 35.5544988033492 0.09432773613492776 0.7646431761255769 0.0447235171776476 59758.746875632816 0.4349100864838112 None None 0.05000015525613213 0.07145873733928192 2.144 1.982 0.004 0.009
J-c-o 1D3 True O94 6 35.53528296237574 0.09442735794004471 0.7685150823331639 0.04393570210147521 59758.73884119711 0.4231493382910077 None None 0.06254398230378069 0.06982488563705919 1.991 1.847 0.009 0.018
J-c-o 1D3 True O94 7 35.53928035075541 0.08999850897221154 0.765936709416372 0.04016021257485089 59758.712082386235 0.40266425081711094 None None 0.04885446051014988 0.06746863606049919 1.953 1.809 0.011 0.021
J-c-o 1D3 True O94 8 35.55939367788251 0.08876803089570713 0.7629467384401781 0.04064385023014397 59758.73833038014 0.4080865273179298 None None 0.06075210262172571 0.06969872305981419 2.08 1.925 0.006 0.012
J-c-o 1D3 True O94 9 35.54252297256994 0.0896194403708988 0.7652701902529837 0.0401212208666751 59758.711264186284 0.40359841398503693 None None 0.04813147456417555 0.06800265594577541 1.958 1.813 0.01 0.021
J-c-o 1D3 True O94 10 35.51594164284019 0.09796514143842887 None None 59758.46496031167 0.47451184223068055 1.529404363911078 0.06723433757830462 -0.06319774349429105 0.07854710779478673 2.956 2.289 0.0 0.002
J-c-o 1D3 True O94 11 35.52196185623489 0.09811451418676538 None None 59758.46255170118 0.4705243374031601 1.53014076533289 0.06698083972559411 -0.0641005734377102 0.07725992148399041 2.935 2.275 0.0 0.002
J-c-o 1D3 True O94 12 35.492374417734524 0.0970431984882797 None None 59758.550695911516 0.45415887556409984 1.527345514855954 0.06574360014371498 -0.05424640570962999 0.07426125189085322 2.664 2.066 0.0 0.006
J-c-o 1D3 True O94 13 35.52401774288852 0.09967900705761933 None None 59758.461916515786 0.4642032595308883 1.5309721860156693 0.06657771873539828 -0.06373919873182675 0.07428201244127561 2.895 2.248 0.0 0.002
J-c-o 1D3 True O94 14 35.512589440433864 0.09848500532413151 None None 59758.45280215484 0.4685434706163228 1.5312452041546123 0.06683328695670686 -0.06720020588817029 0.07626011012890455 2.94 2.28 0.0 0.002
J-c-o 1D3 True O94 15 35.48472815824871 0.09797991462669851 None None 59758.57797576503 0.44271459705985944 1.5272099985114782 0.06493289931559482 -0.05142487428083938 0.070171866963417 2.556 1.984 0.0 0.009
J-c-o 2D True F19 6 35.54860249830775 0.09193463458786119 0.7645242207380024 0.039457045017951616 59758.79071277369 0.4003362814966376 None None 0.05012758331021168 0.06739260653162656 1.731 1.626 0.031 0.049
