bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.90593643976843 1.6154397496371375 1.1030663571159511 0.8414322280958594 59758.10938407486 6.373367833726648 None None 0.35049916504426165 0.7276727570291236 3.017 2.99 0.049 0.05
c-o  True F19 6 37.402168697865804 0.8496123815073862 1.4297873533301921 0.535149215691122 59752.91796065457 13.707531006153445 None None 0.2074112772049849 0.4644964977087813 2.576 2.558 0.076 0.077
c-o-ztfg  True F19 6 36.6598014239671 0.37532233161994055 1.2191566103852216 0.1269351151016075 59757.94639652432 0.868295700878965 None None 0.6697758629722546 0.14657414618500397 2.202 2.192 0.024 0.025
c-o-ztfg-ztfr  True O94 0 36.5911369397767 0.1910718871092437 1.2425405125421978 0.057766422631264205 59757.85798724204 0.7262525980746629 None None 0.6016063594934208 0.08696240954570587 1.335 1.324 0.159 0.166
c-o-ztfg-ztfr  True F19 6 36.71963988254775 0.18328290974324568 1.2117774612962229 0.04986813570622951 59757.98763249852 0.5949798507186892 None None 0.6332635997026819 0.07290029229808484 1.09 1.08 0.355 0.366
c-o-ztfr  True F19 6 37.048365037268056 0.1586485443224907 1.267640559464074 0.05908921339419335 59756.96912206451 1.0992948092313963 None None 0.37647111910029446 0.1002688810248272 0.696 0.686 0.757 0.767
c-ztfg-ztfr  True F19 6 36.6717409834978 0.19474789445455726 1.1994599532441397 0.05540768470711373 59758.10023337033 0.6488937052467618 None None 0.6631964352564567 0.07678574124694569 1.373 1.363 0.15 0.155
J-c-o 1D3 True O94 0 36.95489097356574 0.4685733541947719 1.4658087328909808 0.3008047978677225 59756.65573760455 2.510599774483555 None None 0.24709997627648628 0.43051739411219836 1.614 1.565 0.168 0.181
J-c-o 1D3 True F19 6 36.51823552257299 0.13227147753824606 0.8883632091980518 0.10036716661370594 59757.77637346873 0.7520448464649785 None None 0.40253648650694096 0.09026956534776648 2.413 2.319 0.034 0.041
J-c-o 2D True F19 6 36.68093967201121 0.17958068721116408 1.1589009402611588 0.1661778006849293 59758.490168450444 2.77937496538354 None None 0.5188291437631521 0.1314155833709712 2.205 2.165 0.051 0.055
J-c-o-ztfg 1D3 True F19 6 36.628888236739314 0.18440531597269333 1.174093235781851 0.06293765486257805 59758.272511803974 0.6599008974754705 None None 0.6524511077894655 0.06765544304683326 1.497 1.439 0.125 0.148
J-c-o-ztfg 2D True F19 6 36.66335950643393 0.1869531574779006 1.1755345926824639 0.12974471897203604 59758.35078343708 0.6362849218774453 None None 0.6312124771947694 0.0745735133613828 1.234 1.221 0.257 0.266
J-c-o-ztfg-ztfr 1D3 True O94 0 36.64780361237227 0.165536931746162 1.250710953690318 0.0555296846804395 59757.67494178039 0.6228779861919161 None None 0.5691903704687019 0.07297853213999574 1.201 1.184 0.242 0.257
J-c-o-ztfg-ztfr 1D3 True O94 1 36.60651554089011 0.15700226588464491 1.2577150748142598 0.05447497457291206 59757.52921314538 0.6033626192217196 None None 0.5259838771909289 0.07085275791012462 1.135 1.115 0.301 0.322
J-c-o-ztfg-ztfr 1D3 True O94 2 36.612896387599676 0.1581842352306769 1.219767522204755 0.04444803801549301 59758.0662944517 0.5052353212403238 None None 0.5745465961691961 0.06396967614317656 0.85 0.826 0.654 0.684
J-c-o-ztfg-ztfr 1D3 True O94 3 36.60544219505391 0.164551754286397 1.2482818261999322 0.056915311767951844 59757.655566001995 0.6333809047730476 None None 0.5495616544446073 0.0700397946797678 1.283 1.26 0.178 0.194
J-c-o-ztfg-ztfr 1D3 True O94 4 36.61060908411869 0.16206602125628553 1.2567510264375972 0.05651572021945563 59757.57124060503 0.6349619619168854 None None 0.5381912059769159 0.07039943132022633 1.258 1.238 0.195 0.211
J-c-o-ztfg-ztfr 1D3 True O94 5 36.56211698240302 0.15219933191890261 1.2307856393364374 0.04448012693787875 59757.984460196065 0.5143115885827294 None None 0.5404592075872586 0.06366476363365417 0.879 0.858 0.615 0.642
J-c-o-ztfg-ztfr 1D3 True F19 6 36.63824831164195 0.1723580205383252 1.1740251626796454 0.043879189743470874 59758.37661829713 0.4876789514091119 None None 0.6523523179153295 0.06407770081687136 0.991 0.946 0.469 0.528
J-c-o-ztfg-ztfr 1D3 True O94 6 36.57073052373093 0.17894673183516113 1.1469320842327244 0.04779295975813638 59758.37182173369 0.518155571441342 None None 0.6822752955787793 0.06667832417402052 1.264 1.172 0.187 0.264
J-c-o-ztfg-ztfr 1D3 True O94 7 36.567522331824584 0.17942303940195992 1.1738566543939484 0.04965526270777321 59758.466658329475 0.5297028484122375 None None 0.6782518691888101 0.06493319327647198 1.172 1.097 0.268 0.343
J-c-o-ztfg-ztfr 1D3 True O94 8 36.64913766192188 0.18090875354612723 1.012920203115357 0.057389287987356985 59758.2020729293 0.5805659289192047 None None 0.7119523642249964 0.07590810210820055 2.179 2.049 0.001 0.003
J-c-o-ztfg-ztfr 1D3 True O94 9 36.59386741623001 0.18328866279605507 1.1681377249893208 0.05149187081219098 59758.43309590231 0.5474392926612096 None None 0.694486679902642 0.06566000037668969 1.314 1.224 0.157 0.222
J-c-o-ztfg-ztfr 1D3 True O94 10 36.547436455751935 0.14628171184941374 None None 59757.49895730964 0.4522344251881269 0.7142503353440592 0.07408067450972135 0.5312955057325602 0.07156488440174545 0.996 0.918 0.464 0.568
