bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.93293798098325 0.2220247298292263 0.75864383305589 0.08538474426727174 59816.709626379044 0.617876482864005 None None 0.2589907495672356 0.1172380877084201 1.42 1.414 0.07 0.072
c-o  True F19 6 37.01769747936199 0.19353326176318808 0.758696762515451 0.0853904349119803 59816.71022137812 0.617879928190716 None None 0.24707552946883285 0.11857899789568152 1.42 1.414 0.069 0.072
c-o-ztfg  True F19 6 36.677494949235815 0.16355363412869298 0.5977374940955115 0.0636131854378322 59815.29093565624 0.507857624695094 None None 0.3453834653313578 0.08299692978120918 1.762 1.744 0.004 0.005
c-o-ztfg-ztfr  True O94 0 36.51765567222339 0.14658334294095443 0.5838131350876411 0.056929134817188566 59815.29931355985 0.5108329609804407 None None 0.2307276676351462 0.09356353611470418 1.315 1.299 0.088 0.097
c-o-ztfg-ztfr  True F19 6 36.6382189083417 0.15334954995708175 0.5996859470223561 0.05784276495575589 59815.342640221665 0.4962518321414647 None None 0.3639276041072319 0.0786380150225526 1.602 1.584 0.011 0.012
c-o-ztfr  True F19 6 36.864422710772914 0.16791352974453247 0.726076702505098 0.07201747765612407 59816.47634560728 0.556498001841651 None None 0.306930807053945 0.10393771740151599 1.5 1.49 0.033 0.035
c-ztfg-ztfr  True F19 6 36.43280306976117 0.1843661325919606 0.5935607785791533 0.05821210934519063 59815.8220545595 0.47696439463608126 None None 0.45972595401039756 0.082431015418168 1.062 1.053 0.384 0.395
J-c-o 1D3 True O94 0 36.53020121773968 0.20418370535384842 0.5852555649547168 0.08628222321589903 59815.49990372492 0.8175332664773812 None None 0.2628536980701964 0.13486025579537667 2.016 1.991 0.001 0.001
J-c-o 1D3 True F19 6 36.6670350102012 0.18830747219201496 0.5721560339430078 0.0945358016034133 59815.65288104441 0.8062299076866702 None None 0.3384128168687418 0.10584846582689779 1.831 1.814 0.004 0.004
J-c-o-ztfg 1D3 True F19 6 36.61490438414203 0.16390942667889655 0.591098617246114 0.06378698671943922 59815.299105384875 0.5201353464215732 None None 0.38358121752294416 0.08130784101955202 1.884 1.863 0.001 0.001
J-c-o-ztfg-ztfr 1D3 True O94 0 36.440967142244 0.13437136000165964 0.5609048246682165 0.04993441598796572 59815.21152736713 0.47939179888759054 None None 0.24541225879943715 0.08909511953622885 1.585 1.564 0.011 0.013
J-c-o-ztfg-ztfr 1D3 True O94 1 36.374564651294826 0.1384073345486543 0.5558604249987005 0.05059536537171395 59815.178000285305 0.4855073354545444 None None 0.2454424186632891 0.08904386685800766 1.595 1.574 0.01 0.012
J-c-o-ztfg-ztfr 1D3 True O94 2 36.46396717013576 0.13495231616366712 0.5698024041023726 0.05259709570124291 59815.25609603079 0.4915530124400659 None None 0.2232904099445041 0.09367906077490364 1.502 1.483 0.02 0.024
J-c-o-ztfg-ztfr 1D3 True O94 3 36.377259463118925 0.13931791617389547 0.559812132240855 0.051297890081051394 59815.21007607578 0.4880953245655637 None None 0.26327649248452434 0.08716926910348771 1.639 1.617 0.007 0.008
J-c-o-ztfg-ztfr 1D3 True O94 4 36.37327632795683 0.1382925230951466 0.5562615805037355 0.050979444380571615 59815.17736279727 0.4871037535854354 None None 0.25604948282699996 0.08793055429928336 1.625 1.604 0.007 0.009
J-c-o-ztfg-ztfr 1D3 True O94 5 36.41337234141472 0.13649837506096837 0.5733197270934622 0.05208179254068201 59815.27074161065 0.4880212943393723 None None 0.21681577265644647 0.09101702678643818 1.443 1.426 0.033 0.038
J-c-o-ztfg-ztfr 1D3 True F19 6 36.57447739574028 0.15578050192584245 0.5896107357034492 0.05779662567500525 59815.3190128528 0.5062069795200389 None None 0.402041669143061 0.07787194245412374 1.716 1.695 0.003 0.004
J-c-o-ztfg-ztfr 1D3 True O94 6 36.574754548547276 0.16457115647509915 0.5890604416040116 0.06359261287784614 59815.32004455341 0.5451807915861362 None None 0.4030107018085512 0.08261452511295855 1.738 1.717 0.003 0.003
J-c-o-ztfg-ztfr 1D3 True O94 7 36.610504054151775 0.14723396070306732 0.5800144714859337 0.054837959403513 59815.26959963214 0.4949316230479462 None None 0.37002900614488854 0.07686775586361061 1.645 1.624 0.007 0.008
J-c-o-ztfg-ztfr 1D3 True O94 8 36.79575367433985 0.14244147813601005 0.5799596302895123 0.056338162666670036 59815.274651742504 0.5035610956576478 None None 0.4020674122568791 0.07974819837088158 1.728 1.706 0.003 0.004
J-c-o-ztfg-ztfr 1D3 True O94 9 36.633691361564516 0.14593320653806768 0.578465407722695 0.054516094263279406 59815.260770441615 0.4941048509507261 None None 0.3696439561647062 0.07711735457003277 1.648 1.626 0.007 0.008
J-c-o-ztfg-ztfr 1D3 True O94 10 36.91991335682382 0.1582044281752707 None None 59816.42823228557 0.5640911557709158 1.108264552303708 0.10834788879330749 0.4733126917196279 0.08797566707392088 1.903 1.848 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 11 36.9100230054497 0.15909410477032956 None None 59816.428032305375 0.5632469013570223 1.1082291975840903 0.10811825306225478 0.4703504754278439 0.08749365860028244 1.894 1.838 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 12 36.92481157079635 0.15988501861558543 None None 59816.427362026625 0.5625336680203669 1.1083898468351463 0.10835139211528473 0.4751305219794031 0.0874126811399309 1.887 1.832 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 13 36.82361171856691 0.15964354064686906 None None 59816.43132336808 0.5610545583201775 1.1082014892989849 0.10821129474888636 0.45061872806688313 0.08714327576806775 1.881 1.827 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 14 36.88343743690796 0.15633416265733194 None None 59816.42541732666 0.5630746489232452 1.1083077289078007 0.10834605501374887 0.45936624251312624 0.08816633055008649 1.892 1.838 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 15 36.829343969819 0.16232068051277113 None None 59816.42293354828 0.5602225895995131 1.1083367924207657 0.10816123171459913 0.45256750065508566 0.08611825445860914 1.864 1.809 0.001 0.001
J-c-o-ztfr 1D3 True F19 6 36.70416023796175 0.17281325954466137 0.6537385330019909 0.08493074596793689 59816.08655928509 0.6937722515746289 None None 0.35924297546813194 0.10153846628400197 1.812 1.791 0.002 0.003
J-c-ztfg-ztfr 1D3 True F19 6 36.35036724593624 0.17696659734113274 0.5976949600561176 0.05555610340324123 59815.92974822609 0.46871565736913023 None None 0.509037510950281 0.07513024391890155 0.966 0.956 0.503 0.517
J-o-ztfg-ztfr 1D3 True F19 6 36.575545442433935 0.15094961991192815 0.5422175897495164 0.05387473204286635 59814.6136083807 0.520739170134326 None None 0.36552495690364933 0.07835254068779414 1.549 1.528 0.034 0.039
J-o-ztfr 1D3 True O94 0 36.32229305175959 0.2308331672277119 0.5134515323715522 0.08525738193152489 59814.06121221984 0.9631598586190255 None None 0.2798658462746103 0.2938726268237212 1.414 1.394 0.103 0.112
