bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.2731860578577 0.36620657165120557 0.5113479165114295 0.10221289516825006 59820.011958167284 1.0394071505560702 None None -0.022943255295155878 0.13964425924317658 1.119 1.115 0.298 0.303
c-o  True F19 6 37.43697064722269 0.29530271453377116 0.5113817662608304 0.10223548485146297 59820.01263796275 1.0395189732084964 None None 0.08089145535454376 0.1545913711547021 1.119 1.115 0.298 0.303
c-o-ztfg  True F19 6 37.691122610594064 0.1756572997475314 0.6181662165212138 0.0781811628565657 59821.418137631204 0.5063175257912823 None None -0.0342809399569916 0.08700462154120647 0.989 0.985 0.49 0.497
c-o-ztfg-ztfr  True O94 0 37.543045936874506 0.13569454838447445 0.64985484075735 0.06545054161460552 59821.38590618321 0.4914679094912022 None None -0.027530649204093628 0.09308721071444032 0.921 0.917 0.636 0.644
c-o-ztfg-ztfr  True F19 6 37.555583611709224 0.13084116655663244 0.6492455191263155 0.06071927265050759 59821.357519183475 0.4679142200333261 None None 0.050907381654837644 0.07435129152340653 0.904 0.9 0.667 0.675
c-o-ztfr  True F19 6 37.322163176492644 0.1766541941631705 0.5601182235267064 0.0676628947022817 59820.362727566375 0.6497904726677195 None None 0.15721010510575856 0.11066146630447622 1.003 0.997 0.465 0.476
c-ztfg-ztfr  True F19 6 37.44590385497637 0.1599079926962161 0.6296134424578677 0.07082522366370425 59821.68946907418 0.513002740599078 None None 0.09611109046392771 0.08188687151647825 1.103 1.096 0.322 0.331
J-c-o 1D3 True O94 0 37.23880946482624 0.12811491654263887 0.4812364807769356 0.049170836634132305 59819.90093924407 0.7921471128333485 None None -0.05066864967300582 0.12068774283428442 1.225 1.206 0.176 0.193
J-c-o-ztfg-ztfr 1D3 True O94 0 37.25695228388608 0.3592093508155469 0.5124781380298044 0.04271761766757844 59820.941144586686 0.5022313915114105 None None -0.08168242847917659 0.09186376773892604 1.272 1.258 0.086 0.096
J-c-o-ztfg-ztfr 1D3 True O94 1 37.255898601832 0.13764356027708632 0.5127030654137394 0.04404851512918389 59820.95030738185 0.5070215692099302 None None -0.07280722654347734 0.09164628919324737 1.288 1.273 0.076 0.085
J-c-o-ztfg-ztfr 1D3 True O94 2 37.141194203145986 0.12730605968324443 0.5021222952512614 0.05027397412674259 59820.92940523227 0.543837234852187 None None -0.0665171966355642 0.10143279300147565 1.531 1.51 0.007 0.009
J-c-o-ztfg-ztfr 1D3 True O94 3 37.26295770417763 0.12036380513099448 0.514796976214743 0.04319658326485381 59820.949179231735 0.5029677011051976 None None -0.06215100257191422 0.08835052421676273 1.265 1.25 0.091 0.102
J-c-o-ztfg-ztfr 1D3 True O94 4 37.26065414462531 0.12389696083285298 0.5127569871078679 0.04391908611102245 59820.941658974494 0.5065444589782012 None None -0.06587213750543393 0.089810305919724 1.284 1.269 0.078 0.088
