bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.48524105246918 0.40153712503015243 0.5465684828949128 0.13697196051777005 59846.988309340355 1.038724095543541 None None 0.07438635779177606 0.13767823181838104 2.713 2.7 0.0 0.0
c-o  True F19 6 37.42319974655946 0.6666579887318154 0.40608885249629606 0.15768198111438478 59847.658932014594 1.4840024179666735 None None 0.07793774300191915 0.33991076307854234 9.462 8.807 0.0 0.0
c-o-ztfg  True F19 6 37.91537146278894 0.3618265711247954 1.3123166050108328 0.2423823181790636 59825.217183429966 2.3972679649122894 None None 0.20662707923126655 0.22946808485117468 14.627 14.441 0.0 0.0
c-o-ztfg-ztfr  True O94 0 37.328064373751104 0.32924312738972306 1.0645358450845335 0.2091968245934049 59826.159960947465 1.4039291950526378 None None 0.35317057745981545 0.15508802013643527 12.42 12.213 0.0 0.0
c-o-ztfg-ztfr  True F19 6 37.49404739227836 0.2433704272928247 1.287385027011117 0.15113505984310488 59825.4258201431 1.8900977553657476 None None 0.39125312188995415 0.15857892801017442 11.701 11.537 0.0 0.0
c-o-ztfr  True F19 6 36.84803331985617 0.32783134520621376 1.2683184524224527 0.15042986098714745 59825.42879926173 2.3451299524454465 None None 0.8849675245473255 0.236276813410499 10.026 9.977 0.0 0.0
c-ztfg-ztfr  True F19 6 37.388692244653555 0.5192704126982173 1.0881674647932358 0.3629699576317992 59825.88938734666 2.0314754014932292 None None 0.342134603492992 0.22377854637740416 20.614 20.177 0.0 0.0
J-c-o 1D3 True O94 0 36.6355764845881 0.36131092669531273 1.7024477250790422 0.21300554153328374 59820.712099551965 7.7174468475814875 None None 0.5718871152645615 0.34093927339821656 13.627 13.183 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.70419787740193 0.25706082552314796 1.326114446857595 0.17046247372712814 59826.650970539886 2.7509271052467326 None None 0.6925072361554742 0.1654419878526387 14.201 13.893 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.58040470614117 0.2606125786024315 1.2853568186298607 0.16550560449765037 59827.0193855246 2.368077192932892 None None 0.6944359259384515 0.14121805316370095 14.039 13.745 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.52372258974037 0.2520742283800358 1.0431580393639102 0.17018839783203174 59827.19506085294 1.3591553774278673 None None 0.7788685650577094 0.12478178425890406 14.171 13.995 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.61577020015037 0.27445931336984547 1.3236450671193598 0.1725091947707434 59826.697648849586 2.705232763539904 None None 0.7012378721870285 0.14700221853141962 14.2 13.908 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.57522025326403 0.27086730621799515 1.2857942137896987 0.16590417915366892 59827.156930536425 2.42269935202801 None None 0.7204542456758141 0.13525659096386078 14.29 14.011 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.41460814664857 0.2508409046899404 1.047707016503239 0.17227716670222282 59827.134602456346 1.3775581423025258 None None 0.7662667371346907 0.12123383357246913 14.209 14.026 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.6313717125966 0.23648309681247714 1.0317752743485393 0.15894872240272037 59827.2201713339 1.3285594779271341 None None 0.7803307464171562 0.15384002657575196 14.836 14.651 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.63307195314242 0.2455600433612572 1.0209457782526958 0.15936528683030202 59827.40220486268 1.3525302231722467 None None 0.7585832835497006 0.1618599595420637 14.723 14.542 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 36.43247884993439 0.17491319336269143 0.3486594119886078 0.054029917244537005 59824.306418183995 0.8532136467076397 None None 0.3351869869799405 0.10575685600257734 18.904 17.572 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.92230261425509 0.24763114784064058 1.0080285036909473 0.14947316680936254 59827.39915195547 1.3071863642976538 None None 0.7687048085321637 0.16917216070442495 15.996 15.771 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 36.61268795486155 0.25145635232366337 1.0277331458463304 0.16089378869750945 59827.317454105505 1.3483215629465581 None None 0.8047305294148819 0.16103517083508312 15.512 15.326 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 36.46599939212635 0.24680346254003505 None None 59827.560818275255 1.172191685239799 1.032125198745865 0.10675160940320844 0.805997166140805 0.11826095365003426 14.649 14.424 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.45157309276111 0.24555952035780354 None None 59827.53348856076 1.1695556827580367 1.0308933817913055 0.10736731609404455 0.7955221384595793 0.11647156920723704 14.55 14.329 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.46794140159172 0.243534769759172 None None 59827.5378293436 1.1654993582710025 1.0329872427946836 0.10540864329671175 0.7947499216438146 0.11625706675587948 14.516 14.291 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.3676926214583 0.24425407930966367 None None 59827.529874655425 1.160119936782814 1.027866067148293 0.10873948042899763 0.7586879375151097 0.11322750240823938 14.355 14.147 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.58465747024876 0.24694400744744296 None None 59826.985576073246 2.0338340632208647 0.7954131498643263 0.14657494007897073 0.77509455795197 0.12303332512917775 15.094 14.82 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 36.38582633627693 0.23682427227450198 None None 59827.52526070699 1.1447515760637 1.0407724935816616 0.09882263631543485 0.7255115900893481 0.10955767020737574 13.894 13.667 0.0 0.0
