bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 34.91922712834513 0.09136279112022622 0.9904304264161448 0.03286726801337735 59843.96284974775 0.3855046430977942 None None 0.11735085620982263 0.06477765740810343 1.212 1.113 0.22 0.32
c-o  True F19 6 34.941517920057535 0.08752582200504304 0.9902790355481509 0.032873195323371844 59843.96511030241 0.38560146611764007 None None 0.06833689720262891 0.06487641405777997 1.216 1.117 0.217 0.316
c-o-ztfg  True F19 6 34.94059006309243 0.08093594382719688 0.9875275586998249 0.03250145481328242 59844.080817958165 0.3734011309383383 None None 0.06917896762291316 0.06170180501204536 1.425 1.322 0.041 0.086
c-o-ztfg-ztfr  True O94 0 34.87956784275892 0.08825365676254081 0.9907737968646733 0.0323758596838374 59844.07722213673 0.3757231901024026 None None 0.14096513356148543 0.06168399921357959 1.475 1.36 0.015 0.045
c-o-ztfg-ztfr  True F19 6 34.90582707694935 0.0825343807701739 0.9901520320562401 0.03206156385862857 59844.06525448867 0.37131021793104896 None None 0.08590058105544322 0.06152404464518805 1.379 1.272 0.038 0.092
c-o-ztfr  True F19 6 34.93145913463668 0.08728339078696468 0.9990722740714879 0.03219154307711624 59843.98910844469 0.3785673600439659 None None 0.07989639328171405 0.06413308563314558 1.18 1.078 0.215 0.346
c-ztfg-ztfr  True F19 6 34.81173247955653 0.08900127868484585 0.997508965430348 0.032838795337671464 59843.667998205805 0.39862488979601957 None None 0.13542371721147684 0.06204231305246176 0.815 0.756 0.746 0.823
J-c-o 2D True F19 6 34.93976208590393 0.08704374303793537 0.9913735647034164 0.0323623965303337 59843.84852720499 0.374602566927865 None None 0.061487174303071296 0.06311231543628897 1.193 1.091 0.224 0.339
J-c-o-ztfg 2D True F19 6 34.935692002953715 0.08152876967986067 0.9913569343929338 0.03231672621034879 59843.93647746486 0.3695519525776207 None None 0.07152593900871371 0.06138274524848853 1.358 1.253 0.059 0.124
J-c-o-ztfg-ztfr 2D True F19 6 34.9132597788092 0.08263658199311774 0.9941536703504987 0.03196148400637924 59843.93506313544 0.3686726638971297 None None 0.08152069885806061 0.061296703603529165 1.359 1.249 0.039 0.102
J-c-o-ztfr 2D True F19 6 34.936772990875724 0.08656926398516493 1.0006109092755033 0.03189450178052786 59843.865730951344 0.3715545259672876 None None 0.06837147589721021 0.06285660943818515 1.108 1.007 0.297 0.458
